resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":23695877,""resource_state"":1}",Beach ride w Tom & Dan,25287.7,3886,6579,34.3,Ride,10,3907384614,3F79F0B4-AE5F-4C90-8D97-B219F1700C3F.fit,4182124786,2020-08-13T12:02:53Z,2020-08-13T08:02:53Z,(GMT-05:00) America/Toronto,-14400,"[43.244267,-79.735171]","[43.244992,-79.73446]",,,,43.244267,-79.735171,21,9,0,3,0,"{""id"":""a3907384614"",""summary_polyline"":""sc}fGzgteNlBf@LVEp@m@lCs@|@eD`@a@NM~@LlACv@o@|CJjBh@dDTzFBxDIjB[tE_BxDk@hBMtBMbAiC~IUnCc@~ASvAeBlBs@`Bg@bBkA~AsB|D_GxMqD|Ca@lAaA`BuAbB_A~AgAnAe@bAa@T_@p@iB`BiDrEuBpBY`@o@`@kAhCeBpBu@nAkBtAsBjCcG|FqB`CoD`FYRw@@q@RgCvB_DvDsBdBy@`@_BvAOZMbAWh@cFvDaBdBaCjA}GdGqPrLwAjAe@p@{A~@uBjBeNfJcCjBcAdAsFxCyA~@oBdBeFrCw@r@oIbGmDxBkCpAiG~D}ErDuGlDeA~@}Ar@mBnA}K`FeCzAuCbAkAhAwDrByCnAcBZaD~BoQxH{@@_@PSd@H`An@jAvAs@vCo@V[F[WSsDj@mEhCk@HiC|As@p@k@|@uAhDq@t@eAdCq@n@aBv@_@Ea@eAe@SaIpCkD~@gANy@E}Dz@w@KsCTsNrCcGx@iFR{@]g@AYFYb@SFqEUgLVqBMuED{Bb@u@~@K@eHoGeE}DmGuHaCeDoAiA[K@QS[g@JiAvB@YcAwAoAkC}@mA[}@SIMgAL_@^]h@eAZ@v@l@hAzAHb@I@APPBN\\d@xBp@xAHb@n@v@~AvCrHlIrFrGnB|ArAj@vCjCVIn@m@j@Kf]?dNMzMmBxIuBvNgCbIiClAm@n@Ib@q@\\ShDoAPo@VYRu@r@_AbB_Ez@}@VALXVfA@^g@RoB`BUXYz@KFAUh@mA|AyBdIyEvAo@x@O|BWTF@PE\\QRyANcCnAa@i@c@eBBe@FE^Q|Du@|DkBhFqB~Ay@rAuApB_@nBy@fFoCnAkAzCeApGgDvFmBfEeCt@w@jGqD~FiEbIiFjA_@~E}CzAwA`PaKrBcBrF}CdFgEnOqKjBeBbEqCvBuBzHoF`MyJhAk@zAcBtFiE\\m@\\aBj@{@|B_A~@q@dBgBfBgCl@]zAyAbCa@`GeIxDwDjEaF`CkBdCmDbBeDj@W`@k@p@a@bBqBzB_D~A}Af@_Al@e@\\q@bCkDtA_Bx@uAh@wAv@y@lAs@^e@hCaF`EwJpA_Cf@m@jBeEtAsARgBp@_Cn@mDbCaJFg@@iB|AoDt@sC^aFGoFB_CGoA{@uFGaA@u@l@wBIoBBu@J_@f@MxBFJIbAuAXcBL{Am@a@{E}AS_@Hg@"",""resource_state"":2}",,,,,everyone,,,,4182124786,6.507,12,94.4,366.7,,1,121.2,150,,1,84.5,74.6,3,0,,13
2,"{""id"":23695877,""resource_state"":1}",Run w Zac second half,5012,1402,1406,9.8,Run,0,3904479798,53A9D04D-1887-47DB-8707-01B66BA5DB8F.fit,4178969679,2020-08-12T21:24:16Z,2020-08-12T17:24:16Z,(GMT-05:00) America/Toronto,-14400,"[43.200041,-79.555891]","[43.210204,-79.598419]",,,,43.200041,-79.555891,1,5,0,2,0,"{""id"":""a3904479798"",""summary_polyline"":""gotfGjgqdNWlCMv@Qh@MAYKa@]aFsG}D_E_Aq@{A}@u@WOCIBW^Wh@o@vBw@pB_@lAm@jCo@hDu@`DmA|H}@jGEz@@LLJdA`@XRHHFTAj@Eh@m@zDk@`EQnB@d@H~@Z|BJ`A@x@K~BFtAl@bGRxC\\rBTjCLp@BFPR`@X\\LlAZb@RXXHPAbAEXKZKRMLs@XMLM\\C`@?ZDt@f@tDZd@t@t@JNDT?h@Gv@e@xCS`BGr@@f@@FDDVPzBl@ZN^XPVLT@^Ab@MdAaDfQkAdJkBdMmA`GW`As@`CU|@i@pDu@fEg@zDWfA[~@c@`Aw@fAu@t@s@b@iA`@e@JyAHUDYL]Vc@d@_@l@Yj@m@fBOt@E`@CrAVzHBhBCh@I^QPWH"",""resource_state"":2}",,,,,everyone,,g5740633,,4178969679,3.575,4.9,,,,1,186.8,194,,1,85.1,78.4,0,0,,90
2,"{""id"":23695877,""resource_state"":1}",Run w Zac first half,4931.8,1347,1350,9.4,Run,0,3904479796,431EF433-569E-4ED1-8066-2C2FAD9E0FA1.fit,4178969705,2020-08-12T21:01:34Z,2020-08-12T17:01:34Z,(GMT-05:00) America/Toronto,-14400,"[43.210005,-79.596427]","[43.199927,-79.55545]",,,,43.210005,-79.596427,1,4,0,2,0,"{""id"":""a3904479796"",""summary_polyline"":""omvfGtdydNAsDBw@Dq@TqAZ}@Tc@n@w@ZW\\Sh@Q|AYp@Sr@Wz@g@n@m@l@{@\\q@Z}@TaA\\kBr@cF`AgG`BkHt@sCZ{A|@aGfAeI`A}FdBcLb@cCNsA@s@IMc@UmAYk@Qo@a@KSCo@FgANsAb@uCHcA@US[e@e@UYWs@Mw@ScCGw@?w@BOLKPKj@OTSJ[D]Bm@C_@AK[S_@OsA]c@SOOQUSe@Ow@SuB]kC[uEc@aECcAHyCAcAMwAa@kCGe@@KL_Bv@eF`@kDDaAAOgAu@a@c@C[@a@FaAx@eGh@eDp@{ERiAx@oDhD}K\\s@XUJEHARDj@Tj@b@bBtAbB~ApCpChE`F`@\\ZNPYNq@v@kHDm@U~A"",""resource_state"":2}",,,,,everyone,,g5740633,,4178969705,3.661,4.9,,,,1,171.3,182,,1,85.2,78.4,0,0,,50
2,"{""id"":23695877,""resource_state"":1}",Supposed to be 1600m intervals 😂,8365.7,2290,2321,2.6,Run,0,3870469663,0B75FD5E-4B94-4B05-8FCD-F17BA6CA495F.fit,4141747751,2020-08-05T21:38:25Z,2020-08-05T17:38:25Z,(GMT-05:00) America/Toronto,-14400,"[43.212184,-79.608517]","[43.210762,-79.601917]",,,,43.212184,-79.608517,4,8,0,1,0,"{""id"":""a3870469663"",""summary_polyline"":""c{vfGfp{dNy@nFa@zEMlAu@bEcAzH_AlGOzAQvCS~A{AnJk@dEo@bGyAfIuBnOe@lEw@hF]jCo@xDYnBc@rDG~@@NRXJHVHZ@LILs@h@kEJsA?IKQs@u@QYAe@HgAZsBt@iEr@{Ft@kE^{Dx@uEl@_Fd@uCv@eI~@cGz@}Eh@gFn@wDh@uEf@{Ch@oEb@sCdAaIt@_Fn@}FrAiJn@sFp@}DLiAPcCb@gCN{A_@tAWpAW~DQ`Bs@tEg@vEu@`Fm@zEkAjIq@nFc@hCkAdJgAxHi@~D[tD_@`Dk@rDeBlM{@rFYbDq@fD]lCKd@?QDe@hAqGh@uE~@uFrAkJj@sDxAaMbBiLd@_F~@wFh@kEjAkI~@aIhBgMz@cHFw@Bw@"",""resource_state"":2}",,,,,everyone,,g5351434,,4141747751,3.653,7.9,,,,1,171.4,192,,1,82.2,79.5,0,0,,89
2,"{""id"":23695877,""resource_state"":1}",Thunderstorm Run w Zac,8202.2,2172,2189,21.9,Run,0,3865158386,DBF30241-215C-4621-BB80-9AB508F120E7.fit,4135950135,2020-08-04T20:19:36Z,2020-08-04T16:19:36Z,(GMT-05:00) America/Toronto,-14400,"[43.20995,-79.598381]","[43.20988,-79.59882]",,,,43.20995,-79.598381,0,8,0,2,0,"{""id"":""a3865158386"",""summary_polyline"":""emvfG|pydNR_@H]HaA?mAMsEBqAFYf@Ur@KhB?tBOnDEvDQxCUnEKl@K|@_@VGjAMtAU`@CbBDjALt@NdBl@l@L^?NYN{@P_Cj@wF\\eE`@cDV_Df@}Eh@}G|@{IZ}Dh@_F`@oFf@mFj@iHrA_Mn@_HvD{\\r@_G|@mFlAoMp@oEn@uFb@uBf@iB`@kAv@_BSXYl@o@fBu@tCUtAqA~Jm@zGeA`HgAnJ_AfJ_AzG[jDcAnIu@jIaAfI_@hG_A~Ka@xDWxCoArLWbDs@xH]zCe@nFUbD}@jJK|@Md@KVEHSBQ@c@GuC_AiAO_BEyBLyC@S@GPCb@a@N{@@wDNcEXgAFyHXmCAm@HOFEFCXAx@JnDAjBGlCSxA"",""resource_state"":2}",,,,,everyone,,g5351428,,4135950135,3.776,5.8,,,,1,173.6,183,,1,92.1,82.1,0,0,,87
2,"{""id"":23695877,""resource_state"":1}",Long Run,16007.3,4834,4834,41.8,Run,0,3864206930,D09D7B8F-AB09-484B-A4E1-FC24E88486F2.fit,4134913568,2020-08-04T01:30:50Z,2020-08-03T21:30:50Z,(GMT-05:00) America/Toronto,-14400,"[43.21003,-79.598485]","[43.21039,-79.598655]",,,,43.21003,-79.598485,2,8,0,1,0,"{""id"":""a3864206930"",""summary_polyline"":""umvfGpqydNN}ABqAKaEM_C?_AHcBV{AV{@Zs@b@o@f@i@\\Wh@YtCo@r@Wb@Wr@m@d@m@h@{@Zw@XiAZ{Az@kF`AsGjByHp@{C~CuRl@yEl@gDf@kDrAcIHu@?[UUe@QqCs@a@UQWCe@Do@dA{GLsASY_As@QWIUGa@Ee@OeDAs@Dc@NYTKh@ARIl@gFBe@Ai@E]M]MSOOk@UwBc@e@Oc@WQOGMUu@Ky@MeEk@_GC}@FoAAaAIiA[aCIoAFy@b@yC\\uC^gCDk@@e@AOOMYMo@QYOKK@SFo@XaBZeCj@qDVwCL}@nA{FnAaFfCsHPe@RWN?NDjBlAfBvAnBhBdJpJRNNDDCFQLs@\\cDXuBDg@?a@KQWWsByAa@c@MSK_@CY@a@|@yGZaDlAeHb@oEj@iEVyC|@mFh@cFRcAf@kBTo@d@eAb@w@jB{C`AuAn@q@h@w@Ta@Ro@Ly@VwCn@gDh@kEd@wCZoCx@_F^_Eh@qDr@aHx@aGf@}Cd@yE\\}A~@eCd@gBRoAh@{Ej@aDfAuHLg@PYLEJ?XFTLzChB\\Hr@DZDhCx@l@RrAp@bAb@lJbDjExBnAj@`Bx@TNDZCpEYxKIhG]bEElDEz@sArIw@zFYfCq@fDkAxIqCzQg@lD_AlFkAzI]nDgAbGyAvKa@`C{@rGg@vCu@bDs@xDoA|Fu@hEu@zCy@vB_ArBmAtBqB`DcAxByApCgApCsAjCs@tBUbAWdCg@vD[xC_AlHe@|EYnC{@fGi@bFu@xFa@nDeAnIu@lI}@~H{@fKkAtLe@pF{@|Ke@xDY`Ew@rGc@tFs@lG{@dKId@K`@ILGBWA}DmA]Gc@EmBAyAPY@yAG_@AYDUFcAv@UJWB}CLyATYBqBCmCNyB?aBRwBEe@@]DYJOLSZKVAx@DbC@bBArAG~@KZKPu@^"",""resource_state"":2}",,,,,everyone,,g5351428,,4134913568,3.311,4.7,,,,1,161.5,174,,1,98,77.7,0,0,,122
2,"{""id"":23695877,""resource_state"":1}",Run w Zac,7099.1,1826,1826,8,Run,0,3840915264,F282DB54-0773-461C-AAC3-12839F8FE5D0.fit,4108996410,2020-07-30T23:01:44Z,2020-07-30T19:01:44Z,(GMT-05:00) America/Toronto,-14400,"[43.21008,-79.599088]","[43.210147,-79.598888]",,,,43.21008,-79.599088,1,5,2,2,0,"{""id"":""a3840915264"",""summary_polyline"":""_nvfGhuydNy@`Hu@zD[pB{@tHeA|Fs@`Iu@~Eq@jFg@xEe@|Co@hFo@rDiAxHQ|A]bEq@jFeBpJMbA]tDm@~D_@tC{@jFe@rEgA~Hi@dDYvDKz@i@vCsA~FmAlJaBlIQb@[DS?[E_@MqAi@mAa@wBq@}DeAeA]]QYsBMc@MOWKO?QD[VW`@Of@Cd@Ff@JTXRPDV?TEr@Y`@Ib@C`@BbAN|Cv@rDhArAd@z@VXFb@@J[Nw@b@eDb@eCX}Bn@iD`@{DR_BrA{GhA}In@eE`AiHr@kGbAeHp@}Dt@aF|@wGb@sEz@oHnAwHXcCn@qEz@qHl@uErBeN\\_Dv@eGf@gDRaCNqAx@qFVwCb@gC"",""resource_state"":2}",,,,,everyone,,g5740633,,4108996410,3.888,4.9,,,,1,172.5,189,,1,82.6,79.1,0,0,,77
2,"{""id"":23695877,""resource_state"":1}",Weekend Ride w Dad,36156.6,5004,5079,194.1,Ride,10,3811139706,FBCB66CC-8A47-4A08-A49B-BA069335454E.fit,4074713516,2020-07-25T12:13:48Z,2020-07-25T08:13:48Z,(GMT-05:00) America/Toronto,-14400,"[43.1621,-79.470826]","[43.161684,-79.469352]",,,,43.1621,-79.470826,3,12,0,2,0,"{""id"":""a3811139706"",""summary_polyline"":""cbmfGts`dNZM^ApB`AfBxA\\x@BxATN|BAlG]rC]nNw@`AQ~AFhIUJJBT@|@J`@@nARtDNrIAlBVbIAdBFPtC\\hB`@xBvArCxArAVtCpAj@JjAr@lBbB|CxAdBr@dAT|@j@rHfCfHzCfEfC|B~@rCdBzBbAhBTnA?vJ]dFCnKc@bc@gAbKi@df@i@~Wg@ZFP`@Fj@@vJVrNBnK^`HAhBTnFEdFB~CRjGTnO?lIXjJBrCNvEB~EH~AJzQPrBPr@`@vAbAjC^|AR~DGrBWhB_@lB}@|GiDfSc@jDcCbPq@jDa@pDaDtSQ`BJZtIzBpIrCbFzAtFvAxDzAlAZ|HnClFxAbAb@NPXQf@oDNoCf@{Dz@_JR{At@yDX}CVwATuCv@eGv@mFt@oGNoEVwCvAuLr@wEXgA^yCjAeGhBoOVs@xAkANsBSoS_@eN?_QOwHKoBIkWKmD?sBIuAGmFC_CDyBK{ECyISeF?}AOqEB}BEqGB{BDWEMs@@kG`@[_@Ao@PgL_@c[E{SXgF@cEN}Ix@yM~@{Kf@gENgFGcLQyG@oEI{CFwCCcC]wKCwIGsBUwAgAoDu@_DIuBJsCEcFEkBe@cIk@}I_C_UY}Aa@sDWgEMaHPuETyCzAaMG}BzCuHLq@L{A?gFIwCDmDWsI@{Cc@eJAmDs@gGMmCDoGZoGGmEMgFG}JBkFIkDA_De@Fa@`@GP@HDAz@g@R[DyDKuMGiCQmCOcHAyJF}ESsOKwSOgFD{IIy@WQaA?yBHsKp@iKLsIf@sMFw@NOTK`@FME?@JIYKKsBMmJ^}IJcJd@kIRgKBwNVGFFbHJhCE|BDr@@pGLlBBtBCp@Kj@GdBRdB?x@TpDEfHIrAFnGEdAC`Kg@`J@|AGv@AhBZhEIrCLlEAxBHfBEZLvAGvHDrCFb@ErCRjERzJJpB?vEHrBCt@R|C?jDX~N@dGL~AHvLGrDF`MEH{@R_CHqI?_Qj@{FD{IAoBHQTCTBt@CfFPpJCpFLzIPjIMnH?lEd@|SJpG?tFLlCJjGTtF@dJWpHSzB?bAUzDMJcK~@iDN{QGkGNkBRq@C{@[i@s@S_AMsC]qBKgAWy@_@]}@UsAK_GPcCIw@U_@[qB}Be@QiAKkRZiGRqCc@iFEsDa@{DPuBX_D@eCj@qA@g@j@o@hAM`@e@d@o@pCu@fF_BnFgCvL{@~CyB`Ns@~GSnASzBi@bE_AzEFPb@`@hBdA`@YzAg@PSVCKK"",""resource_state"":2}",,,,,everyone,,,,4074713516,7.226,12.9,120.8,604.5,,1,134.7,162,,1,205.4,106.3,2,0,,32
2,"{""id"":23695877,""resource_state"":1}",Need to Close The Rings!,3805.6,911,923,0,Run,0,3806852961,5335B187-5215-47CB-BBE6-931F76644B09.fit,4069721559,2020-07-24T03:43:59Z,2020-07-23T23:43:59Z,(GMT-05:00) America/Toronto,-14400,"[43.210106,-79.598888]","[43.214373,-79.618481]",,,,43.210106,-79.598888,2,5,1,1,0,"{""id"":""a3806852961"",""summary_polyline"":""cnvfG`tydNo@bGaArGq@xFu@lFo@pFuB~M{ClUeAvI{@hG}@|Fq@vGq@hEq@tF}B|PuCnSq@`EY`Cg@`Dg@nE_ArFSrAK~@?RP\\RNNFL?RCNKFKn@qENaBAMO_@o@{@MWEWDYpAmJd@_Dz@yGvBmN`CgQ\\{B"",""resource_state"":2}",,,,,everyone,,g5351434,,4069721559,4.177,7.7,,,,1,176.5,186,,1,82.6,79.5,0,0,,40
2,"{""id"":23695877,""resource_state"":1}",Speed Work: 200m Sprints,9407.9,2608,2611,58,Run,0,3803731438,594F14BC-89D2-427A-97E8-545E89449614.fit,4066163544,2020-07-23T01:33:24Z,2020-07-22T21:33:24Z,(GMT-05:00) America/Toronto,-14400,"[43.199381,-79.583827]","[43.199763,-79.58385]",,,,43.199381,-79.583827,12,11,0,1,0,"{""id"":""a3803731438"",""summary_polyline"":""cktfG|uvdNh@@h@VLE@cCJeBT{Bd@gDPoB?o@Hy@BqAPaAL}An@_ANe@^cFNgABq@Z{CJQb@EzCdAX@PaADaAFSXUn@ELGr@yEJaBRsATkAFUNQp@DRETDZb@p@fBRPPBVC`@[HODY?YCe@K[gA}BOKq@CULQRI`@?b@DTl@`Bn@fAb@LXCTMRg@DW?[E_@Ww@aAcB[OOCQDYVKTI^AXBb@Pn@Xn@n@|@VLV?j@WN[H[BWCWOc@yAiCWEg@F[PGLIv@Dp@|@jBd@f@RFh@KPOL[Ha@?a@I_@Wm@w@sAa@Y[@YPW`@Ib@Bf@H^d@bAl@dAVRNBZCNMLUHc@?a@Gi@EUo@kAYw@SOMCYFQLS\\G\\AXBb@p@hBd@v@h@Ld@ORYHW@m@Cc@Qc@m@{@a@y@i@Qa@PQRGPCd@@XJb@d@lAl@fARNT@`@SJOHi@@[E[a@oAu@{Ai@Ic@LMNMh@?h@Hf@LZ~@hBd@VXCTKRWJ]BYC]IYm@}Ac@{@SKOAe@HUPSj@CZFl@Xt@T`@FPn@v@d@FRE\\UNe@?c@E]Sk@gAuBMOQE]@[TO`@Eb@J~@bA`CLPXHb@EXKRULa@Ae@CUq@sA_AyAe@Cc@XMTK`@CZBVFXz@dBVb@VJP@\\ETORYDSBYCWQk@_AeBY_@QMWCQFONS^GZ@^Fb@Rj@t@vATZTBVEf@SLSFc@@UEWuAwCS[OIS@_@LSNM^EVBf@JZhAfCNNl@FTIVULUDU@_@C_@Yu@iAwBa@MYFOLc@x@CR@XH^Th@nAvBNFV?`@SNSJW@e@Gc@aA_CW[YWs@WYBi@hBCv@HNj@Z\\h@l@hAj@NRAVMVUJWBg@AW[}@gAsBQK[CWH]VO^AXBf@Pr@fAvBTLP@ZEXSJQH[Eq@K_@oAmCUM_@@WHYVMZ@b@d@fB\\v@V\\TJ^?\\OTYNa@Ba@CWOa@eAqBSOYCg@FOJOVET@bAd@jAb@h@Vj@f@H\\KTQTk@@UCe@K_@gAqBWYYI_@H]\\Wf@UfAGDg@AITQz@c@~DOpB_@tBUNs@?KFQb@WfBO`@MHM@iAUwAc@O?EDUhBi@jAMtA]pB]`EIzA]rBk@fI{@vHQtCELMFeBa@o@D"",""resource_state"":2}",,,,,everyone,,g5351434,,4066163544,3.607,5.9,,,,1,170.3,188,,1,99,90.5,1,0,,92
