resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":23695877,""resource_state"":1}",Spur of the moment Tempo w Zac,7052.4,1766,1766,8,Run,0,3630872422,3B847A93-DC96-408B-B365-2EDE69640D2D.fit,3876133913,2020-06-17T19:58:02Z,2020-06-17T15:58:02Z,(GMT-05:00) America/Toronto,-14400,"[43.210177,-79.599116]","[43.210209,-79.599357]",,,,43.210177,-79.599116,0,7,0,2,0,"{""id"":""a3630872422"",""summary_polyline"":""qnvfGnuydNg@dDmAvJcBrOmEl[g@zDmAtI_@dDo@zEeApHe@dFq@vDoBrO{C`Tq@tDaB|K{@hGo@~Fm@lDa@`DMz@{@vDg@pDUpAITKN[@a@EkBe@gCe@mEuAaBk@g@M]AUDaA\\WDQ@QCUMWa@Oo@Bo@H]NUJKRKNE`@@VHRLVd@Vv@R`@ZZZNpBj@pDv@bGnB^F\\ADCL]Ji@b@sDd@aCb@kD~@_Fb@iD|@aGl@sFvA{Id@oDtAqJh@aEfAiHvAyK\\aD|@cHtA}IdBeNtAsJZ}Cl@wEv@{Fl@wDb@qDj@aEn@cHXsCXaBl@qC"",""resource_state"":2}",,,,,everyone,,g5351434,,3876133913,3.993,5.3,1,179.2,191,,1,82.6,79.1,0,0,,109
2,"{""id"":23695877,""resource_state"":1}",Light Run,9346.1,2628,2636,29.4,Run,0,3626922582,160DB399-1EAA-4428-8D6A-0190282B5A7C.fit,3871907267,2020-06-17T02:18:03Z,2020-06-16T22:18:03Z,(GMT-05:00) America/Toronto,-14400,"[43.210369,-79.598525]","[43.210288,-79.598545]",,,,43.210369,-79.598525,0,13,1,1,0,"{""id"":""a3626922582"",""summary_polyline"":""wovfGxqydNtAq@ZWLiADiAAaAMyC?_AB]BMRG\\Gl@CpBFjBUhBCjCQhCAfBYxBM`@E\\MfAs@\\IXCvBBxBOr@@n@Bh@Fp@Nt@R`Bj@\\FN?FERa@Jc@Ny@z@gHp@oJd@}D\\eEj@iFb@oF\\cDXkDf@uFp@}Hp@qGp@gHT}Cb@eDf@mEXgETkCPsAh@aDf@uEj@oGbBaM^qDj@oE\\kD~AeM`@eBZaAPc@nA{Bp@wAjAgBfBiDfA}BbBaDrBwENc@t@wC~@aFYdAk@xCYjAg@|Ay@pB{@nBy@~AoB|C_EhHuCzG_@jAWjAsBvP_@hDw@|Fi@rEm@`Ea@fEuApMk@xDuAvOw@dHMzAMjCi@lGq@vFuA~Ou@xHk@xG_AdIuA~Oq@pGS~@IPOBOA[ImAc@uBg@u@IeAA_CLiBA_@BQBWHaAl@a@NaBNsADsANyBBqCNwB@iBPgCEY@[DUHQLUXIVAfAJ~EExAGh@ITQV]T"",""resource_state"":2}",,,,,everyone,,g5351434,,3871907267,3.556,4.6,1,168.2,179,,1,95.2,82,0,0,,124
2,"{""id"":23695877,""resource_state"":1}",Sunday Long Run,16018.5,4638,4672,42,Run,0,3615494816,80913248-44E4-44E5-B04B-6A32EC9E7253.fit,3859708338,2020-06-14T16:45:43Z,2020-06-14T12:45:43Z,(GMT-05:00) America/Toronto,-14400,"[43.210294,-79.598416]","[43.210451,-79.598731]",,,,43.210294,-79.598416,4,11,0,1,0,"{""id"":""a3615494816"",""summary_polyline"":""iovfGbqydNl@UXOTWHSDuA?kBCeAKsB?g@BIDE`@S^G`@AzBDhBUpBAhCQpB@`@AdCY~AK\\ELEHIFMD[^KbEGpBOdB@hALr@N|Aj@p@NX?HADCDMPw@ZgFt@uHd@iF~@qHn@_Id@mDXcDb@yDT_ETqCb@yEj@yEn@iHTgDb@_Ej@sIh@mDdAiIbAcH\\kEj@yEb@{EPyA`@oC`@mDbBqMTqBNu@Pm@z@_CfAsBxBmDz@gBvAeCrAqCt@qA\\w@nAkDn@wBn@iDv@aDRsAVsBNcA~BuK\\qBd@}Dj@yCV{CR}AhByKdD_Vp@eErAqH`BuLTuB|@oETyCNqAjCcPFu@FmAHqGVyIJiFLgEAiBCS]UcBq@iB}@oCgAuBcA{Ak@oBq@sBk@uAm@wAg@kB{@g@M{@Kg@OcAa@}Aw@[I]AEDMVM`@w@rEUfBc@rC_@rDc@zCc@~AkAzCc@hBm@rFg@~De@|Ck@tF{@dHe@dDQnBu@rGgA`Im@fDWxB[fBU~@a@~@]f@oApAe@p@qC`F[r@W~@Qt@WjBc@bCs@jEa@fEm@~Dc@vBObA}@rIaBrLEn@?b@RXt@n@`BfA^\\JP@n@El@s@vFMn@M\\KJYIYQq@q@oBcCiBiB_BiB{A}AgA}@gAs@k@W[GSR]n@eC`H_BdH_AzE{AfKg@fEG`APR|@d@`@THN@VC|@s@nEg@vEGbABlAZtCD|@@~@ItBBx@\\vCd@xCBj@@pABb@ZhBVxBT~@PZZVh@TzAb@\\TJR?f@Ch@Kd@GRSVo@VQR?l@Bp@TbDHr@L`@JRz@v@FH@HEr@Ir@S`Ak@`CKr@G~@@h@FRPNTLz@VfBZXNVVJTA|@Q|AaA~Ey@xE}A`Kg@vDgAtGg@nD_@~Ay@hC]vAwB|Lq@|EYvA_@hAe@|@m@v@y@r@u@d@{@Xq@FkA?[FOFc@XWXe@p@Ud@a@fAW~@M`AEv@?bA@j@PvCFxA?hACfAKd@GRMJi@^[^"",""resource_state"":2}",,,,,everyone,,g5740633,,3859708338,3.454,4.8,1,168.3,175,,1,98,77.7,0,0,,211
2,"{""id"":23695877,""resource_state"":1}",10k with Zac,10082,2666,2666,23.3,Run,0,3604651178,A498C324-8752-4323-9704-2CEFB7BBF29A.fit,3848154132,2020-06-12T20:22:35Z,2020-06-12T16:22:35Z,(GMT-05:00) America/Toronto,-14400,"[43.21004,-79.598157]","[43.212023,-79.601573]",,,,43.21004,-79.598157,3,8,0,2,0,"{""id"":""a3604651178"",""summary_polyline"":""wmvfGnoydNLkBBqBMaF@iAFeALy@VcARm@\\u@Zc@X[d@]f@S`BY`AYdAe@l@c@h@k@f@w@h@qA`@oAXcB~@oH`@cC~AmHhAiEVsAv@cFr@mF|DwVx@cG@e@AIMO_@SeCs@a@WQQEKE{@Dk@t@_ENqAH}@O[{@}@OWEMOeASuBGoA?_A\\]v@YNQJWDSBY?i@AO]Ym@WwAg@o@_@KOUw@[wCe@cC_@oG]iDE_AByBAs@_@yEEcAN}BlAmJFq@@i@AIOKkAk@WWA[@e@LcAzAiJh@cEx@wDbAqFlBmGb@mAd@w@PKL@PB\\Jj@\\`CfB|@x@|A`BxDxDjApAb@l@Td@Nb@BXQrAqBfJYjAUh@]B_@CaAQ_AU_A]kCmAsA_@sCu@qD}Ai@K]?E@KTQt@kBdMCt@ZXbAn@LNDT?h@Iz@m@jDK~@WrCEnADhA`@rCFt@Bj@GdC@|@h@pGNzDJj@^bB\\fCPj@TVZR|Af@\\P^^FXC|@EXKZKPOJm@ROJIL?JHfBNdBNhAL`@JVn@t@R\\?XK~@iAxGEj@Ah@Zf@NNZPr@V~Ab@`@PDHBn@IvAa@|DO`A{B`Ne@lDaA~FcBjJ_A|Dw@tCWlA_@tBqA~I[nBi@vAg@fAe@r@m@l@eAn@iAb@eAV]Fy@Dc@N[RYXW^]l@Sn@Oj@YtB?rBP`EBnA?xAEfASfBcAtHcAtGOd@Q^Q@[C[GwC{@"",""resource_state"":2}",,,,,everyone,,g5740633,,3848154132,3.782,6,1,171.3,182,,1,87.2,78.4,0,0,,141
2,"{""id"":23695877,""resource_state"":1}",Beamsville - Lakeside and back w Dad,41410.3,5973,6943,130.6,Ride,10,3600261843,1396F84B-255C-4DC5-BB04-0DF01713F7AD.fit,3843507921,2020-06-11T20:24:26Z,2020-06-11T16:24:26Z,(GMT-05:00) America/Toronto,-14400,"[43.162722,-79.467984]","[43.16242,-79.469204]",,,,43.162722,-79.467984,2,8,0,2,0,"{""id"":""a3600261843"",""summary_polyline"":""_fmfG|a`dNn@eFbAqH|@yHf@_Dn@_DzBcJvCcLj@kCXkBrD{WX{BRcCp@iLr@sHViDF}DIcFUaFcAmL[iFy@qUGiDAeD@wAJsC`AmPf@wSReLByODmDNqCfAsNVkHF{IIwFYeJCuCBgDLShF_MfByElAeEpCwLbAyDfAkDbDcJpAsEx@_ElBuM`ByIh@eDPyANiBH}A@oAI\\_Er@kGz@aF\\}BBmCGoMeAyKvAgTx@oSl@aGHaO?{Sv@kQ\\wc@pAcWX_DCgCMQo@^gCf@cC~@eDfDcJ@MCwGYsOEsD@gGJuF^oIp@wJx@yIrAqKt@_F`A{Fj@sCl@kC|AmFtC_I|@qC~C_MzAwFb@oBZqBL{BFgGI[d@oDh@{Cd@gBj@eB`FkL\\y@B_@L{EDoD?sLSmWg@uVAaQEuHOsH[aLGcED{[aAm~@CgIJwMEaCKiCMHkE\\uGXBCw@mHc@iDaDkRq@wEaAsHi@oDg@oC_DiO{J}d@eEoUkFeXs@cEUgBSwB]}EYmCo@}C}@wCq@}AiAuBuKkQuIuMoJ{P_JwNgBcDmFkKiFcJ{AqCm@oA`B}DD]CQOMOEm@?c@HgA`@ONMV]|AOb@WZU@SUQk@iAyF_@{BfDtAt@b@x@l@f@r@Tn@h@hCJn@@\\Ej@Sf@sAlBOJNn@Z~@j@fAv@rAhI|Lv@xAjCvFdGbLnBfD~DfG|BbEtBdDZn@L^Jd@Db@A~@QbAw@~CSlAW|EAdEIl@i@hBG`@An@DbAHhAn@vFf@dD~@vEjIkB`C[vD_@~BObCEnGFhAbPjAjK\\jCb@`Cf@|BlKnb@r@dDXhBXdCrAtQ|BlLvAbCjAdBbAlA`Cl]q@bBfExEfKr@NtAFnCMbLArJLzL\\bKH~ED`NGdK@jAPpGp@|NHxDDbF?~Iq@fOXjMChMLrQM~I?zBDtBJhBt@xHRlCHfC?pBIbBShAWbAi@vAmFnI{@hAiAdBiA`GLhGj@bJLhDECuAnEqEbL}BbH}FtSqAxEcAtEaA|Fw@`H_@bEYlEWfGWnIEtC?dDVxPD~J?vBGbBSlBa@`Be@pAuBtEe@zAg@pCO~AKzAvGt@fKgBl@SVWCA^ApIS`NKzFQtKM~Mi@lLEhLk@z_@mAnLKbNi@lGKnLEpCQxBa@|BBTRNZP|@H|@DrBAnJJzFXlDHzB?pBMjHJdEaZzxEPrUVlAz@rGp@nKX~FqBr\\WfAkAlJEb@gOjw@eBlF{BxQA`@rAvQ@E"",""resource_state"":2}",,,,,everyone,,,,3843507921,6.933,25.2,1,125.8,154,,1,110,73.2,0,0,,35
2,"{""id"":23695877,""resource_state"":1}",SO HOT 🥵 ,9022.2,2733,2733,11.5,Run,0,3594662621,560A60BA-D7D8-4B78-AE3E-B5BF86131690.fit,3837596314,2020-06-10T18:21:42Z,2020-06-10T14:21:42Z,(GMT-05:00) America/Toronto,-14400,"[43.210111,-79.598482]","[43.210561,-79.601165]",,,,43.210111,-79.598482,0,10,0,1,0,"{""id"":""a3594662621"",""summary_polyline"":""envfGpqydNk@vHkAbH}@bJ}@tFm@dF{@bG{@fHa@lCiEv[WlCi@xCKbAEdAIx@WfBk@tE}@bGe@hE_BzKeAfG]jCUrCOnAgA|GkAfJwC|Ri@jEUdAMZY@a@GoEiBsBi@kC{@aCs@]QUUo@wAUUQISAOBQFi@\\SFW@k@EoCo@_BYgBm@{DiAgBu@c@OS^Op@}@rGo@rDIr@Cp@Lz@f@hCd@dBP^X`@ZVXJlBd@lBl@\\DH@DCFOJc@XsBJcABaAGQWQOGuA]yFiBqA_@a@U?[Da@bAiGb@cDVcAHQFA`@?n@LxAd@~Bn@hF`BtA\\dA`@ZHP?LCx@k@VERBPJPTN\\V~@LNvBj@zEbBfCt@dDdA^HH?JEPs@LkBL_AnAaH`@eD^}B`@_Df@yClDgXx@aFxAsKt@yEpAmK`@{BVcBl@sFt@aFd@uDpBmNZyClAsJ^mD|@yEpAiKt@{E\\kE^qC"",""resource_state"":2}",,,,,everyone,,g5351428,,3837596314,3.301,6.1,1,170.5,187,,1,82.6,75.4,0,0,,135
2,"{""id"":23695877,""resource_state"":1}",Morning 10k,10096.1,2781,2851,21.5,Run,0,3587646247,FF5BFD7F-85CB-4BC8-8CD4-ED78C3821FCE.fit,3830225049,2020-06-09T12:33:50Z,2020-06-09T08:33:50Z,(GMT-05:00) America/Toronto,-14400,"[43.210435,-79.59854]","[43.210879,-79.598078]",,,,43.210435,-79.59854,2,7,0,1,0,"{""id"":""a3587646247"",""summary_polyline"":""epvfGzqydNhA[\\QPODIFa@FsAAyAGy@YqAIg@Ew@AcADeANmAT_AZy@Vg@Va@f@g@b@[d@ShB_@r@Up@Yn@c@p@s@r@eA^y@Xy@ReAdAwGf@}DVwAj@iCpAoEn@iDzGmb@j@uEb@aD?UKMWS{@a@cBa@_@SQWI[?]De@~@mGJmAAGKYo@w@Q_@KYMw@]oCCi@?YFc@LSTQp@QJIFKFWBSAw@C[a@_@_@QuAe@i@[Ya@So@]wCc@gBIi@CsBEu@i@aFG_A?u@H}AAw@a@oDIuA@u@Fw@vA{KHiAEOSU_Ai@WUCU@g@JmAJq@j@qCnAwJXiBTgAbBqG`BoF\\y@Ta@Z]LEZHRJnCdBb@\\lBrBtCrChDhEb@ZXJNCFMT_A`AgIUxA]hDQhAYbAILMAa@Qc@a@wB}BeCyCeB_BqAuAi@a@eC{A_@KODU\\Q`@s@zBuAxD_@tAsBbKu@dFoAnJEh@?TBHVRt@ZTNLNBVAd@KnAWtBs@fFKv@Cn@HtA`@bEBv@KjB?v@FbAf@|EDr@@xADd@F`@d@bB\\dCJj@FLV\\XRvAf@l@ZXVDR?t@Id@GRWXg@VSLMPEXBr@HnALnAJp@Vv@p@~@R`@APIt@gApGGv@@j@BJPT^Vv@\\`Bh@h@ZNN?^Ch@O`AuAtHgCtQo@pDuAfJc@rB}AfGc@nBk@`DkArIa@fBY|@i@dAo@|@}@z@q@^w@Tm@HgA?a@H[Na@Z_@`@Y^i@lA_@nAMv@MnBE\\KTc@j@g@|@_@fAKn@]dE"",""resource_state"":2}",,,,,everyone,,g5351434,,3830225049,3.63,5.3,1,169.8,188,,1,85.1,78.4,1,0,,131
2,"{""id"":23695877,""resource_state"":1}",Pre-church Long Run ,16021.3,4536,4564,42.1,Run,0,3577744667,335B9607-37B0-4F26-8AE8-084F03B8940E.fit,3819778028,2020-06-07T12:18:01Z,2020-06-07T08:18:01Z,(GMT-05:00) America/Toronto,-14400,"[43.210351,-79.598571]","[43.210401,-79.598767]",,,,43.210351,-79.598571,6,10,2,1,0,"{""id"":""a3577744667"",""summary_polyline"":""uovfGbrydNdBkAFMH{B?gFBsADc@bAEtCB~D[rDCdAGrC_@tCQRGPI`@c@LKf@Mt@CjBBrBUx@?j@Fh@HpEjAN@ZCHQHWHa@PcCf@aEdBeQ\\aDjAeNn@eGb@}F`@sE\\qEj@eF`@eFb@}Ef@}D`@_Fd@oETiCd@uD\\{Cf@yCXsBPiBV{Cf@eD^yDl@uEj@kFl@iEZuC^uCl@gC\\_Az@yAz@kBzAmBrAcC~BmFvA_CnBsF\\iATcAh@{Cl@eC|@uFd@aCl@cC`@{BlAaJ^yB`@iDz@iGnAsHf@_Ex@kFl@wE~BqOzAaJh@oEz@}E^_DZqBjBsMHoA\\kMV}HDcCL_E?_BEe@]YcEmBmBaA_HqCaBi@oCs@iBq@kB{@s@S{@Kc@MiDiBc@OKAG@CDMZGXe@xDqA`HK|@OdCWpB[hA{@fCW|@m@fDMbAi@~FMz@_@dBQdAe@pFq@zE]zC{@|FmAzJe@pCs@tDi@zDYhAc@dAu@jAoA|As@hAcBzCiApCWbAo@zEuAhJa@vDg@fEUhCK\\Mr@yBlPGv@?XBTPVVVjClBZ\\BF?h@Eh@o@bFWnAM\\EBYKc@Y_A}@sDoEwEsEm@g@cBeAc@Q[EWVO\\}@nC}@`CaBhHoAjG]dDyAzJIjATRv@^ZRLPBf@G~@[pBw@jGMtACt@Fr@XvBH`A@fAEhB@`Aj@~FNnDFj@`@nBX|BHb@Zv@j@XpA^ZNd@\\FPC|@If@GTSXq@VOLGFCN?p@Bt@ZlCLx@Rj@x@~@FH?JEp@It@o@fDQnAGz@@d@@FNR`@Xj@TrBp@d@TLLDJAn@Kt@g@hCgAdIsApIm@lEq@vDy@lFa@tBwCxLk@tDk@hDa@~CWnAY|@e@`As@bAq@n@q@f@}@\\WF[BkA?]FYJc@Xa@^c@l@[n@Yv@Sz@Kr@Eh@?fBVlF?~BEr@G^KVm@p@]l@"",""resource_state"":2}",,,,,everyone,,g5351428,,3819778028,3.532,4.8,1,166.9,173,,1,98,77.7,2,0,,195
2,"{""id"":23695877,""resource_state"":1}",Back in the saddle w Dad,41987.7,5830,6422,38.1,Ride,10,3572676442,3925609B-276F-474A-9028-7965F293E7AD.fit,3814426943,2020-06-06T13:01:28Z,2020-06-06T09:01:28Z,(GMT-05:00) America/Toronto,-14400,"[43.210627,-79.600477]","[43.209931,-79.597325]",,,,43.210627,-79.600477,7,9,0,2,0,"{""id"":""a3572676442"",""summary_polyline"":""kqvfG~}ydND`AC~@a@xEcHzi@sHri@uBlPwHnh@uAvKuAnIuA~KmAjHMtBN~BAb@Ud@s@\\_H`Ag@n@e@hA_@dBY|BIrBBpBr@zAxBlDKrAmBhJ}CrSu@`DO`@cF[]bAYtAIzA?jAJzAVrBN@nEvBVfE^jD?bAIxAaBnM}I|j@}AbLuKzr@aEjWwAhImBdNmCnPgGd\\oElZ[dB_@nA]|@o@`Ak@l@o@`@oAb@mEj@mBf@i@dC[lBm@vFwAxQK`FHlHAjBMfCo@nGI~ClHhD[rCe@rByBhHs@vC{AjJwB`KoBlMyEx@{@^i@f@w@`BkBvFkBbFq@`Cg@pCE^DPdBtApDpBBFI`@_@nAq@nA{C|Du@jA_@t@WbAUdBi@pIo@fG}BbNmCrRiB|JGIgBJo@PuBrBgDpBY^O\\Kr@AlATlIRfPq@nFg@`CgA~Dk@`Bs@xAm@z@c@ZqBVeAl@g@r@m@fAyA~D_Hzd@gAbCeAhBs@x@uBdBq@~@}B~EiO~RkAj@iA|@uKfLoHxL{DpFwBxBoGrEgEtDkDpDwF`HuDnDaC~A}K|FcIlFwExDeQvPcCnBgBjAgCnAeHpCaD~Acm@v_@qEbCeN|GkOdJsAl@qA^cFr@kBb@yD~AkC~AmLhI_Av@u@~@~NcHbKqFpJwDbQuJlKkExC}A|JoGfHaFxKiHlHgFdIcFdFuDbHoE`YgSdNgK`VyQhDeDzD_FhE_EhEuE`BqAtC_BrAoAhEgFvLiMvAgBxEwGpOsQnBmCtEeHtCwDv@kAvF_M`HgMv@cBn@cCfFcVp@cC`AmCRmFBiEKuDc@wHG}BFuBZcERDf@QrB}@h@g@bByBd@a@~Ba@`A{FxB_RvCsPd@gD\\uDn@sKl@aG`@GxCeDl@oAp@iCw@QyAoAe@o@Qq@Em@D{@Js@b@}Al@_BdH{PlAQpDA~@uDp@yDt@{FhBgQfCuQj@sFqE}DhA_R`@aNZcH^uFj@qFr@kE`AkErHcArA_@p@]l@k@d@s@h@oA^yA\\uBtA{Mn@wEpGy[`AoF`Iqi@~Gsf@tD{TdDmTzDsU|B}ObCsOn@mFJkBCmBWwC[_B_@}@i@q@yB}A]IOqBGyB@yBJsC|Gp@f@iCl@{DdBiOrB_MsCiIMQt@eFrAyEfHsAlCu@QGQcBGqA?_BTmEv@{HtCcT~Jyn@nC{TvDiVtBeQnEmWx@qFpCgWXyERyH"",""resource_state"":2}",,,,,everyone,,,,3814426943,7.202,14,1,143.1,159,,1,83.2,74.6,3,1,,94
2,"{""id"":23695877,""resource_state"":1}",Afternoon Run,7093.7,1920,1920,7.4,Run,0,3569185704,230591C3-53CE-4B67-BB1A-E682EEA75E7D.fit,3810742998,2020-06-05T20:09:21Z,2020-06-05T16:09:21Z,(GMT-05:00) America/Toronto,-14400,"[43.2103,-79.599892]","[43.212226,-79.600097]",,,,43.2103,-79.599892,1,4,0,2,0,"{""id"":""a3569185704"",""summary_polyline"":""kovfGjzydNe@tDe@|C_@bEY|B{@jFe@`Ea@fCgAhJy@rFwAhKm@vD]bDeBpMc@vEk@lDc@pD}BdQ}B`Oi@jEaBxKm@bFs@jEu@dEiAjIs@dDe@~CQ|@QBWCmCu@uBe@q@UaBq@qEqA[SOSa@mASa@MMQEKASB[TW`@Mf@?f@Jn@JTNRZPV@REjAu@ZGT?j@J|Ah@`C\\vGzBn@Pb@BPEPm@L}@ZaDzCwQdAqHd@yDp@iE~@sHl@sD^aDn@iDtCqTd@qCj@gFpAaJ\\oDvBoNlAuJ~BiPh@mEv@gFh@gEHeBCk@IQWSg@SwFeB]QOOGMCM@YDUJ[Zm@fAqA"",""resource_state"":2}",,,,,everyone,,g5351428,,3810742998,3.695,5.2,1,172.8,186,,1,82.6,79.1,0,0,,103
