resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":17349694,""resource_state"":1}",More runs in NOTL pls,11434.8,3422,3422,28,Run,0,4525261753,garmin_push_6011131214,4834961547,2020-12-27T14:01:58Z,2020-12-27T09:01:58Z,(GMT-05:00) America/Toronto,-18000,"[43.246236,-79.073547]","[43.246012,-79.073162]",,,,43.246236,-79.073547,0,7,1,2,0,"{""id"":""a4525261753"",""summary_polyline"":""}o}fGt`saN|@_Df@gAnBkF|BsGNk@`@eA^w@xBiGtAgDr@sBNo@P_@ZaAt@qC`@qBVsBH}@FoBBoC?q@GmAOc@uBwCwA_Cs@o@wBaAkBY_COuBC_@CcC?mFOeBKwE?aHY{@@SBiA^]VaAlAg@`AYRq@HSTgBfEe@~AkArCsCfGgBhEWb@Yr@Yl@k@zAa@|@uAnDu@zBoApDq@nAYt@Sn@k@lAm@jBoBxEQl@k@rAe@rA}@jBq@fBSb@eAjCQh@AX@JBHf@r@TVnAlAz@r@n@r@lBhBX`@J`@?j@]pASd@]j@Wp@Sn@{D~IqD~IYj@gApCaArCeB~Dg@tASv@Kf@Cx@HxAL^T^Tj@Db@X`FRtAZzD\\fCPzCLnAL|@Pl@x@~EFf@LpAXpAh@pB@h@_@tA@VFJRFv@Wh@[LOfB}@f@i@b@[lC{Af@Ub@Y`AaA`Au@j@Uf@[dAw@fDmBjBy@VUBE?c@EkAOkBq@}LDcBJoAF]v@oBZcAxAyC`C}FNYPi@CQEMi@k@{AsB_B_Bc@k@aEcEeAoAqA}@w@u@eAkA}@mAWa@_@c@c@Yk@i@c@[YM]YMc@Hi@hAwDt@yBl@{A^mAjAcDl@sAVc@@GZq@v@}BRg@t@uAf@yAz@mBNi@b@mAdBmDl@aBhAoCj@{AfAeCfAuCl@mA^i@Z]^[`@UjAe@dAk@bAa@vB_Ah@QrDkB`@WzB}@lAo@jBq@pAm@jEgBbA[fAc@xAc@jBu@jCu@x@M|@UjDk@d@CZGL?HTAt@UtAGr@QdAQ`DCx@Vj@Ad@I|@Qz@qAfEmAjCYv@UbAcCtFe@xA_@z@}AfFkA~CIb@[v@Qn@m@pAGXc@z@Qn@"",""resource_state"":2}",,,,,everyone,,g7465102,,4834961547,3.342,4.4,82.4,1,171.8,190,,1,94.8,73.8,0,6,,172
2,"{""id"":17349694,""resource_state"":1}",Lol what even was this ,5460.1,1749,1749,9,Run,0,4510429938,garmin_push_5995440814,4819235776,2020-12-24T01:10:17Z,2020-12-23T20:10:17Z,(GMT-05:00) America/Toronto,-18000,"[43.1992,-79.229074]","[43.199371,-79.22907]",,,,43.1992,-79.229074,0,9,0,1,0,"{""id"":""a4510429938"",""summary_polyline"":""_jtfGvlqbNODQMQk@AGBMLIfB?NK?Ww@uD{@_Du@cCQs@qAwEg@_CcA_Ec@}AUm@uA{@e@cAKKwBgAsAk@iAo@e@UeHiBq@W_@u@UYc@cBWwAYs@Ms@q@mCy@oCm@kCUw@]aBg@iB}@uCUeAsCmKSU_@QmBC}AHiCV{Cl@_AJkCt@wBb@mCz@s@N_@Gw@Bw@EsAPe@HSNELQPaBh@]RIZBVp@`EP`Bt@dDdApCVTzALp@BpCC`@DXd@|@\\Th@pB|GRTT`@VV|@hCh@Ot@a@NCVPR^h@tATd@b@bBXp@p@jCHp@@f@L^ZLbAJd@?b@C\\SdB{A`@a@Xe@`@YVKdArBrArDZnAFb@Ph@`@dBxAxERB\\OAN\\bAJJ`@LdAr@\\XT`@Jf@RhAEnAB`@VFlALZDb@A\\DfA@b@Ch@?jBDxCKhAH^LT\\z@hBNJh@Kf@Af@DZ`@R^"",""resource_state"":2}",,,,,everyone,,g7465102,,4819235776,3.122,4.3,81.6,1,147.5,164,,1,95.4,87.4,0,0,,35
2,"{""id"":17349694,""resource_state"":1}",Dad Strides Mile Time Trial,1609.4,364,364,0,Run,0,4498384722,,,2020-12-20T23:18:00Z,2020-12-20T18:18:00Z,(GMT-05:00) America/Toronto,-18000,,,,,,,,0,15,8,1,0,"{""id"":""a4498384722"",""summary_polyline"":null,""resource_state"":2}",,,1,,everyone,,g6838775,,,4.421,0,,,,,,,,,0,6,,
2,"{""id"":17349694,""resource_state"":1}",Strava stopped recording 2km in ¯\_(ツ)_/¯ ,8500,2550,2550,0,Run,0,4484046683,,,2020-12-17T17:05:32Z,2020-12-17T12:05:32Z,(GMT-05:00) America/Toronto,-18000,,,,,,,,0,8,0,1,0,"{""id"":""a4484046683"",""summary_polyline"":null,""resource_state"":2}",,,1,,everyone,,g7465102,,,3.333,0,,,,,,,,,0,3,,
2,"{""id"":17349694,""resource_state"":1}",Supa chill(y),4532.3,1465,1465,5.7,Run,0,4479215105,CDE7F599-756F-4D77-92FB-F83139E1FAC1-activity.fit,4786283766,2020-12-16T13:12:54Z,2020-12-16T08:12:54Z,(GMT-05:00) America/Toronto,-18000,"[43.199334,-79.229146]","[43.199332,-79.229333]",,,,43.199334,-79.229146,0,6,0,1,0,"{""id"":""a4479215105"",""summary_polyline"":""yjtfGdmqbNI?CEOq@AY@IDELERBHCJE\\IN@TCN?HIHQAGi@y@Qe@GYGIKi@K_@?GO[@IEIEWM[Ou@EQEGg@yBYm@AWM_@IMOe@Ou@W{@OeAQ_@Ke@GMIo@EIQk@IOSy@KWGk@MEKMe@WKIUCGMKESCEEc@Ua@MWKGIGAIIK@a@WICCGECSCGKi@Sg@]WME@KIe@IWMM?m@OIEG?CGI?e@QSCA@QIE?CEq@MMK[OOACESASIGI]CKIKAMMMAOGQAWKK@UOi@OOIE?MMGISAa@SUG[CYME@]Q]GCIMBKCSII?MGc@O}@QKIUCSMO@IIKAo@YMBUG[?ODKEW?E?MDSCKDQGe@?EEe@QIIOAIFSIK?EKOKAEIIKAEGQIGGQCQIa@YG?EIE?GKIA[OIAIQM@KIC?CPFRDFNt@DDB^DBZj@@NJVR|@DF@LHNBLDFDNDDPr@FDJ\\@LRh@AFLTZdAFDLn@P^F\\Pb@HZHLF\\Rh@?RPb@DD?JPl@Fd@HRBTDH@`@JVV~@BHHBFL@l@R`@?JHh@DD@LHBDR@ZLTDj@L\\DXHTHn@Nv@LZBVJT?FHXBL?HJV@LHTNp@HPALJVD\\Tt@BPHJA`@J@DLZzAVj@B\\DDB^Pj@@LHPDb@XtAP`@?RTl@F`@Pp@BVDDJd@NCHGRDVERBDEJ?`ABFDLBH?BBLGFB`@ADE\\BFBn@SRBXCDDJGF?J@h@APDn@AH@`@?HBVGL@`@E^JFGX@DCX?DAH@FCZ@h@MTD`@If@@BEHDFGPCRBHAJBRGJDHAVFTEHCZJFCH?D@x@GHDRAFAFEZ?JEb@FPADBFGH@DATAJEN@PAZFFGJBZCFBHAn@@^EFDXG@GMYOk@KOKq@MU?QEKIc@CC?IIc@Oa@C_@Ka@"",""resource_state"":2}",,,,,everyone,,g7465102,,4786283766,3.094,4.7,,,,,,,90.6,84.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",New boot goofin’ / accidental 10K pr ,10000.9,2677,2677,13.2,Run,0,4471998871,F37F586A-3060-48B0-B6AD-AB3A01BE7188-activity.fit,4778675279,2020-12-14T16:49:18Z,2020-12-14T11:49:18Z,(GMT-05:00) America/Toronto,-18000,"[43.199242,-79.229137]","[43.205455,-79.209913]",,,,43.199242,-79.229137,4,9,11,1,0,"{""id"":""a4471998871"",""summary_polyline"":""gjtfGbmqbNO?KIUy@?QBIXQhBGHG?QKKK[E?UwAOa@O{@Qo@CWMQIm@MY?KOc@E_@YgAi@yAKi@Ue@Ea@Yy@?SISC[o@oBAUc@kBGKAIECASWk@iAc@YUUEiAw@s@WkBmAcCgAgCm@{@]eBa@gBm@WCEE]IeAe@{A[[]cBg@aAUUOiAS_@Q{@SkBg@WMgBKgABo@OS@eBaAEAUHIGMAWUI?QMYKGKE@w@e@m@Us@e@SCEDOWKGo@G_@D]EcB@MDS?cAGS?eAHOPNdA?XI`@QVNl@BZH\\AFHPAXFLBZFP@^BDB\\DFD`@Pr@BTP|@Jv@JVZlBTfABXJXSDo@CqAJo@@OEcBDmAHYEw@Js@DgA?SLCFcAEiAF}@CoAHaB?cAH}@AeCBqAH_BAk@Hy@E{@L_ACcBHSESOIyA?eBC}@Gi@AmBEOGCm@KE@UMIOc@iC]qCMiB?SFQXSN?JINDr@IZFn@ElADn@Kp@BfAEj@?LDlCKbA@|AEPLBPFrBD`@Cd@BPAPF|@CxBFjAC~@BL?zBD`ACVB^?pAHHX@TEf@AFDt@Gl@B`@GLFbAGxA@h@G|@B`AIhCG`@IfB?nAEn@F\\Eb@X|@Gh@Jb@tC\\rCf@pC?RNp@Db@HRRxAFpABHBVPb@F\\h@fAf@pC\\r@VH`@j@Pd@Pt@FJDVJ\\j@tALPBPP^BPTd@BRNNDPZh@H^b@z@Pl@Zn@Tp@NJF?HHp@?j@IXDf@GjA?^I^DpA@\\IXBfAG^GTDnAEz@Bb@Kh@Fl@Ej@Dz@EFDx@K\\Dl@Ib@DrDKv@@rAKZFlBMzDE`@B|ESJDL?DE^Fb@G`A@r@G~ACt@Db@GDEBWEKa@oBOWEa@KMM{@IOMq@MWC]c@}AIa@Qc@AYSWWyAO]Mu@O]g@_C]w@ESOYIa@GO?SGO?GMUIa@Yy@M}@YwAQg@OS[_B]_AG_@a@yAaAg@Ea@ZOFKBGESKMK[AOSo@Ic@Wy@G[GK_@qAS}@Sk@?KO[QiAQ]UeAEC?Ia@iAOw@a@mAIq@e@yAE_@GKE[OYCUS_@Om@AS_@cAE_@Uo@Ig@]gAC]Ss@MOCQKUIc@CCOa@OaA]mAAQ]}@YuAAOO]Aa@Yy@?IYy@Eo@Sw@Is@EQCABJ"",""resource_state"":2}",,,,,everyone,,g7465102,,4778675279,3.736,5.4,,,,,,,91,79.6,1,2,,
2,"{""id"":17349694,""resource_state"":1}",Inaugural hills/trail run,6816.2,2566,3016,279.4,Run,0,4454792036,05871052-5C03-4EA6-ADDB-568AB23ECA44-activity.fit,4760538962,2020-12-10T15:09:42Z,2020-12-10T10:09:42Z,(GMT-05:00) America/Toronto,-18000,"[43.125145,-79.24751]","[43.125155,-79.247522]",,,,43.125145,-79.24751,0,10,5,1,0,"{""id"":""a4454792036"",""summary_polyline"":""c{efG~_ubNLMVKLMd@_@`@UFKFADGHCdAy@NERSd@WRWB@LIH@VZLXAFBFNL?PFPB@BHJHJ`@FFLh@DF@^DL?PTp@BZAJHPVBNFBDZDJFFPRJBLJJJ@HFFARN?HFBBLJXHj@FRBVDHZZTNZ?NBTKPQONIPWF[AOI]]?CSIISEe@GQG_@QYIGEOGK_@OMSi@c@S?c@[_@C{@w@GMAQCGKOIEEOKI[m@CIOSGOE]OSIUS[ICEBSZK@QPUDq@j@UHUVMD_@\\WLONCNJOf@_@PSrA{@|@y@f@UDGPKXWf@YF?Pd@HHHXJND^LJL`@Vb@BXNZBXL`@B`@HV@\\RFDHJFl@LPZLNn@\\PVPZL~@N^RNPRJHp@DLCPQEH[Pe@Eq@y@Ga@Qc@Ms@_@q@_@OSY[W]CWIGKWMKJG?q@m@EIK]m@eAO[U[]mAa@q@IAULcAv@CFiAt@[ZYNQN]NKJQ~@Ny@NO^Sf@c@l@c@LGpAgAFIz@i@LELQl@WJb@NVT~@PVFXLRNf@DFH|@HTF`@HLCT@JBFTJDFx@T\\^j@ZLVRTXvADL\\RTb@PD`@DHCNHDWJKGHG@UTC@g@GIOKEQSK?CMCCA[WiASSCOEAIQC@EE[OGOGAGKOIGQW?SGYUk@GIKUMOSM[Qi@WWIYWWOa@Ki@OO]i@G?QTODWT[J_@\\[LCH]Xw@d@]Xz@e@PQRKb@a@d@[JOHCh@_@^e@nAi@HMHBR\\NJBLALTRABDPHFBJBXBDRPBJ?NDNHDFNBT@XN|@Cd@JFHCRJHRT@PPPHD?FLRNXNFPZ^HRBVHTABBPJXRJDLLDHJPHj@ALUFC@ISP?DE?CLEBM?MKQDGAKMIEOWI@IGCKISEa@GMCQOUEEO]k@]U]WSQAm@_@w@WWYKGOUCMQYAGOMOa@QUEQKQIs@e@q@IAEDI@{@p@ODAFQJWPKNKDMXcAb@KHAFMB`@_@VIJOTERYFATUNGNOJSLAHO^MRMTYZMPOH?LIJAZ\\LVNb@DXDBHN@TFPNPDXHRBP?JFZDBFh@FT@VBDLFRRZF`@TLJNTf@ZLPFDDRFBL^?FDDGVFJ@LZVRVVLf@HLGJUFACJg@Ro@KUUEMUKQg@?IIW?ECQIQ]c@EKa@OWWGOMKCKq@OSUSCGGMA_@SMOWq@QSSa@i@u@GM?]GSGMQQKSMFONI@IDELQDYVU?YPCHON[VKN]LOPG@"",""resource_state"":2}",,,,,everyone,,g7415523,,4760538962,2.656,6.3,,,,,,,167.9,114.6,0,3,,
2,"{""id"":17349694,""resource_state"":1}",Chillin & chattin,5003.5,1678,1678,14.2,Run,0,4452670278,43AF19D5-5548-4537-9297-B03DCA631AF3-activity.fit,4758306493,2020-12-10T01:07:36Z,2020-12-09T20:07:36Z,(GMT-05:00) America/Toronto,-18000,"[43.212801,-79.21257]","[43.21363,-79.212756]",,,,43.212801,-79.21257,0,9,0,2,0,"{""id"":""a4452670278"",""summary_polyline"":""__wfGpenbNFCRADEN@d@K\\ONCXMn@OLGN?BCRCJGNANKT?XQb@GZITSLBPENGPMRARKD@DCf@m@FEPIRCLIb@KRKp@Ml@SVEVKBEL?XID?`A_@l@OD?HGZEJIJ?`@QF?JED?TGNCfBc@d@QdAWf@URCbBe@NILAh@S\\KH?j@St@O`@MLANIdAWXM`@G`@Kf@Up@KHIPArAg@LERAVMNCDE@@N?PKn@KXMLMF@b@MRKREFOHEN?PQ^KJKNEv@_@d@OFGVI^UNGHAPOhAi@POTEVQZGLMF@HCNGHKNKD?HGB?FG`@Id@_@DKRI\\_@TKFKNEROFCPQDADEF@DIRGDEdA[z@[x@a@NOTMr@[j@SP?RMLMRGBEH@NGNMN?FCXUn@[HMTIPATMHAHKTGDILGLMf@QDEMLGAc@Ze@TQDED[BYTKL[DKNE?GJSFIJUBIJK@IB_@XUDKPSHM?OFGCAFI@YRE@IASPMBSAURI@SFGAKJKBCBCAg@Ri@\\YJu@`@e@ZKNQDQRKBMNIBMROBORI?OJADOBGFGAQNG?MHQNMDSPOBa@XgA`@WVWHIFKBECE@URGA_@Xw@T_@\\WLI?SLQBEFGCE@MJMFI?[PG?ODSLe@R]L[D[NEAO@_AZ]FCDKBEDCAKFG?IHEACBQ@MHY@QJG?MHUDS?AHIBQ@OHEAKD[DID_@BMDCD[Ji@TQ@c@NG?IFk@NOJEAOH{AVk@RSBMFEF]BIF[HQJYFm@DWHYFIBEFK?WFCF[@KHI?ODEFIDWD[L{@PYJU@KHGBO?IDGJUACBG?EFE?g@TGHYBQJE?MHI?EBQ@UDONMDERYNy@PQFGF]FEDW@EDECy@ZU@CDKBSFUDYLq@PG?EBUDYNS@WNe@FGDSBk@TMBGAEDSDMFI@GD[DI?MK"",""resource_state"":2}",,,,,everyone,,g6838775,,4758306493,2.982,3.9,,,,,,,96.4,87.8,0,0,,
2,"{""id"":17349694,""resource_state"":1}",It winter,6130.7,1717,1717,11.4,Run,0,4445949162,5DF3F33B-2BE5-498A-9F57-4F229D6F3387-activity.fit,4751266383,2020-12-08T13:41:12Z,2020-12-08T08:41:12Z,(GMT-05:00) America/Toronto,-18000,"[43.207478,-79.215457]","[43.207625,-79.21529]",,,,43.207478,-79.215457,2,9,1,2,0,"{""id"":""a4445949162"",""summary_polyline"":""u}ufGrwnbNGFXjA@PR`@Jj@FPH\\KX@FNPVEZF^BFAL@~@GL@LEFDLCL@HADE`@FLETNZCVEDCX?DDX?DEXAFEF?JFBGx@ADCT?FEb@@TCL@V?J@NCZ?JGP@\\HvAId@BDB^CDDTCDBf@INFX@d@GV@\\KVHNIVEPBDA^@PCDCTABBVA\\DTAFC`A@DAJ?FAF@VELBDAV?HCD@R?DEFDXCJ@DALBDEJAP@DDJGRFJGD@HAD@ZKLBf@?FABEH?HBb@Ah@FPGLBFAPDTEHBBA^AJCFETDDCLAj@@ZEZDXCPDDEHCFBb@?HE`@?PELBRG`@AJBPA|@DXEDBD?HEL@PG^BFCL?HAHBDCn@DPEJ@PEbBALAPBP?LBVEb@CRFPAHGF?l@MTAJBLCR?NEbABPAFBHIF?PD\\CJ@RCPMVDDGFC\\JL?PEDBBC^@LEJ@PCd@Bt@M`@BDCV@FCHBX@VCL@PEn@?NBDEDF\\OBBv@ADEFAHEPDLE^@DCBDLCTBBCHBXEF@X?d@Gr@AZGDBFIJCL@d@KDEZ?FBDCDBFA@ECGAMYw@[{AKSIc@IGGM?GKYAMIOKs@Oa@?GM[AQCCE[EGWsAEMKG?KK]AUEE?GK]Ig@Ua@Oc@CQOa@?OKWAI@ICGIMOBEEG@KEIDWIIDKCIB_@Go@@GAm@BEDCACH{AAKB]C]@EEEBQKEFOBc@@GCMBMAGDE?MBe@?SBGAMDMCUAOCWLGEIAIDU@QCGDGAC@IAMDSASBq@AQDc@Ek@CGHQ?WCIGKJK@c@AQ@MCIJSCQF]GSDWCIBWCE@ED]AGBKAQBKCWAE@O?OCSFAEKDEEYD_@?QDOCQJe@EgA@]C{@DIEGAk@DKASBCCG@CHOAEEK@GAMDMC_@D[@YAo@BMAK@EDIAY@II[BGA[Be@ESFe@BEAc@H_@CSBGAQHWBGCY@KCK@IFEAg@@IEKFUEGBE?EDOCQ@KB[GOBYEK@GBKCa@DMIMBGHi@@OCc@Fa@Cy@?GA]Dy@?S@QCMBa@@MAS@SAg@DcA?iAFECo@Da@Ci@DECWFK?OEMDw@AWDcA?a@BUAO@CBGAc@F]C_@Bu@?OB{@B_@?OAQBKAi@@EAMBsAAKC]@g@HQ?G@[CKBCFN^Fn@^lA@RT|@?TNXNr@Rj@FDDF?JDHANTn@?LDFJp@DDF\\V~@DFDTDD"",""resource_state"":2}",,,,,everyone,,g6838775,,4751266383,3.571,5.3,,,,,,,98.7,86.5,0,1,,
2,"{""id"":17349694,""resource_state"":1}",2 x 1k feat. new job perks,4209.4,1317,1387,9.4,Run,0,4434703464,DCF5E3A7-F7BE-4B8B-B9C3-05B34C798A07-activity.fit,4739398132,2020-12-05T21:29:57Z,2020-12-05T16:29:57Z,(GMT-05:00) America/Toronto,-18000,"[43.199305,-79.227021]","[43.200682,-79.226975]",,,,43.199305,-79.227021,2,12,4,1,0,"{""id"":""a4434703464"",""summary_polyline"":""sjtfG|_qbNE?MGQ@c@IY]w@[MAUGWAOB]ASBKEo@IOBIF]`@Sb@SLK@OOIECGKGK@UVq@ZYEc@Bg@CUGWFc@?cABaBIM@MEK@YICB_@?GE]AOE_@Ce@HOAYHE?}@NGDG@MDSLM?KBUBEDOBY@IHc@BIA]Qq@@c@]QWQ[Oq@KGi@M?FBD\\^PNJXNRZVLFZ?^B^PNJJAH@HGPAXKt@OL?b@UdAOFEP?f@Gp@CP?x@Pb@@p@Jp@@RD^?NE\\?LBTERBNEN?XHd@E`@DVIF?FGF?`@ULAHDJNFBJ@HAHGRU?GFEBKDEh@[RCv@FXEdADFDFALFFFPFNJFJNDHB\\EDBZ?FAB@?Fi@@EAM@]AMKGMOKKKk@U[?[D[?{@OUA]RSVQb@UXMAYWMGIDMJE@CDOHG@UHGAGBYCUBQGc@BMBI?GEU@SCGDMCQ@YCIBKEQ?GCE@GCq@AGBSEIBGEo@KGEq@ESD]AaAJ]LI?GDG?SF[DEBK?UFI?]LQ?WNK@KCECAKOUIUKOQCE?CIUG]YGAEEEAG@CDANJPBNLHRVLD^?PJNBLJ\\BTCJ?f@MFCLAL@ZOHGLCPDZM`@IJ@LGj@IH@\\El@?\\LP@LBZAJFF?HDF?FBHCDBv@?j@FPAJBXKN?Z?PB\\Cf@?VBZAf@WJKPANFJPLBLIJQl@u@\\QNARF^ABDTEXDDCL@NAJNFAd@\\DFN@VRXAFBHAFGJFTAFBHPBZP\\GKGm@ISMAIB[?K@MDM?c@UISOQe@OWAe@FQAO@EF?FDl@"",""resource_state"":2}",,,,,everyone,,g7415523,,4739398132,3.196,6.1,,,,,,,89.4,83.5,0,2,,
