resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":17349694,""resource_state"":1}",Hello Darkness My Old Friend,0,1200,1200,0,Rowing,4213982284,,,2020-10-18T22:51:44Z,2020-10-18T18:51:44Z,(GMT-05:00) America/Toronto,-14400,,,,,,,,0,4,0,1,0,"{""id"":""a4213982284"",""summary_polyline"":null,""resource_state"":2}",,,1,,everyone,,,,0,0,,,,0,3,,
2,"{""id"":17349694,""resource_state"":1}",:),6322.1,1909,2773,43,Run,4203936557,garmin_push_5686766448,4497699519,2020-10-16T21:53:24Z,2020-10-16T17:53:24Z,(GMT-05:00) America/Toronto,-14400,"[43.199249,-79.229131]","[43.199366,-79.229085]",,,,43.199249,-79.229131,0,7,0,1,0,"{""id"":""a4203936557"",""summary_polyline"":""gjtfGbmqbNOHKCU{@IQa@Ge@Bq@LUOWy@_@oBIqAIm@SQMCWCe@ASGo@?WOOOI@]Ve@RWDwBCm@BuAKq@AkAG}A[o@AeAJkATq@V}Bn@k@Ik@?c@KOKMMgAeBUQiAa@yA[cA[YOk@c@YKcAWeCaAe@Ua@Wi@Q_AK[IM@s@Vc@L}@t@aBbBULECMa@s@_Da@iD{@iFOoBGOq@@g@Cm@B_AAwA?y@Bs@EsALiCCoAJ{CFqATi@@eB@mDF_@K?AAnCEp@@D@]?w@Ea@?k@E_@GEmBFg@?YCm@D]CoA@m@CkA?mBJg@McADg@HPARDTJf@Fd@CpA?b@En@@j@Dj@KZBLCVA~A@d@E|A?dAJnA@rAERMt@If@KdAGbBFh@?p@Eb@GbB@zCJd@ANEhAG~BEpAGzA@DAHRFf@VTNHNVPf@nAfITbBJ`A@DF?\\e@ZSh@SfAWh@Cr@DJBf@Ef@Hb@ZhBn@`@HVJlAn@b@Nn@VTN`C~@XDxC~@r@Jb@XRTR\\LLPBf@Ah@u@^Dl@Pv@Br@JzAOr@Bz@Lh@Af@EpCPdBG~@Bd@MJG^Ir@Ez@kAf@Uf@@D@TXJ~ABjADp@n@bCHJ`@HpBRV`@LL"",""resource_state"":2}",,,,,everyone,,g6838775,,3.312,4.7,1,,1,0,0,,51
2,"{""id"":17349694,""resource_state"":1}",That Stewart Rd. wind hits diffy ,13979.7,4363,4968,18,Run,4187210158,garmin_push_5669245377,4479838389,2020-10-12T20:19:53Z,2020-10-12T16:19:53Z,(GMT-05:00) America/Toronto,-14400,"[43.199187,-79.229101]","[43.199366,-79.229105]",,,,43.199187,-79.229101,0,9,0,1,0,"{""id"":""a4187210158"",""summary_polyline"":""{itfG|lqbNGFG?OUYw@IKu@?i@JO?c@o@Ui@YaAMeAG_AG_@IMaBK_@@]IOQKA]J]R_@J_@BUFa@@k@E]@i@CiCAe@CoAWyACw@FWFi@FWH}@d@_@HMHc@BKCc@W[i@y@k@QKUKeBg@sDy@UQs@gAg@mAc@}A]aAY}@Os@Qe@WkAYw@_@cC}@}Cm@eCo@}A{AyEMm@o@kBYcAk@wAoAaEgB_IcAaE_@aBWuAMKMa@Gu@Mi@SGY?WPwChAo@d@[Lc@?e@Uk@kAg@cBa@iBg@}AMq@YwB}@wEgC{NKu@Em@c@{CgBkJgAcHi@eCiA}GuBqNwGw]ASBMCa@Kg@BOBExA}@Ze@RGf@E|FG`@A|EErDG|CM~HIzEMxBKpACb@CtA@jAAxEOb@CvA?fBEpAIpAAzBIhA?hAIfCKzFIvAGpEEfEIdC?vBGzDC|DIjBKX?LDAFcAB[?_AD{DBuADeBJwCFcB?cBHq@@o@D_A?iJVmJPgDLoDDsBJiCBwCJ}CBs@BqCBm@D}FJiENeC@kDJsGHe@BgEJ_B@qCJk@Da@FKN@F^zAv@jDtBxJv@`EjBnKlAtHf@tDh@fDVhAXlB^rB\\|Bj@vC`@jC~@fEBXIp@Dp@xB~Lr@hD~@|GHf@`@pAn@|EH`@Dd@`AnEN~@HbAJf@NVXRFHt@fCJl@Ph@Xf@N`@HLZNpALjDAtA@J?TPj@jBt@t@j@~A~@lCv@nCbBnFh@fBpCrKVvAxAlGVnALP\\PlA\\b@Pj@JTHj@j@h@`@t@z@TL\\B`A\\jAKpB_@~@KrAY`@Cd@Hf@L~AHd@Ap@Fj@Cn@Bd@A~ADd@Ar@S\\EXFnAmAJCh@Id@BNh@Fx@HvBLr@\\rARj@V@nAI^Jf@`A"",""resource_state"":2}",,,,,everyone,,g6838775,,3.204,4.5,1,,1,0,0,,176
2,"{""id"":17349694,""resource_state"":1}",Dad Strides Podcast Running Weekend 10K PR!,10012.1,2745,2745,10,Run,4178230543,garmin_push_5659973139,4470284654,2020-10-10T21:13:28Z,2020-10-10T17:13:28Z,(GMT-05:00) America/Toronto,-14400,"[43.190183,-79.288765]","[43.19146,-79.288293]",,,,43.190183,-79.288765,8,11,10,2,0,"{""id"":""a4178230543"",""summary_polyline"":""sqrfGxa}bNQ_AQi@o@aCs@_DeA}FQo@YkBKcA]oAo@sAMa@m@eAaAoBUYS[qAqCo@gA_AgBsEsH{@gBiCqEo@_AkCqE_@g@{@aBaBgC}ByDWe@w@eBw@yAg@u@{@}Ag@s@yAoCk@{@Wi@uA_C_B_DqAuBa@c@q@sAUq@[i@]k@WOe@h@]j@q@z@AD@ZHV~@dB~@hBvAdCp@xAlDdGl@lAHf@IZ]j@OLaAvA?b@Pb@d@z@\\b@b@t@nCdFpAjChBpCjA|B`@l@v@|ArAzBbA~AbAfB~@hB^~@Fh@S`@}BtCe@t@GT?Fd@hANr@L~ATjEXt@zCfGJn@@v@ApDj@zD`@~ABBX?tDKvCExA@rDQ`@?|BIfCAjBIb@K@EOy@a@uA]yAI{@[mBo@{CQq@_@aDUw@Yo@_@i@Mi@Ue@{@eBq@oAW_@}@kB_BsCWm@{AuBwB_E}@sAm@oA{AgC_A{AUk@{A}Ba@{@yAiCkCyDu@_Be@q@Ui@aA_BiBiDcBqCc@i@Wg@g@w@kAsByCiGmAeBsAcCmAoBSJWh@eAnAMZBHRj@`BxCn@pAdAfBVl@pBbD`BzC\\t@Hf@O`@iArA_@h@K\\J^`@t@t@dAlAtB|@|Av@`B|A~BdBdDh@hAZd@r@vAZb@rAfCnAjBv@xAvA~CDd@i@t@cBzAWZa@p@AZ^x@VlAX|D@~@Fx@JVp@jAj@rAZb@Td@Nd@Lv@F|@JfEZvBb@lBJND?pCAhACd@@~CKrAIzA?fBCl@Gf@?jAK"",""resource_state"":2}",,,,,everyone,,g6838775,,3.647,4.8,1,,1,5,0,,69
2,"{""id"":17349694,""resource_state"":1}",I want answers @garmin,8000,2560,2560,0,Run,4170032807,,,2020-10-09T00:08:27Z,2020-10-08T20:08:27Z,(GMT-05:00) America/Toronto,-14400,,,,,,,,0,4,2,1,0,"{""id"":""a4170032807"",""summary_polyline"":null,""resource_state"":2}",,,1,,everyone,,g6838775,,3.125,0,,,,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Been tired,13002.2,4122,4122,19,Run,4152377059,garmin_push_5633056280,4442882147,2020-10-04T21:11:32Z,2020-10-04T17:11:32Z,(GMT-05:00) America/Toronto,-14400,"[43.199306,-79.229112]","[43.199442,-79.229003]",,,,43.199306,-79.229112,0,5,1,1,0,"{""id"":""a4152377059"",""summary_polyline"":""sjtfG~lqbNEAKUIg@?OBITEdAAVI@EAa@UeBCq@Qo@Os@Me@m@cBYq@e@cBMm@{@eCW}By@cD}@}Cs@c@_AYYMq@k@s@c@cCmAe@[eAa@a@]]c@][_D{@aAUm@S{Bi@cGgBsAg@_Bc@c@OwBe@cA[a@G[Ca@Ac@@kAIeBs@mAo@eBcAsAu@oAg@KOyAoI]_Be@kAKg@y@kCg@oCCIGE_@E_@@{Cr@k@He@NYf@[R[DQAMIK_@A_@}@uF]}A[iBa@cBMm@MaA[{AqAcIOkAg@qCFc@@c@Km@qA{FKw@]_Bm@{EQy@Is@Qo@Dc@VQTAjA?bADpBKfBC|@?dEMnA?|DQbFCp@CnA?lIQxESnLQ|BKfIIp@EfDGvCCtAGvHOvEC|AOp@CpA?nAEpA?~BInBA|BG|@?xAI`@?^H^PBAAIOAsFPqBCgCHsAGuAAyDTaCFgGVkCF}@AmEFm@FyCHqBA]Cc@AaBNu@?}AFaB?_CHi@CgCHuAJwC?{AHoDBqBJwACsAJg@?s@CuAB{AHcB@_EPuA@aFNuB?g@Cg@@mCXc@NJxBl@|Cj@lDVhALz@~@hF^xC\\~BNv@b@`Bh@~CXdAZzAt@fGj@lCZzBd@zBRfBLd@B@JA^OtBg@bCYhAS^CX^P\\vAjGbA|DXbBh@tBpDjLj@vBn@hBx@~Cr@vBz@fDnAjE\\pBt@jDh@pBNr@P`@n@Zn@RnARb@LhA~@n@`AZL`@?zA^zBOh@OvA[fAOh@?j@LvBPrA?h@CzBLrAAh@I`@O\\CRDJGdAeA`@Mh@@RTLzALtCh@nCHbAf@`Bb@lBRp@Jp@Fp@Al@Dj@RBtBAf@CTI?IOaAOk@UmAQk@Io@[gAKOOm@KS"",""resource_state"":2}",,,,,everyone,,g6838775,,3.154,4.2,1,,1,0,0,,160
2,"{""id"":17349694,""resource_state"":1}",Evening Run,12008.9,3518,3518,42,Run,4121890052,garmin_push_5601138151,4410482660,2020-09-27T23:00:40Z,2020-09-27T19:00:40Z,(GMT-05:00) America/Toronto,-14400,"[43.199188,-79.229025]","[43.200453,-79.228032]",,,,43.199188,-79.229025,2,8,0,1,0,"{""id"":""a4121890052"",""summary_polyline"":""{itfGllqbNWHKGSo@?WBEJAl@?\\CRI@E?MUkAKoA}@wDqB}Gc@oAo@{Ce@qBi@wAe@}AO]i@g@S[Wm@GKOMmBmA}@c@i@]_B_AcG{AqAc@a@SCEc@wAYkAWo@k@uB{AaF_@wAYwAa@aBc@sBeAkEk@_BQk@}AuFg@wBGMW[UAeGX{@KI@aA^aBd@}Bj@mFvAyBr@i@Hk@Ok@?c@Gi@LqAPoATSH]\\]b@CB]FUEY_@Ci@]qCUiAq@kC]qB_@eBkAiGw@yEc@aB]kB[kCSkA[}A_@yBCW?_Au@uFg@wCCm@PKZK`CDxIWp@BvCAfBG`BMzB@t@CjAOhCDvACjBIjA@tAMvC@n@Ah@D^Af@M`EOn@Gr@AjA@xDItC@`EQ|ACt@Et@@zFWbB@`BArAKx@?`EQnCCf@Fp@AbBMzADj@EnABx@EbEIlAJtBDd@Ep@DzBCvAMh@Oz@]b@K`@DPT|@zDJPF@DF^Vl@Pr@EDHEJkBpAs@v@a@Z]N{@P]J}CbBmB~@wGdCaB`AsChA[PcBtAeAn@sAl@gAt@s@\\wBbAaBp@cCjAeAZiBv@mA`@{AZi@Nu@P{HxBaAToAb@mGbBi@JeBj@cAT{GnB{A^}@^i@NYXKf@B\\^Xt@F|@BLVp@rBdAvDXz@b@pBh@hBd@rBRn@VxAL`A?v@MvAQ|@SbCCt@MnAAZBL^ZfBh@p@VfEjAt@N|Ah@zA`@~An@bBf@bBx@nAh@`Bv@xCbBf@T\\RjAbEx@|Bv@jDb@zA|@`DX|@^`BjA|ENt@nCdKZz@ZxAAFKRc@Lk@H[BUCQ_@oAkEu@_D_@qAYg@_AHODi@BK_@YwAGO"",""resource_state"":2}",,,,,everyone,,g6838775,,3.414,4.5,1,,1,1,0,,158
2,"{""id"":17349694,""resource_state"":1}"," Very easy, then got the legs movin’",9042.6,2754,2754,4,Run,4116901278,garmin_push_5596113027,4405180229,2020-09-27T00:17:21Z,2020-09-26T20:17:21Z,(GMT-05:00) America/Toronto,-14400,"[43.199248,-79.229203]","[43.199267,-79.229325]",,,,43.199248,-79.229203,2,3,0,1,0,"{""id"":""a4116901278"",""summary_polyline"":""gjtfGpmqbNKMOk@EY?IDIHCvA@L?BCBK?]QgBW}Ac@kBQgAa@sA[oAwAmEw@oCi@mBm@kCSi@QSsAo@_@I_@Q_@_@IG}CqAc@Wg@]UUo@OmHyB_Ba@kAa@qDcAsAg@a@KeCy@eASsD}@g@IU@a@Gc@AYKa@We@Q{@k@_@[e@Ys@W_@UeEoBSa@Ku@o@{CIq@Oq@c@yAqAoGQUEsANUnEoAbDiA|Bg@j@Sd@MlAMp@Qr@m@VM|B}@l@SxEsAjCk@fEoAfAUrBq@|C_AnBg@xA[|Ae@dA_@jFwA|B}@fA[tAi@bDeBjAq@~As@hDcBG@u@`@YRw@^{A`AoAf@aAj@qAp@q@TmAj@kAf@_AZqAXmAZwAj@kBj@iEdAw@LqCv@{Ad@uBh@cAZ}EpAy@R_Bd@gEhAkAb@w@Ng@TY\\_@RcCx@sA\\aBl@sDfAg@Ri@JgA^a@TEPILQJWH@@TJp@~@n@fCdDbOpAjElAvDV|@@j@tBjG|AfFhB`Ih@nB\\~Aj@xBf@hCfBtHp@dCh@fCrAjFx@jCRr@^dBN^X@zAAbFMjB@vACj@EpCC|HQhE@z@EhACnCQjCBBAFK?OK{@Ms@i@uB]aASeA"",""resource_state"":2}",,,,,everyone,,g6838775,,3.283,4.7,1,,1,2,0,,82
2,"{""id"":17349694,""resource_state"":1}","3 X 2k off, 1k on + cool down ",10063.7,3048,3048,32,Run,4103761748,garmin_push_5582728662,4391221573,2020-09-23T22:05:17Z,2020-09-23T18:05:17Z,(GMT-05:00) America/Toronto,-14400,"[43.199186,-79.229105]","[43.199272,-79.229373]",,,,43.199186,-79.229105,4,4,0,1,0,"{""id"":""a4103761748"",""summary_polyline"":""{itfG|lqbNGDKAKUKa@AWFKLCbAEN@PEDMEY_@oBO{@]aBUq@]w@e@aBu@_D]}@Oo@SuAiAkD{@yCQa@]My@k@_CqAg@Q_@UeDaBcBg@_EiAq@UmA[iBo@uA_@SMMMc@Qg@MqAm@eBg@o@Io@OoBk@iAUk@EmBCOCsAa@a@?g@Sc@WkBmAq@Ye@Og@YcAa@s@CyAF{AIqACq@Fe@Jg@LKHHdAh@zDHp@DXPp@dBrKTdAJdAGD[CgBAaBFgEFsCJu@Pe@@k@CaCJuAAw@HsBDgF?wBFuAJmDFe@Ac@ECCCWAy@Go@I{EM}AQGa@C[QMa@[_Bs@wGLYTCvAE`A@t@Ej@AhBIvACfAGpAMfAD`B?XHP^FdB?dCDx@?tDC~@H~@An@JdC?x@BPJb@X^V@~CI`@Qd@AvCCpEKfCMlDCl@Bd@Fp@Eb@@BBNb@l@jAVn@pAvH^fC`@dDTjAp@vBNn@Lz@t@tBv@jC`AvB~@dCd@vAv@vAv@jBNLxE?^EjDKtAIzD?f@EhA?fCGdA@lCIZ@`@Aj@@`BApAGj@?|BK`CCp@@n@E`BAf@IZAnBCtABv@EhAB`AEL_@S}AYu@Oq@iA{D[}AEKKCmAGeCLe@H[AGE]e@a@cAWg@sAA}ADmA@m@Bi@Ae@DcCBm@KsCGs@IsBMq@No@Zy@d@i@PAFA\\`@pB^xAlAnGN~@Dt@BHh@Bv@CnB@`@C`ADxAEb@G\\CtBAzDOf@?j@BlB?p@INGhA@h@Cd@BpAARG@E@[Iq@Mq@g@}Am@wC"",""resource_state"":2}",,,,,everyone,,g6838775,,3.302,5,1,,1,0,0,,148
2,"{""id"":17349694,""resource_state"":1}","This was sorta dumb/a failure - oh well, onto the next",5015.8,1632,1632,6,Run,4099478701,garmin_push_5578155485,4386704287,2020-09-22T23:52:47Z,2020-09-22T19:52:47Z,(GMT-05:00) America/Toronto,-14400,"[43.199352,-79.229164]","[43.199311,-79.229273]",,,,43.199352,-79.229164,1,6,0,1,0,"{""id"":""a4099478701"",""summary_polyline"":""}jtfGhmqbNKYOo@OUMAOBy@JUHI?GISm@Q}@]uBQwCIa@YIs@Bk@\\]^]FKMSAYVUNi@N]BaEBeAC}@?kAOSKc@EuAA}@Le@PYHyAXe@PM?KIm@cAcAm@{Ae@oAYa@EQGeAg@_@II?ID?TL`Bd@dClAdFdAhFlAdFb@nBNV~@AdBBf@?b@BtAGbBJ`@Ad@Gt@ClA@nA?hDOv@@dAQzAI^B\\?d@Et@F\\Cb@Fz@D^IVAh@Bb@M^Ch@?h@FjA?jAJ`@GTKBGBe@Co@S{@My@c@aBOc@[aBa@{AMSQA_DToATYBOMKY]k@Uw@Wc@e@?yAL_BJsBAiCHk@Ec@AuBOyAAyAGY@c@LwAp@a@Pc@TADBRf@rBhArFLr@JfBXVl@Nb@Pj@Hx@Ar@Nj@Ct@?f@Hf@Bx@EtAH^IpBGf@E\\Id@E|@FXCPMTCbAHb@Mj@D^?h@Gh@?l@Fj@CFEBQEq@QmAOk@]iA[{ASa@G_@"",""resource_state"":2}",,,,,everyone,,g6838775,,3.073,4.8,1,,1,0,0,,34
