resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":17349694,""resource_state"":1}",Steady jaunts to begin (again) with...habits>performance y’know?,6127.8,2149,2149,33.5,Run,0,3768627225,0257440C-EBBE-438F-B5CC-41A2F46AC3B6-activity.fit,4026891413,2020-07-15T23:28:39Z,2020-07-15T19:28:39Z,(GMT-05:00) America/Toronto,-14400,"[43.199096,-79.229048]","[43.199393,-79.228992]",,,,43.199096,-79.229048,0,3,0,1,0,"{""id"":""a3768627225"",""summary_polyline"":""iitfGplqbNSNQEM]]i@SQKAKDu@IODUPO@IOCS[w@WuA?c@BIASE]?i@OyAGIUO[AQDOJUTIDQ`@GBKLEAQQMIMEE?UPCDUHEBSD_@@EBEAODECE@UAGEI?KBSC[DKCGBGAa@@ICQBc@As@IG@ECY@[II@[Ii@GI@EEa@BY?KDWAw@R_@DIBSNc@@OFUB]J[P[EQQO_@QMGMa@K_@WCEKCQSOECCKAIIYIYAMGGDG?c@IOKG@QIQCOKK@ICGEWKSC_@ISS_@QOAUUc@IUOOE_@SI?a@SQEm@e@c@Ma@YEBM?aASM?OFOAYHKFUBSJODeAl@a@h@KJCAI^QVCNNb@GLIBICOH]?a@PIBOJI@q@p@EJQJGAOBQEYBOGSHCBOBCAOFI@IBCFMBILG@OTIDk@RAHKNAHBFIFEACBOZ?NDV?TI\\[\\QDS@c@DSAOCIGU@UAKM_@@UBa@Gc@QM?QBQPEB]BYJEDc@RY^IDI?USOEEM@ECGMEODSEE?o@[o@gAMICOOU@Ce@g@E?KKe@BQAYJWVOCKOAIGAIQKYGGAKc@c@OYKOGU@EJOZ]VQJEL@HINGF@JSBM@]Es@@o@@QHU?OH_@@a@FI?FCLYlA?PBF?d@AJF\\ITE^EHC^Dl@Pl@Hj@j@`A\\VDHPFVRT`@FNNNHRNTHFh@j@NHVFZBNCJFDJGZ@DFDRBJHRGLSFAXYZUJMFERANKVGH@PLn@Hr@A^HP?VLNDHA?BV@b@CZ@JENML[DO?ME[H[x@QTMf@MDGF?DDJMXMD]FMZSR?PMh@IFCBED?LKLQRi@b@YVIFGJ@LEpAFDC`@a@@KCMKKEMIW@OLE?GHEBINKJSVQRIDGJENCVK\\CPG`AOFDh@BXFVLLJHLZTDATJb@HLHTFDDPBFFRDNJF@BDRFZLJJFBRLHAH@HRD?FEVNVDDBRFFFXBRHHAFFTAHDH?PHP?XHRLZDNLN@FBBHFDRDNHH@BFF@NPDRRh@RNLAVIJB\\GV@NCDBFGj@KPUFEF@\\KPAHCp@Ej@KXBV?x@RP?VDT?PDREb@HTALBb@KJBl@AlAFXCb@Dd@QNKLCLKTAFLDFLGNAHCR_@JMXQTGHCHBR?LBNH@f@F\\?t@AJDZEX@LE`@FL@JNVHv@PTH^DD\\CNEX@j@CZBFDJ^JN?N"",""resource_state"":2}",,,,,everyone,,,,4026891413,2.851,4.4,,,,90.7,76.4,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Afternoon Run,6804.1,2309,2312,38.1,Run,0,3758242762,59E3D70D-3877-4E3D-9486-461225E3890C-activity.fit,4015305419,2020-07-13T21:40:27Z,2020-07-13T17:40:27Z,(GMT-05:00) America/Toronto,-14400,"[43.199175,-79.229108]","[43.199335,-79.229097]",,,,43.199175,-79.229108,0,1,0,1,0,"{""id"":""a3758242762"",""summary_polyline"":""yitfG|lqbNGCWBa@qAQQ[?SGQBEAi@ZM?KKGYEa@[{@EWGy@HsAEGEy@GUGa@OIm@?WFk@b@S^MJE@QGMSMGK@_@Vc@N{@Dg@Ak@BWEw@HaAE_@EQB[G_@?uAWeAAYF]AQFW?oA^S?SLQDUAWFOHY@OEEKKi@KQKIOCIKSG]Ui@Si@Ic@Mu@I_A[YAaAWWCUIC@Qa@IIi@MCGGEWCGGK?g@Uo@QACYOQCMOYMQUICOMKCM?g@EK@GC]AY@[HU?]HE@OROFEFYHILGBMZIDCLQLE?EXGBKP@JCD?L@VDFCNMFKCK@IEKBIAYNOBWNMLE@IPYb@SNO@OIY@m@IOLECI@u@ZU^]Ra@HKFGLAJBFINMLCXBDAP@LAb@SXWFKLU@GBMAC@MI[CSIa@?k@Wa@DKAKB_@SQCUFGFK?YFYLOPOFKNAJUTCFMFKEKMSEMNCHAXPb@CTI`@FXA@@VHJET?FH@DGEWEKIECMGCEMHy@FI@WNg@@y@DE?GAGKKQ?YFa@Km@c@KUa@e@EWq@s@CGc@]E@]c@a@cAS{@@GEw@DYDeAGy@DOAOBGFk@@e@Ca@B[CU@GEMC]@FEL?RBH@THTFx@ATK^?VELCb@DfACDG\\GPQHM?EHMHY?c@ASHMHCCGBGCCI?AHJBLLNJZHJ?BZl@JVDDFPHJ@JLDb@f@P`@HJJb@Xj@NNH^JJFRNF`@APK?GAIKMYCECSc@CBKWMMYg@OIES@QAG@OBIDEH?TJFAJFRATDXPDDHTHJFTXZh@t@TNVJFC`@?FCFBFF?RAZDDf@Nh@q@NEZ[^QTAXKXJJBHFV@NCT?h@J^?l@TtAMRQDKHEF]GWDm@LML?BEDa@DK\\MVYn@a@RSJCHBHELC~@ANFNBVILIb@o@LKF?TW^EDBLCz@B\\MCa@K_@FYAQDSVSJGHKBMt@a@NMl@]l@Kl@C^NN?h@HPJTXXLd@^d@H`A^j@LPNXFNHL@TLRXL?@BHDL?l@LXLJ?LHDAPH`@DPDJFNDLCn@Nf@\\NBLPb@JXNFRLJVr@HDP?lAWVAn@SNMJAZQTCf@Oj@AjADH@`@RTAVDHAPHpAANDJARBnBCD?BD\\AZGL?PJFA^Q^IRQNGPPBHPBVSHQb@c@VMJA^DNBLJJdA?j@Ft@Ap@@R~@hDJBNCJIN?LEN@PG^?DDHZXt@"",""resource_state"":2}",,,,,everyone,,,,4015305419,2.947,5.1,,,,90.7,75.6,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Morning Run,2945.8,843,843,8.5,Run,0,2587014612,41987FBA-9D58-42DB-A476-2CF56F59C6BA,2744854244,2019-08-03T14:23:54Z,2019-08-03T10:23:54Z,(GMT-05:00) America/Toronto,-14400,"[43.199303,-79.229307]","[43.199281,-79.229437]",,,,43.199303,-79.229307,0,1,0,1,0,"{""id"":""a2587014612"",""summary_polyline"":""sjtfGdnqbN^[CEa@My@mAEAgA?a@LOAECMOU{@Qa@CQEq@?o@Gm@CwBESUK[Ca@LEBWb@Y^QNIDKE[WKE]Xg@P{@CUDMCiAHQEWB]C[@_AIaAAq@SiBOmBTSFMLE@QBy@TS?c@L_@RO@KCCC_@y@i@e@MUGGGAg@WKAc@QUMc@M{@EkA]a@GQGSAKN?j@J~@Rn@b@bBN\\\\fAJp@Lb@ZbBNd@Jt@j@dBLx@JXHl@FRTh@l@lC@DHDTBd@?d@GN@p@C^DV@p@Ef@?n@KdAFPGx@CFBn@Bj@ELEJ@n@I`@Bv@Er@@pAIjA@|@CLBf@?v@IbA?v@IZ@LCZDVC|@@pACl@GhA?d@CR@HI?MS}@Qi@Ga@KUKo@IUe@uB"",""resource_state"":2}",,,,,everyone,,,,2744854244,3.494,7.2,,,,91.3,82.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Morning Run,3219.5,971,971,8.9,Run,0,2584220764,898CFE62-65BC-4D56-90BD-B2861CBFB769,2741953501,2019-08-02T14:13:28Z,2019-08-02T10:13:28Z,(GMT-05:00) America/Toronto,-14400,"[43.199395,-79.229266]","[43.199412,-79.229041]",,,,43.199395,-79.229266,0,1,0,1,0,"{""id"":""a2584220764"",""summary_polyline"":""ektfG|mqbNTk@BCEDKEIGIKMc@OWQA]BmAPOO[uAOe@GOGq@Dk@CY?YKcA@QCYAGGKQEa@@KDc@b@a@n@QJK?QSSKOBUPYLQB{@BSBc@EcADI?UDo@EY@o@Og@?IC[?[Kg@ImAAwAPmBj@qARUPG?MAOGMSOc@c@c@YIa@]GAOIy@WWKM?c@Oi@B_ASg@KSSKAATJ^?Xh@vCHRXzA\\hATfAn@bCF\\Pv@Vn@^tBz@pCJ`@Db@FLHBdBKhA@lACNCdAAf@CTBVE|@Dz@Ip@?HA\\@XCj@Al@@tAKvA?ZCT@XCpAA~@G|ADf@GV@LEl@Gb@@ZCFBNA\\FNE`@?^EXBz@EPBXCTBTEn@Ch@BTAFEBWUoA_@oAMo@MUEi@Mc@Um@Ic@k@kBCCOA_@@GAe@Fm@@GJCN?NHf@"",""resource_state"":2}",,,,,everyone,,,,2741953501,3.316,6.2,,,,91.8,82.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Evening Run,4424.8,1330,1330,7.7,Run,0,2582953802,609947D2-77DC-4527-AF65-25EB6E81B8AF,2740637495,2019-08-02T00:37:32Z,2019-08-01T20:37:32Z,(GMT-05:00) America/Toronto,-14400,"[43.19936,-79.229179]","[43.199279,-79.229439]",,,,43.19936,-79.229179,0,2,0,1,0,"{""id"":""a2582953802"",""summary_polyline"":""_ktfGjmqbNLQ?GKDIAEMAYIK?KDITAhB[NI?GIWAWGOEEGUQgAKQASGMOs@_@_AIi@Og@Ia@e@oAOkA?Ys@cBYaAO[ScAMKSo@Oq@CEWiAW{@Ii@EMYYkAm@KEWEKGi@Qu@a@g@a@m@Oc@[MA[M}Ay@_@Ei@Oa@EIIa@Ge@UYCa@UgBi@u@YGGcAS{@WKA{@e@IOIGwAUUOWEy@]YI_@E_@My@M}@[KAYKOASKa@Iw@IM@OG_CE{@a@c@Ai@U_@Wi@Sa@Uk@]MOQCe@[GPAJPn@FJFX\\dATz@\\x@Tx@PZXhAFHLl@Vr@`@zAFd@j@jAp@vBFh@Rt@N`AP`@RlAPl@Hf@Vz@NXDb@HPLp@Db@b@xAZzAJVDh@R|@HbAJTVh@b@bBv@dCLbABZNp@L|@\\v@dAtEZfAP`@Pz@FDN@JC\\BPEZDT?b@GRDP@hBIP@h@CD@b@EjACNCVBj@Ix@?`@BRAZ@REZ@f@CjA?z@C`@G\\DZAXF`@?^Af@Kf@DpCIh@?^GdAEl@@p@IR?PBd@CX?FIAMM[Ec@m@qAKo@Qe@Uy@Io@"",""resource_state"":2}",,,,,everyone,,,,2740637495,3.327,5.7,,,,91.3,83.2,0,0,,
2,"{""id"":17349694,""resource_state"":1}",I didn’t intend on a 2 month hiatus but here we are. Back to square 1 I guess ,2934,854,854,8.5,Run,0,2579092918,132451A0-01A9-4C7A-8D53-50FAE4281682,2736664043,2019-07-31T17:22:21Z,2019-07-31T13:22:21Z,(GMT-05:00) America/Toronto,-14400,"[43.199154,-79.229209]","[43.199228,-79.22934]",,,,43.199154,-79.229209,0,2,0,1,0,"{""id"":""a2579092918"",""summary_polyline"":""uitfGpmqbNEIIEE?SIIKa@iAQE]EQDE?YHQHKBGEIMO]_@uAGs@?mBIi@GcACGSG]EKD[Te@j@S\\MAg@e@I?IFIHi@N[?a@Eg@D_@IK@OJQ@IEKAEFG@w@DUEM@mA[e@?e@Mg@Gi@Fa@CWJK@Q@[CW@e@TQDIFKNGBs@?WHYVKBI?IEMM_@aAKIEAUSg@[i@Os@My@YG?GE]@QGk@Eo@Y[IK?CF@JHTHt@HL^pBZdARb@Lt@D\\JVDXHZF`@HPX|@Lp@\\jATlAPd@Lt@ZbAZrAF`@DJb@GT@ZC|@Ad@BlACTB`@G^@JEf@DrAKhABzAIr@B\\?h@Cf@IjB@v@CNEV@RARBpAI\\Bb@CPCZ@t@GjBAXBX?VCf@?j@G`@?`@Ch@@FKAM]aB[eAKs@Ma@]gB"",""resource_state"":2}",,,,,everyone,,,,2736664043,3.436,4.9,,,,91.3,82.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Afternoon Run,7833.7,2374,2374,20.8,Run,0,2421161326,736E3709-4C3D-4428-B2D7-4B24A4EF9E82,2573734833,2019-06-03T19:37:46Z,2019-06-03T15:37:46Z,(GMT-05:00) America/Toronto,-14400,"[43.199368,-79.229372]","[43.199284,-79.229326]",,,,43.199368,-79.229372,0,3,0,1,0,"{""id"":""a2421161326"",""summary_polyline"":""_ktfGrnqbNF}@G?MGGOIg@FIv@I`@KD?NFNKDK?_@Ss@Ee@Mk@M[IWC]Ms@IKe@kBM]S{@G_@[k@Mw@a@kAGe@Oo@Q_@Qo@IKq@oCWu@?Ya@uAGKMIMC[S]MYSOCUQYGeBeAQEgAm@WIm@]UGk@Y}Bk@w@]g@Ki@Q[Cm@Uw@SmAg@eAO{@]Y]ICYCm@U_AS[O{@QsAc@gBc@eAa@aAOy@?wAEiA[q@Yq@a@e@Co@Ww@m@o@Ue@[SGMIO?KAMQKEi@Gi@B[AkBB[CS@m@Gw@@WD_@NQDKJ@Np@jERdAD\\H\\Dr@HZf@xCR~@|@xEFj@ALoBBUBo@?WBkB@KCqADU?WBSAo@FSAqA@q@DSRKBSAg@@e@CgENs@?SASBs@@g@AiCJkCDIAU@c@?_AHo@Ak@FKCS@OC_@BKCUWKm@Cg@@oC@MC[@k@EgA@i@CwA?oAGqBBeAE]@w@@KHKt@Kf@@HAp@?HCd@BlAGf@@TCHBTCXBp@EJ@nAKXBbA@H@DHBJBj@@hBC^D|@?xAD~EAl@D|CDrALj@JN\\Jf@BnAC`@@pBQrA?JBNEr@BLAb@?~@KpABjAGv@BbAEzBAzACN@`@GFBFPLt@j@fEDFXRT`@Z`BBV\\nB`@vDL^N`@F\\p@tB@\\Lx@Zv@DPpAbEdAdCJb@Td@HZNVp@fBb@v@b@jALTL^PR\\DV?FCf@@ZGbAC^@b@Ex@@`DK^@ZEn@@j@Eh@Bj@EVEf@Dt@CZ@b@EJ@JCz@?p@Ex@@LC`A?vAIjA@jAEVC\\Bx@EVBrACR@`AGj@?xAGl@Bp@AXCX@zCMfB?BKKk@IYSa@Ks@c@mAIq@]aB"",""resource_state"":2}",,,,,everyone,,,,2573734833,3.3,6.4,,,,91.3,77.8,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Lunch Run,6001.1,1735,1735,17.4,Run,0,2414907238,F63EF384-96AB-4BF6-B1D2-593B39F6F5BF,2567235579,2019-06-01T15:38:10Z,2019-06-01T11:38:10Z,(GMT-05:00) America/Toronto,-14400,"[43.19932,-79.229171]","[43.199389,-79.229179]",,,,43.19932,-79.229171,0,2,0,1,0,"{""id"":""a2414907238"",""summary_polyline"":""wjtfGjmqbNFCBOEEINEKMi@Qa@IGOAq@@{@ROKs@iCEe@?YE]A_AKyAKUa@MQAUJMLc@t@UJM@KC]WI@IHo@ZYBe@CoB?WBO?MDm@Ae@Ki@@k@Oe@@WIe@GaACo@Hq@Be@Tg@DWLiANe@TO@ECKI_@q@SSQIu@g@oAa@c@Ig@Ge@MOAMGe@K]Oi@IE@EL@RHV\\fBfAzDl@nC\\nAVpAj@bCHR~AvGBDV@dAKr@?J@j@GLB`AGJDL?dBEr@?VDl@En@I^BNA^@DAv@BLElAExABVCT@lAIX@PInBARELDfAC`AB`AKj@B^EB@dA@LEP?JCvA@TGpBFVCDIBWCUUm@Ks@}@qCUoAMg@Uq@Y}ACU[q@Kq@MUMi@CECQWy@MKICo@DQCMGWYk@W[IiAC[@c@OK?UDWPe@v@QLYGWMMAQLy@X_@@cAIm@Jo@AQBo@AKE{@Ka@@OByAYOGy@Eo@Lu@?OJWJKF{B^[PSDMAEEUk@Y]e@_@m@Yo@Q[MgAQm@Mu@_@i@EQEK?IAGBCJ@PFRJv@Pv@n@tB\\x@d@zBTz@TjAf@nBn@zCh@~AXvAPd@D@VCP@x@Eh@Bj@Ep@APBn@Gp@@JEZANAVDb@CT@JAp@CL@`@EV@v@G~@FrAGz@@p@CVG\\A\\@j@G^BRA\\@b@CL@v@Cb@BbAARAd@@XEvAAx@Gr@?NEX?DC@GCSYaAOw@q@wBm@kC"",""resource_state"":2}",,,,,everyone,,,,2567235579,3.459,5.1,,,,91.8,82.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Evening Run,7508.5,2233,2233,16.6,Run,0,2412801067,84056176-48C5-4ABC-8110-A2C6B7BFFAC4,2565052185,2019-05-31T22:25:44Z,2019-05-31T18:25:44Z,(GMT-05:00) America/Toronto,-14400,"[43.199236,-79.229159]","[43.199342,-79.229217]",,,,43.199236,-79.229159,0,2,0,1,0,"{""id"":""a2412801067"",""summary_polyline"":""ejtfGfmqbNBEIAIIOk@IMBOBGDCp@?z@GLGDG@G?EQu@GQGa@Oc@CYMi@Ma@WoAK_@Ue@EY]iAO}@Qi@a@gAUe@Gi@IOa@mBi@{Ag@mC[o@Mg@CE]OMKs@]OKWC_@[u@W[SUGmAs@WQk@Sa@Y]K_@Oq@SsA[MG}@W]MWGQIk@Ky@YkAUm@W]I_@MmAq@a@E}Am@s@MYIa@QUAaA_@kAYeA]mAMmBAa@EQEkBy@i@YU?[Kk@]k@So@]YWGAEFB\\DLFLxA`Fb@fA\\tA\\v@p@jCj@fBVh@Rz@Vr@l@bCRjAp@hCJt@Nd@@NLZJr@Tv@D^Xv@T`AFl@V~@Rj@BPJ\\Np@LZJd@DV`AhEZ~ARh@FZJ\\v@lDzA~FFDD?fBId@DlCIjB@PC`@?`@B^Gn@?N@f@CL@VElA?j@EV@f@EfA?f@Ex@@^E\\BVGd@?\\B~AI^BdAGnB@v@Gv@@pACT@ZGP?HAXBd@?PAT@FIDWO_@s@yC_@oASgAu@iC[cBQc@[gAa@iBK]QAa@B]AWOQQw@_@KCaA?{AKQBSJa@^Sd@MFGAa@[IA_A`@WFyAA_ABQAGBq@@oBO}@AsASy@C{AHkBp@eAPg@PO@QOO_@W_@s@e@u@[SE{@]o@Om@GcAYYMq@KCBALTdA`B|FLz@\\tAVvA`@bAX`BpA|Ed@nBFPHDNA\\BbBIdA?`@BTEzACj@@NCj@AfBBfAI`CCbAIpB@\\E^@nAE^@j@AT@XEl@C~@?`AGb@Bp@A`AGn@BlAEHKEa@a@qAOm@a@{Aq@sC"",""resource_state"":2}",,,,,everyone,,,,2565052185,3.363,4.5,,,,91.8,82.7,0,0,,
2,"{""id"":17349694,""resource_state"":1}",Evening Run,10042.3,3112,3112,22.2,Run,0,2410411410,868294EA-0A8A-40D7-A4CA-EA568197E0F5,2562577166,2019-05-30T22:16:15Z,2019-05-30T18:16:15Z,(GMT-05:00) America/Toronto,-14400,"[43.199344,-79.229149]","[43.199264,-79.229356]",,,,43.199344,-79.229149,0,1,0,1,0,"{""id"":""a2410411410"",""summary_polyline"":""{jtfGdmqbNFGIKK[EY?IBENIh@EPEj@?FCHMBG?MWaAKm@[gASaAe@wAOW[gBs@aCQkAQSKg@]iASu@GMQg@[uAEMWsAWo@I[MQc@[c@Qe@]a@Km@a@c@Ma@Sa@]UGc@SgAm@o@Wm@KQIs@UUM_AW_@EkBk@UMeAWKEg@IiAe@e@Ii@QSU[O{@SKEq@Mi@UYE_AWqEsAw@O]@oAKo@?e@GeCmAKESBMAc@USOaCkACF@TLf@\\~@b@`BXp@Jd@d@tA`@tATf@Tr@l@|Bn@jBp@bCDVTx@@\\HRNr@Tr@`@tBJTNv@Z`A@Lh@`CRp@Hx@Jj@Pf@H`@P`@b@rBTt@TnA^`A|A`HPf@NbANb@Fd@HPt@xCFFnACrABJCb@AVCf@@h@EbB?|AGfABb@ET@REj@ATBf@GfACv@@dACVBZ?`BG|AAPCbBG^Bh@C~@@pBKnB@TEb@Ax@@l@CHCBKAWIk@[u@C[IUMk@YaAIQOu@Sk@CW[_BWs@Ia@KUGi@Ss@O_@Ek@Y_Ag@uASq@Ec@Sy@ISYkAO]Ia@KUEe@Ka@o@eBYgAG_@g@wB[eAEK[KOKy@]QMUGSOSEcB_Au@[i@]iAi@s@Sg@UkA_@}@Sw@YmA[IEa@Ia@ScAU_@QeBa@_@Q_@]]Ea@KWMkBe@MISEe@Oi@IoAa@s@Om@YwAGg@@w@ES@WGu@_@]KOMSIUQGCa@@WIaDkBEF@Z^xAz@dCVbAZx@P~@^~@f@~ARb@XlA^`A\\lAh@fCRl@VfAJX^rATxATv@BVf@vBh@rBJl@L^D^XfAL^d@rBT~@N`@VtAd@nBv@tCHl@vBjIF\\LDrCIxABf@Id@AvBBVCR@XCx@?ZEl@?ZEJ@XEJBLAb@@t@Gf@?lAG^BVCPBRAr@@x@Ir@DXE^?LGN?P@HCb@Db@G|@Fb@E^IhABx@?jBMd@Dt@AJMBOCY[cAc@kB]gAScASo@Ia@So@g@_CQe@QcAi@qBQCUBo@@m@a@_@M_@SOCSBc@CO@IHARJlA?fABv@f@bCRnBHXHf@h@|AXfANfAL~BDJTDbACfAD\\CJEBE?Mq@oCM_@G]YcA[wA"",""resource_state"":2}",,,,,everyone,,,,2562577166,3.227,4.4,,,,91.8,83.2,0,0,,
