resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,max_watts,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":5108599,""resource_state"":1}",France,27046.7,3571,3571,209,VirtualRide,4569053970,zwift-activity-720637398068472528.fit,4881295179,2021-01-05T02:54:46Z,2021-01-04T18:54:46Z,(GMT-08:00) America/Vancouver,-28800,"[-21.73683,166.180894]","[-21.72066,166.174068]",,,Canada,-21.73683,166.180894,0,1,0,2,0,"{""id"":""a4569053970"",""summary_polyline"":""dntcCqehu^{Ie]BwAdAiD?aCk@kFkDwSy@uSSqAs@[cE|@uBUiJoJmGcMeG{FeCiAuIgByEaBeBKk@VcA|AbAlAJf@oDO_@\\hHlDNn@e@`@gKh@Wf@pOnE]l@cLjG]x@j@p@zOtBBZSPqGzBHl@pCtDb@hB?lCqAhCmDjC{Ch@uA_@uFwE_AKcCj@eAIu@o@e@sAMiCy@s@]wAeBmC}Bn@qBfC}InAy@i@u@_CFm@l@qAMm@q@c@y@Vi@hBsCvA}FbBqBEa@^cBzEwApFfAfC@|@uApAu@bFaBbASf@NhBxBzF?n@Ut@oAf@wDoAuAHc@|@EzD[`AeAPqBcA{@?e@p@SxBs@l@kAUsCeCs@AiJ~NEl@P\\`EnBh@x@?n@w@dBCj@T`@nBdAHj@Wf@{Av@Mx@T^bCbALh@S|@sAz@iJC{Bz@aBpBsDfAYb@EfA{Cx@Mj@HdDO`@oFpBm@dAEtAVhAj@v@vEpCC`Er@bAzOnC`DpCjBl@vIvAtKp@vDrDP|@Q~Bb@p@bO?`DVLlAK|AoFnFC`Du@bFw@zA}@|@JzBj@N~MCtBR`D|HhBz@x@|AIfDeBhFTtBfBpA|@TpFmAdBAnAZbBjA`AlCxBrBp@xAdEnDxALnCcAzEc@`BNlCe@rDyAtHiBpHyEv@?|B|@bCHn@MjAwApASlD~@rGrDtJDnCk@bO|BvGrB~@|@HzARZ`CH^b@ArB_BhAOx@Lj@nCpAfDh@nAzB|@GtAoAlAErAyAvADvBj@j@e@x@eBDy@o@wCvBcBCkBu@{A}@e@wDhAqA?e@m@EoBP_AjCkDKeClDcAHkCkDmCyJgN]cAUiCm@aBgDsByCgEaGoFc@kAJeNXo@`BkAj@y@pA{DXqCGwHq@_EoHiNNkAdFqGIqAoByG]Qm@HkFdFQh@]vJYR_Ag@YFQfBkAl@BfCa@?}CcBmAlB{@{@]RUr@yADk@lD]COm@WMWJSz@UB]y@WEqAzAKQF_A{A[e@cC]Ay@p@c@@cCeEc@@}@bA_Bn@Ka@L{Ao@WkABOc@XmAuB_@?a@Zc@Ki@e@GkAZSOCYv@a@Fg@c@i@wAe@Eo@XQ|BLLa@CiBVOzADZ_Cc@a@yBWA]~@gA}AqBLqD_@_AaDeCsHc@aCt@sBdBcFlJWrBz@nHiAbEsBlBmDx@"",""resource_state"":2}",,,,,everyone,,,,4881295179,7.574,15.9,70.7,149.9,158,535.2,1,1,158.7,181,,1,384,120.8,10.4,0,1,,73
2,"{""id"":5108599,""resource_state"":1}",Afternoon Run,10284.8,3209,3325,70.3,Run,4568433988,garmin_push_6055327728,4880647306,2021-01-04T21:39:56Z,2021-01-04T13:39:56Z,(GMT-08:00) America/Vancouver,-28800,"[49.2634,-123.13293]","[49.263443,-123.132806]",,,Canada,49.2634,-123.13293,0,4,0,1,0,"{""id"":""a4568433988"",""summary_polyline"":""oztkHhqpnVwDGkASsBHCNBp@C|@Kt@i@TKKKa@OMa@^O^m@`AM`AYl@WJUAa@Q]gAUi@Ma@_@_@m@U]_@AGPy@B}@As@Hu@Vg@b@o@?iAFK|AaANq@D_@KgAWk@g@w@_@]q@QGiA?w@AY]}@E[DuBA{BKw@?iFEqBDm@Vm@|@cAL_@Ha@Bk@Au@CYOo@Yq@Oq@W}CWi@a@a@]e@Kw@B{@Vo@b@Wd@Oh@IZk@Do@?w@EcA@{CK{@[g@g@Qe@@g@E_@_@c@Ic@SaA_Ae@OMu@a@_@]i@Os@Su@u@uAk@gB[e@Wo@Mw@Yg@Su@G{AXuBG_@Um@[sAo@_HGy@a@uD]g@e@c@Ui@Ey@Aw@IqBBw@Hu@DCnAL^?MuDEg@c@CUK?oDGuDAsBUm@KqDIu@EKa@Yg@AiAJEHCfA^tBGv@]\\g@Ie@[g@uAiE[g@MUq@mAIa@NEhBDvBEt@AzBJrECx@Wn@Or@@x@E~@AnBBr@Xl@hAPb@Z\\d@Dz@Xh@VBVf@B|@Vn@\\d@h@`Br@v@Pr@`@hAl@~A\\j@h@bBHv@?vBQpBRxAFx@MnGe@nBQvB?`AJlBLp@Vl@`@XZj@d@PjAGf@B\\H\\`@Xh@^f@^^r@vAPp@?`AYl@{@vAm@nAsBjDAp@Lr@DnBJt@|AjBvAtBbAnARl@EpBo@zAU`A[l@sAvBk@`BXr@@x@i@p@eAdBc@X]K_@`@]l@Wl@w@h@_@\\WZ[d@DNVh@Kx@Sr@a@^i@QMLQt@?T\\f@Bv@Wb@]Z]HcA`A_@RWi@SYG@a@Ve@JYi@{@s@Gg@i@i@_@s@OQOYGYBv@Tn@Zl@Tr@dCrMhAxDNz@f@vBl@`DpDxOn@~C|AbHp@zAV^z@bAdAf@b@Hx@LnBDx@APN\\LfANZBl@EfBDd@Lb@KpC@DILAPk@DcCCcBMuBHiBBqBI}@IoDXs@?sBDsBTm@C{BF{D\\a@b@W`@]z@a@pBSf@Wf@IrAGP[Pu@Gu@By@FUj@CnANXJd@Ad@K`ARb@?Pq@Fy@?uBD{@"",""resource_state"":2}",,,,,everyone,,g7243946,,4880647306,3.205,4.3,90.6,,,,,1,164.5,184,,1,,51,5.6,0,0,,82
2,"{""id"":5108599,""resource_state"":1}",Night Yoga,117.3,2130,2130,0,Yoga,4564091544,garmin_push_6050832769,4876088131,2021-01-04T05:01:05Z,2021-01-03T21:01:05Z,(GMT-08:00) America/Vancouver,-28800,,,,,Canada,,,0,0,0,1,0,"{""id"":""a4564091544"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,4876088131,0.055,1.2,58,,,,,1,86.3,136,,1,,,,0,0,,3
2,"{""id"":5108599,""resource_state"":1}",Morning Run,21218.1,6845,7131,134.9,Run,4562944486,garmin_push_6049687401,4874869583,2021-01-03T18:55:07Z,2021-01-03T10:55:07Z,(GMT-08:00) America/Vancouver,-28800,"[49.26379,-123.133686]","[49.262363,-123.12221]",,,Canada,49.26379,-123.133686,17,5,0,1,0,"{""id"":""a4562944486"",""summary_polyline"":""a{tkHxrpnV_ECcDc@WHI\\QH[d@uApDy@pA_@\\c@PoB@_@Yg@K_HpC_@~A{DfJJM_@XeDpIL\\_Kt@g@eAaFcBU?U[I?e@f@_HxB_Ar@eFbHm@dBg@tJDlApGtFBjCUpMKF[zAxAjK`ALtG`F\\v@xHxHpB|LCpCyAfGLp@kCdL|AtAVj@JvJt@bBd@B|DfKrDfNV|BYd^a@xE@`@]bFS~EEdFg@tJWhCo@xMKpDGjJ?z@Hx@zBjJx@xEFx@Cv@mAnIAnBEx@_ArCoClKk@zA[f@a@ZeAh@w@rAQv@C|@@zB[pBO~BKn@Ml@_@`AwAjBg@bBKv@Gv@XjHp@nGk@vDf@bFLdFHn@OxDQnAOhCYhBu@dEWz@Kz@gA~CaAbF_@jDIz@ElDDz@KnDYhE]hDoAhIEt@w@rDS|BFlCK|C]jFw@~CcArCMt@C~@WpBc@`LEpBWlB]vEShACz@vAlEPvAD~ASpB}@~A`@JDRAr@m@xFOtF@`NEtDNzBLp@p@bC`CzGIh@g@?i@v@KBSQk@Og@oBGu@e@iAAUP}@WyAImAHwBAcFT_B\\}EN}FRcEA{@Fw@p@}CTiDAkBMkAsAuEMs@@w@j@kFHsBLo@f@yLRwBPuDNu@|@kAd@_BVyDj@{GCo@JkC@wBJ{@l@}A`@sFfAeIRqFJ}@@qDJoDNq@^mD^_@Nu@JaBf@kBXo@\\kBh@qDb@gBf@wENeF[aILmCOwB?wEOqBYmBOsDBqBLw@l@gB`A}@^g@Vo@Lu@Dy@EwBZ{@PmA@gCViB^i@^_@|@e@bAiAnAoEtAaGbAsCHa@DuD`@kB\\oFoAeJs@aDi@}A[wBN}IE_CBu@Fu@NiF\\kEPkFr@qKLeFXkDJsFTqBf@mJCaOH{Fc@eCcBmFoB}GeAcEQw@Ew@?sGF{EI{BB{B@{DE_CHk@RgJK_DPcI?oD@UZg@B_AEcRDwER{D?w@NqDCoDFy@H_@rAIlCq@hEJLAJc@tBh@dBObBDpAUI_AEcB@eJb@cHEuC@uBTaK`CoBVp@`@YZi@^QhDi@p@[P]HcBHg@bCa@|CRTa@I{BBw@b@aAQmBBkApIIvDRVUL_AAqBL}B?}EIsEJkFIkDHaDMiDNkGGoCFmDNy@EqDHeJIYuASoAB}B]Uf@m@lD?t@Hv@F|B"",""resource_state"":2}",,,,,everyone,,g7243946,,4874869583,3.1,5.6,89.7,,,,,1,163.8,184,,1,,58.2,5.5,12,0,,165
2,"{""id"":5108599,""resource_state"":1}",Evening Yoga,122.2,2388,2388,0,Yoga,4557726082,garmin_push_6044514055,4869367814,2021-01-03T02:15:00Z,2021-01-02T18:15:00Z,(GMT-08:00) America/Vancouver,-28800,,,,,Canada,,,0,0,0,1,0,"{""id"":""a4557726082"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,4869367814,0.051,0.5,58,,,,,1,86.5,121,,1,,,,0,0,,3
2,"{""id"":5108599,""resource_state"":1}",London,40073.7,5496,5577,384,VirtualRide,4556112733,zwift-activity-718889707974821872.fit,4867656062,2021-01-02T17:02:59Z,2021-01-02T09:02:59Z,(GMT-08:00) America/Vancouver,-28800,"[51.509495,-0.080005]","[51.500543,-0.137929]",,,Canada,51.509495,-0.080005,58,4,0,2,0,"{""id"":""a4556112733"",""summary_polyline"":""imkyH`sNt@bC\\|BFtFoCja@uArIsBxQw@bKS`GUpWz@rNExx@TrJj@dIn@rExBfLpA`EtDjHrDrCfDbBr@lAmDv[j@jCg@bDs@rNrAjGpKn`@Fz@[j@yMbMEXtFvObJzTpCnFvCzIh@pDXpMfBhQp@jPv@zFv@tDp@`BhG|HdCfFl@An@gA|@kEr@wG?gB^q@tAm@J_@K_EHa@h\\gGPe@C}Bf@c@l@P\\lBZLvImBdZck@`@sDCiL^}KfCuYJuCQoF}Eid@m@sC{@gBiF_DwCoCoAgCeBoFsAgC{JiIeDgA}OXeKtAmELaFnAaX@_G`A_KxDkAH_CyAoJ{U{DiMUHtAtFbIjTFbHtCQX`@b@vBnA\\t@`A|[reAWbDq@rm@EjHR`@x@yx@j@kA`BA\\UzCiDRaAiDgs@l@mXPe@\\OvGJjEmArEMbN}AV[lB{[KUwB]Sg@x@wNN]fABr@eK~BaDXqBCy@g@{@mFsCCm@h@yDt@YdJv@bKLbAf@`BhD|@d@zBW|BoA~@iCLoE_AmKaC{OAuA`A}Bf@Q\\VlClPt@n@r@{@?oAcBmTFeE^aFl@qC`A}ApBw@zCKdAb@p@rA~@~ETdDStCcC~D]fBFvLVhIZR~BqAbAn@h@nAfBxH~@vBx@`AvDlAnE|B|KnC|@n@zArBt@ZTq@H{BPiSx@aAzFiC~AsF`@yCdA_T@wGUcKn@aKSkIVkEm@sDu@gCuDqCg@iAGcIn@{NiAyJyAeTsCgQCsOq@{JwAiJmIe`@qF_e@k@iCs@_AaBJwBtAoCfFcAReB{@iJgIcAOy@`AwAvDFtIk@xCeAxBwBhA{EAcDgBmBcBgA}Aw@?u@p@g@lAuAxLk@dBo@j@oB[kHeImAc@qA~BkA`GVnP_@`EcAtBuCFaBnBq@jBe@dH_A~BF~Dd@fE@fBoAbIiAlQ{AtJq@fVOz@y@z@Yx@wBhVqA~GiDjNkAbJ]tPZhf@ThDf@vBpCvFh@j@zAPzFy@jC@pHkDxCMh@^`AvChFdABn@e@bEjFvCb@l@L|ASvAg@dAaBvBi@hJSX}@IM`@u@rNfCp@Nr@iBd[g@n@eN~AcEJyEnAeUEmDTgFfAqIbDiALcC}AmJyU{DkMUHxA~FxHtSNpHtCO`A|CdARz@hAt[zdAF|@WvBy@`s@?dCN`@Hg@t@ax@f@cApBIpD_ELu@SgD"",""resource_state"":2}",,,,,everyone,,,,4867656062,7.291,20.3,71.9,146.8,150,807,1,1,158.4,172,,1,354,249.4,3,29,1,,117
2,"{""id"":5108599,""resource_state"":1}",Evening Yoga,170.1,3591,3591,0,Yoga,4551907870,garmin_push_6038796848,4863233982,2021-01-02T02:39:24Z,2021-01-01T18:39:24Z,(GMT-08:00) America/Vancouver,-28800,,,,,Canada,,,0,1,0,1,0,"{""id"":""a4551907870"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,4863233982,0.047,1.3,58,,,,,1,81.6,139,,1,,,,0,0,,5
2,"{""id"":5108599,""resource_state"":1}",NYC,15965.2,2348,2348,268,VirtualRide,4550055204,zwift-activity-718165081790855280.fit,4861269599,2021-01-01T17:02:49Z,2021-01-01T09:02:49Z,(GMT-08:00) America/Vancouver,-28800,"[40.778201,-73.966538]","[40.776718,-73.974077]",,,Canada,40.778201,-73.966538,34,1,0,9,0,"{""id"":""a4550055204"",""summary_polyline"":""wn{wFzqmbMtA|@rD`ArB\\tAIp@Fd@f@`B~Dt@~@`BjA`BHb@VF^FtBc@nBk@vDE|ANjCIx@a@fAmBvBy@f@k@AiBc@aDBcCReAKw@i@cBkBqBwDiAiB_KqLy@s@y@[sDNw@SY_@YkAc@}@gCwC{AqAgA_@w@Cw@NmC|@{ALyAWaCqAy@w@yA_Ce@wAo@aD_@{@k@u@qA]wCMaAO_@i@u@sBg@u@gBmAeHwDy@_A_AuCi@}Bg@wA@a@L[hAwB\\kAPoACiAKk@a@mAgBoDSuAFwAGk@We@oA}As@wBa@i@WGq@JUP]z@Cd@NhAdA`CFf@Ef@Ob@WV[L[CYMoC{CaAo@{CqAk@Ae@RwApCaArCUlAy@dHDbA\\p@hAx@~@Bd@MXYXs@b@cCRc@XU|F_Af@Bz@b@x@v@\\p@Vx@n@zC\\v@j@f@lB|@\\f@t@rBPfAd@dBr@xAv@l@bEtBfDtBj@r@`AdCZ`@`ARvDRz@^l@`AVr@f@nC^jAxAbCl@n@rBnAlBj@j@@lAOrDgAfABx@XrAhArCfD\\p@VjAZ`@`AXjDQp@RbAv@bJnK~@vA`DzF~AbB`Aj@fAFjCU`CCh@DnBb@~@c@lBsB\\w@R{@D_AOiB@oAb@}Cf@cCFyCVcAZa@lAMp@RrB`Al@r@rA`Df@x@b@d@bDpBx@dAb@z@Hv@Ab@gAtDO|@?`ATbAlAlB`A`ArBpAfFpCb@~@B~@I~@S|@qAdEa@n@m@Ly@i@iByBuAuAcE}CqAqAe@_AWcAAu@DYLS`@C~Ch@l@Eh@YbByAj@]bA?b@Kz@oATQRBr@f@d@h@LZ@`AMp@uCrGa@~A?`Af@~CAj@S^u@`@i@l@_AvCWhBHhAj@`AxAhA|BjArAXpAKZQr@w@`AcB\\y@fAsD`CeJ|AoFrDwIVcAJeAS_Au@eAsEwCkAY{@@[T{@fB]H[[yAiCa@Mc@H}@p@k@hAaBhEc@p@YJsA@qDnC{@@gDe@]TKd@?j@Dd@r@fB|A`BzEpDbBhBvAjBH~@Qv@cAz@u@Pg@Iq@]iCwBiAoAqB{CsBmCqAoAeAk@kG}BcBcA]a@e@aAoAsDc@c@g@QaAGeEL"",""resource_state"":2}",,,,,everyone,,,,4861269599,6.799,20.3,72.6,139.8,144,328.2,1,1,157.8,173,,1,313,132.8,4.4,23,1,,48
2,"{""id"":5108599,""resource_state"":1}",Absa Cape,14495.3,1909,1909,99,VirtualRide,4549856481,zwift-activity-718148126447640400.fit,4861060316,2021-01-01T16:29:21Z,2021-01-01T08:29:21Z,(GMT-08:00) America/Vancouver,-28800,"[-11.6363,166.972487]","[-11.648441,166.977833]",,,Canada,-11.6363,166.972487,0,1,0,19,0,"{""id"":""a4549856481"",""summary_polyline"":""zu_fA_ybz^uAOm@g@mAmDq@qCGc@@o@p@}CDcAW{@}AoCCa@Ja@p@c@hBLj@IRo@FsCLm@TUZKjA@xBp@fAn@RTHXGjAJZXLx@F`@XDJA\\y@vAG\\B^Zf@h@R~@DxFc@~AuAl@mAEk@_AgBGo@B_@\\g@`BaAZk@Lo@BcAMsAqAyDc@w@w@{@yAoAwAy@Qg@Ai@b@gCf@mAl@g@tC{@d@a@^}@JuAQiBm@gAcCyBO[?]Xc@rAcANY?_@WiAHo@lIyS\\_BHcCOeAk@w@{E}Ag@Wi@k@a@s@Yy@I_AFm@xAoD|CiGn@gBPoAZe@fA_@jAOl@JpAh@jAEn@g@`A{B`@a@vCEfA]l@i@f@eBC{AWq@wBqCQm@Ha@^g@r@c@b@Mt@@l@`@dAvAtCdFd@j@r@Zv@Ot@u@d@yBZ}@RWn@A`AXh@b@Xl@Db@MlBDb@^l@~An@`@h@F`@Or@YToBp@WZQp@EhADzHmAfOElCj@jApCvCTj@Bp@HL\\LrBBnA`@r@@rAUhEsAxCq@b@?x@d@Vp@TxA^pGLnECvBOt@[`@oA~@Qv@?tBLtBVfB^~@h@`@~@XbCIpAl@~BNn@PhBpAPh@RpBl@r@d@Nf@OZc@|BmHj@oAh@a@r@?j@RhA|@H\\JbBTVp@FfBG`APXRh@t@d@fAPp@LtA@bAGp@g@bA_Ar@iJ|Eg@v@YjCURuA`@q@n@a@l@Kf@@^f@fB`@p@`ARPRFbAMx@{CdCe@Ve@GYy@a@Y_AKi@HMV@Tn@t@Sz@Dx@GVYT]HsCIq@Lg@z@IhAgBdA[zAi@d@_@@WKMUE[J]|@mA@W_@}ADMp@YX[Ae@[k@c@_@}Ao@k@@k@Rk@\\S`@@f@N~@Cj@MNg@D]WUa@g@kAU_ABm@z@eBHm@OqB_@qA@aAJi@RCtAb@|ACVMbA}ACc@Wy@_@w@e@e@g@Ii@HsAj@k@l@_ANa@?KKE]`@sDAaAa@a@aCMs@XkA~Ai@f@}Bp@uCPwCaAq@Ac@\\u@|AUVc@LsBNyAdA_ANYd@@RNNjCTxClAp@?n@]"",""resource_state"":2}",,,,,everyone,,,,4861060316,7.593,13,68.5,140.9,148,268.9,1,1,149.6,171,,1,276,59.8,12.6,0,1,,26
2,"{""id"":5108599,""resource_state"":1}",Lunch Walk,4380.3,3363,3383,0,Walk,4546215374,garmin_push_6032977786,4857190163,2020-12-31T20:13:28Z,2020-12-31T12:13:28Z,(GMT-08:00) America/Vancouver,-28800,"[49.27503,-123.207102]","[49.274928,-123.209637]",,,Canada,49.27503,-123.207102,0,0,0,1,0,"{""id"":""a4546215374"",""summary_polyline"":""}_wkHl{~nVJT@\\Ad@F`@?t@Dv@BhCCT@t@Ex@"",""resource_state"":2}",,,,,everyone,,g6705932,,4857190163,1.302,1.5,58.4,,,,,1,95.9,120,1,1,,6.2,6.1,0,0,,6
