resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":5108599,""resource_state"":1}",Afternoon Walk,3676.2,2957,3031,13.9,Walk,4434834550,garmin_push_5917900312,4739540018,2020-12-05T21:38:52Z,2020-12-05T13:38:52Z,(GMT-08:00) America/Vancouver,-28800,"[49.236134,-123.243627]","[49.216896,-123.207882]",,,Canada,49.236134,-123.243627,0,0,0,1,0,"{""id"":""a4434834550"",""summary_polyline"":""ylokHt_foVNOVk@NMf@s@Rk@t@mATu@ZYVm@r@cARk@PYHST@JIp@{Al@aAVk@n@iAZa@|@_Av@eATQr@{@p@cAr@oA\\[dA_CXg@\\c@|@_Ar@qAx@o@d@o@ZiAd@_ARm@Ro@D_@^oARa@`AyAVk@X_@POz@cA`@[Za@^[b@i@Va@^YNOFKPq@Z]^Yj@U\\c@Na@Hs@Au@UiACy@Dy@DYTo@Vi@d@}AvBqBZ_@Po@@w@NmBFc@ZiB`@{ABSRo@Zg@\\a@`@]Xg@P_@Jk@b@c@ZSn@{AZe@Vk@Zg@Ns@Fu@BaCb@_Df@aB\\c@TgA?OBSVk@LoBLu@HkAJu@\\e@n@gA@Md@cBn@wA`@s@FUP[L{@Ti@`@[\\e@PQ`@Qh@K`@EX]PcA`@Eb@Jb@Vx@DhAYb@Oz@sATm@b@cBBq@NkB@w@Hm@H_C@aEPiB?u@Fi@DM@@MHEY"",""resource_state"":2}",,,,,everyone,,g7243946,,4739540018,1.243,1.7,55.6,1,106.7,133,,1,6.9,0.1,0,0,,7
2,"{""id"":5108599,""resource_state"":1}",Morning Run,12093.3,4083,4106,98.2,Run,4424900603,garmin_push_5907847909,4729024520,2020-12-03T14:24:18Z,2020-12-03T06:24:18Z,(GMT-08:00) America/Vancouver,-28800,"[49.263537,-123.132994]","[49.263237,-123.131484]",,,Canada,49.263537,-123.132994,0,3,0,1,0,"{""id"":""a4424900603"",""summary_polyline"":""wztkHtqpnVaADQPAPKFCFEl@?bAEl@?fDCJc@NwALqADk@Pg@?_@OUEe@@{@EWH[Qe@LIAa@YU]Gm@m@bBiAtBk@x@eAfAyA`Ag@Bg@I_@OQC[`@a@Ze@J_@d@Wj@Op@a@`@Ct@BXYn@]^Mx@Jr@AD_@\\c@Pc@ZcAh@kAX]@_@A_@OSUUAo@Pi@?MEKKGSSyBWq@c@Go@Fg@He@RWPi@@a@Vc@Gc@BiBnA}@\\u@`@q@Xy@d@[R_@`@eAzBu@z@Yj@Wt@YlBStBMtB?f@Hz@Vl@`@`@rDbB`@f@Rx@@z@O|E@jDIx@[fBc@xEHpCBVVh@ZV`@Rf@Jf@DZV\\\\r@~@~@`AlCrBx@x@RNhAd@b@T~@bAZd@Pt@^lBH|@?z@CbAKt@Qd@Mt@MbBGrBAv@JzBVpC@VC\\Hp@?~DGfFAhIHb@\\b@f@Ld@@\\RbB|FXr@Vz@Pv@Tn@Nn@Lx@HZdApCv@|CFz@DvAQfHD|CA|BEzB@`AK|ACx@UpBMxDIx@Kr@G|Bk@zLGxBYfFOnBG~As@zN@tBGfJ?~@DVn@dDpAbEl@xDNr@Jv@_@fDOh@[\\Gz@Dt@b@kC\\_FOqAUu@Ou@o@cEi@uBSeAQq@Ow@GuB@}CFqBB}CHqBDqBXqEDy@XoFl@wMJyCF}@TiFHw@LiD\\cFJuBCuBDwB@sBCiCHiCAgBAw@SmBOs@iAmDc@aBMu@kAoDMi@eAuDKe@Ky@DoED}@@kDF}@Cu@@gFE}E@sAAaAB_BDw@BmBJs@Vc@@w@CcEBsCAgBB_ACaDBm@BcGBaBEuBHsEHwKEwBGoBFw@Py@Fw@?iBHQlAR\\Ch@Hh@@d@FjA@b@Hd@DVFd@BhAR|@IvCJb@Ej@Fb@@T]By@G_D?{@M_BFy@A}AAm@Gu@Ys@C{@Fu@@}@PU^CAoCDmBHUBe@B_CB{@IcAPs@d@WJA^]xAw@Fy@FMFu@AuAJO~@@f@Ff@Id@CpBAVk@b@BnANhAF^Lb@Df@KPMLYHc@G_CEs@"",""resource_state"":2}",,,,,everyone,,g7243946,,4729024520,2.962,5.1,90,1,149.4,184,,1,54.3,5.4,0,0,,42
2,"{""id"":5108599,""resource_state"":1}",Night Yoga,68.1,1942,1942,0,Yoga,4419022104,garmin_push_5901773169,4722810422,2020-12-02T05:15:45Z,2020-12-01T21:15:45Z,(GMT-08:00) America/Vancouver,-28800,,,,,Canada,,,0,1,0,1,0,"{""id"":""a4419022104"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,4722810422,0.035,0.8,58,1,75.4,119,,1,,,0,0,,2
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10243.8,3379,3417,70.1,Run,4416425980,garmin_push_5899264422,4720088591,2020-12-01T14:53:17Z,2020-12-01T06:53:17Z,(GMT-08:00) America/Vancouver,-28800,"[49.263823,-123.132902]","[49.263455,-123.132824]",,,Canada,49.263823,-123.132902,0,2,0,1,0,"{""id"":""a4416425980"",""summary_polyline"":""yztkH`ppnVg@T_@D_@ZI@iBCuBMe@Me@DCBIlA]COLY|@i@pA_AxAi@~@UTIBe@Y?OJaAEw@]a@YUw@S_@WAITqB?uB^g@^a@Dy@?o@hA}@TWTm@@W@s@Iw@CM[i@KQe@WYA]MCg@DsAMs@Yo@COCa@Hu@?_DGw@BoHB}@Jy@FOx@qARs@D]?}@Ku@e@sAQm@a@cDWm@a@a@[c@Gq@Fu@Tk@b@Wb@Mb@WXg@F_@ByBAmDCi@Wm@g@Qe@Fg@AUYe@[g@E_A}@cAi@Iu@_A}@So@Os@Ws@[g@a@eB_@e@Uq@Mw@Wk@Sq@YiBNw@Ne@Ak@Ui@a@mBOqB[kDCy@Y_CIe@KSkAkAIg@@gDEmBDi@BCjAFXEFmB@w@Ee@a@Mc@CAGCeBDs@?wBCw@DuBQu@SmBAy@Gy@Yg@mB?UDCxADx@?v@Ol@g@Pc@WYg@Ou@e@McEUIIQm@g@Ew@D[`@ANBbFA|@@rDA~@C|@g@bB@z@EvB?rBTn@dAT`@R^`@Xl@Bv@TLd@NFr@?v@r@hAl@fBZd@`@`@Rz@t@zAf@~AXh@Pp@H|@?x@Cz@Or@Iv@F~@Nt@DlGGj@MXQn@YtBE~@FlBJx@Rx@JPv@b@^\\d@HlACf@B`@Ph@lAlBrDLv@Ez@Yl@sAvBsAfCYf@Up@TvB?z@Jz@x@jA`@b@vBtCt@lAAdBMr@e@bAQt@kDzFANVd@Nj@Op@qAbC]d@k@QyAvBSl@IFWK_AbAM^Xl@Lt@On@[n@_@Xc@SKAOTQd@`@t@A`@Yh@a@\\q@`@w@fAI@a@e@QMKAw@\\MG[g@w@k@So@i@}@G_@[_@CUIQ\\|Ab@xAxA|Hb@fB^nBf@zAf@jC`AxE~Hz]Rt@Xp@t@rA`@^dAj@d@NrBRlAFTCfAZlDDb@Ed@Dd@C`@PjCGLu@H}BAw@Dm@EoB@aAXMF{@G}ASq@Iu@@}@F}@Ny@FwBC{@D{@Ro@B{AAy@HyAASJs@dAw@\\a@n@UxAEjAUdACd@Bb@UPm@@KIwA?c@\\e@vBNtCLZONyABuBL}@"",""resource_state"":2}",,,,,everyone,,g7243946,,4720088591,3.032,3.9,89.6,1,150.1,165,,1,51,5.8,0,0,,33
2,"{""id"":5108599,""resource_state"":1}",Morning Run,11587,3999,4037,93.5,Run,4412252834,garmin_push_5895039896,4715698203,2020-11-30T14:38:18Z,2020-11-30T06:38:18Z,(GMT-08:00) America/Vancouver,-28800,"[49.263871,-123.132771]","[49.263646,-123.133513]",,,Canada,49.263871,-123.132771,0,1,0,1,0,"{""id"":""a4412252834"",""summary_polyline"":""qztkHfqpnVa@JkAD_AKaA@oBK_@?KDINOBGAOFIPWtA[|@Yl@kB~CMPIBa@OMSAY@QEDi@xAi@t@cAzB]h@w@v@e@Ng@Je@Pe@?s@[e@KMNUh@e@L[V[d@Mp@YXU^CrAQZc@^Ov@Jv@[d@g@PuAjAe@P[HkADM@q@_@i@Dc@L_@Ec@KUs@OoBYi@c@Cy@R}@d@K@c@C_@Re@D_@CmAp@{@l@SBe@Nk@b@e@P_@Te@Ty@z@o@xAYd@]b@q@xA_@~AKx@YxD@dAB\\Hd@Vh@b@^`@TnBr@`@RV`@FPPr@@|@IpBOpBFhBAz@m@|EMp@GhBBrBPv@\\d@`@Xd@Pf@F^PhAlAvBtBdBrAdAdAb@VvAp@|@dARZf@fBV`B@tBGx@a@nAKv@KhBCx@@pBFrAZ~CGr@JVC|FKvCBlBC`D@v@Lz@Rr@b@VfARb@fAp@rBlAjETn@d@tBRp@pArDXnBPpBBzBIlHB|@?pBGlDe@lIQlEOxAG|@G|CUfDEpBSjD_@zEIrC@f@K|AIpDKvBKx@GnA@jCIzA@lHh@fD^lAz@rDLv@j@`DHt@_@lCOr@g@z@AnA@@f@mBd@oFIs@Ii@_BqIOo@Mu@Qo@Us@Iy@CaHBw@BqCRcHFkA@o@b@aHBsBN}AdAaTHu@F{BHaB^uEBy@FqBAwBBqCA_DNqHIcBKiAMu@}@cDkCsIw@yC]iAMu@Ew@?w@FwBAsBBwACyADw@B_DAkBEyE@}EBeBAmD@_CB{@FiAD{CP]Jc@?y@EgBF}DAwDBi@GeDHsB?y@LmG@uBD}ADoBEmCNuBDQdADjAEnABb@Dh@Ad@J\\?d@InAMf@@hAGN@RDfA@h@DT?d@JTIBy@IkDFsBE{@Fs@\\CHI@_AQqCYw@@wALcDA{@Dy@N{@VkACcC@yBLu@LQb@W\\c@vAo@b@Ep@@jAYd@A^Gd@CLADELq@Fy@C}@B_@HO|@Ff@Fh@@`ANd@@d@AhAUJw@@y@McB"",""resource_state"":2}",,,,,everyone,,g7243946,,4715698203,2.897,4.2,88.4,1,179.3,194,,1,51,5.4,0,0,,172
2,"{""id"":5108599,""resource_state"":1}",Morning Run,21169.7,7189,7220,60.7,Run,4403425760,garmin_push_5886314054,4706356844,2020-11-28T15:45:42Z,2020-11-28T07:45:42Z,(GMT-08:00) America/Vancouver,-28800,"[49.263597,-123.132794]","[49.270066,-123.11679]",,,Canada,49.263597,-123.132794,0,5,0,1,0,"{""id"":""a4403425760"",""summary_polyline"":""uztkHrppnVkAX}CGU~N]bDNv@AvASfByAE[f@[pBYtHeCr@GjBa@~@?|FiCVG\\yC[aE@OTS|AFlCMdDqCX_DC_BUiCkAkAgBm@cB}CuNcBkGcGiXoC{Ne@sBTr@Ib@Pz@_@bCvAvFM|@kB`AoBBkA~BkIbJaBnCmBl@kFjJyI`FiDjCg@J}NgBmFv@sAfAgDlGSn@Dz@Or@yAxBqAfEq@~@iBpA_CrD{DnEaAN}EWkAXeAv@[d@I|@`@jBApBqAvD]V{@KiAVuEfC{@z@a@rB@tBz@zEFtBk@bBgCnCiACoDhAiBFa@Ue@HeA^cAx@e@G_BoHm@wAa@U}Dw@iFKiA[wC@iAXu@g@yF{@sBh@aCHQs@RmB]_BaD}Cq@wAw@_D[k@u@]mAD_Ba@wB{CmCcIw@iKo@eDKkDu@oDq@iKq@uCUaFRg@lAY^g@v@iCDsAl@{@lF_CtDkFfBwAvBgCnBW`F{C`B[fBL|@oEpEqKdCiBhAWpF_Ex@cAz@{C`@gDNaGUoFp@cBfC{B`BsBp@yAlE{Oh@aDRkDBaEiAoCgBwAu@gA[mB`@e@`C]xCx@jABrCvAXf@Lz@G~GNrBoAfDI|@`@|BfCjDAdBk@zCEtBNlD`AjEt@vAlEvCXrAk@jCs@fAcBxAqBdAc@~@?|AXbBfApC~@lAJv@]fDVjD^bBbArB~@|@zCz@d@Kn@{A?yC`@kB`Au@vDeHKo@hAaCdAoCC]{AgBy@gBfAoBtAuFf@aA`CfEdCaDnBeELsBVs@AsBo@_DiBgDKy@hBiDfBaFfAcGJqBEuBkBaFxAgFxBiL|BRnA~ALyA`@qA@qAnB{DV^TlAK~@EOr@e@z@sAHo@\\i@~@dCnCi@Xu@f@DrBpArArBNw@p@[Pm@f@IfAb@`A|@zAxCRDrBoBVmCv@iBbBELsA~AcEAeBLEXl@dCfChCpAtAzE~AtD\\LvCjD~@nBxAl@hAk@fALTSTu@dAaA^H?ZGu@Xj@hA@bDs@lA_DQaCaCeGm@_Ac@Qs@wC]o@C_AWs@m@_@_@cBw@u@kACc@]AsBV{Fd@{AD{QXc@hBCXt@|El@l@vA`@Pz@y@Di@Y}CjCa@d@V^fAArDTp@PfHO`EhANTnBMt@gBdAQfGLv@bAp@Tj@j@dJxA~I_@pBPrAjAtDz@`AVrAp@pA"",""resource_state"":2}",,,,,everyone,,g7243946,,4706356844,2.945,7.4,88.1,1,155.6,175,,1,51,5.4,0,0,,116
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10179.4,3448,3458,64.6,Run,4397994087,garmin_push_5881024446,4700624227,2020-11-27T14:55:13Z,2020-11-27T06:55:13Z,(GMT-08:00) America/Vancouver,-28800,"[49.263358,-123.132677]","[49.263423,-123.13539]",,,Canada,49.263358,-123.132677,0,2,0,1,0,"{""id"":""a4397994087"",""summary_polyline"":""iztkHpqpnVoADaISKHKx@Cx@Ef@g@TU[Q^[x@cAzAi@bASFm@QCKAq@[]Ko@@[SU_Bi@Si@b@mBBiAPu@b@_@Xi@?kAT_@l@g@\\_@Pk@Fs@Ou@MWy@iAUIUAa@U@{BIk@Wk@G]Bi@Hu@@yCQmAJgBAsFLg@N[n@s@Vs@Hu@?w@_@_BQg@Ym@Mk@I_BG[Uk@cAgACw@D}@Vk@ZW|@M`@_@To@DyACiFOq@a@_@y@?e@I[c@e@Se@AaA_Aa@Ue@EIs@w@gAM_AUq@m@kAa@wAs@qAQiAm@uAOu@Cw@Js@Tk@Es@Yc@a@iBMu@A{@]}CC{@YyCKc@U_@a@a@]i@Ca@FiBEuB@{@H_@jACPG@kDAU{@EIeFDeDAu@Mu@Wm@Gw@@gBEYUm@g@G}ADCHIbBPr@D|@Wh@_@\\_@[Yk@Ow@GQyA@uBQc@IQq@YE{@?_@^CNGxBEtF@bEEx@[|@Cv@B~@I`DHx@`@\\dAX^X^d@?x@Xb@\\BR\\F|@Tp@tAhD^\\P^l@|AH`@~AbEHf@D`A?x@UrACdBVj@Dx@GnFi@bBG|@IrBFtATnBRn@b@Pz@dAb@BpAAf@DX\\lAzBz@pARr@?dAOp@_BbCm@jAeAhBOt@Hv@FtBFv@z@jARNv@nAdB~BVb@Bv@@XIz@i@vAQr@]f@s@zAi@x@Wh@O`@ERFRVh@Mt@oAdC[f@MB[WqAbBo@lA]GKFg@|@Ob@Rd@Hx@m@pAIJu@ESXSn@BJNPPl@Wj@]b@c@Na@`@w@p@MEYc@QMc@Rc@D]g@o@c@BWSq@a@c@Yg@Wk@@UEKK??JZdBTl@b@hBXhBjAfFTxA`ApDh@|CpEfSpAhGz@tDbAvCZf@z@fAj@^f@Nf@Fd@Af@HZPlACnAJf@@d@LnBJjACb@P~@?f@GvABFGFw@?wBCqBAe@I{@LiB@kAAw@e@q@Ks@PsBZu@H?AwBBeADm@No@@aEHu@Ay@Xm@`Aq@f@Q`@]`@Cd@BxAQj@Ot@@d@QNMHwAK{@?KHc@HIjAHn@PxAAn@NbAG\\a@Fo@B}@"",""resource_state"":2}",,,,,everyone,,g6705932,,4700624227,2.952,6.9,89.8,1,154.3,181,,1,51.1,5.8,0,0,,48
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10099.8,3391,3401,64.2,Run,4394784598,garmin_push_5877845666,4697216444,2020-11-26T14:44:50Z,2020-11-26T06:44:50Z,(GMT-08:00) America/Vancouver,-28800,"[49.263698,-123.132797]","[49.263432,-123.135427]",,,Canada,49.263698,-123.132797,0,2,0,1,0,"{""id"":""a4394784598"",""summary_polyline"":""_{tkHxqpnVy@?q@IgA?{DSe@L]b@QvAUt@Yn@kBnD[Jw@UKe@AU_@_AGYUc@wAc@Sk@Tm@Nw@LuBn@{@Tk@Cy@F[jA}@Ve@Jm@@{@Qu@e@u@_@_@c@@Wk@CeBKy@Wk@Ay@Hs@MkF@oDHsDF]Ti@r@_ANk@Hy@A}@EUSq@k@{AU{CYi@}@iAKs@?{@DW\\e@hA]\\_@Pu@BmB?iEMs@_@]kAIaAq@e@@w@qA_@UU@[g@Uo@a@QWi@Sw@Uo@m@cAk@cBo@iAIy@GUq@gBMi@Ea@Hy@Ri@@c@Um@a@kBKy@E}@YiBMwCUmBQo@q@{@Ye@Ay@@cCGsBFm@jA@VE?{@QqCe@KOo@?w@DyBDw@AwBCi@Ku@Um@Es@@uBQm@c@OsBFMv@RrB@|@Wl@e@F]cAYkAqAMyB?e@EWq@WKy@Ca@HMr@D|BAnBIlBApEGv@Yp@It@@v@Gz@CrBDt@Zb@lARb@ZZ`@JfA^Z`@RT~ATn@h@pATt@x@fAX`ATl@r@rAl@dBNn@Jx@?t@Ex@]pBDt@Rp@Jz@IvB@zBMt@i@hBIx@Cv@FpBJt@f@rAr@f@Xd@lA@b@Kf@@b@RdCjEVx@Jr@?b@Mf@}EtIGRAVNrB?|@Jt@rChDz@jAh@z@Nt@EnBq@pBUl@wAxBu@~AKp@Vl@Gv@[f@q@|A[h@u@MkA|A_@rA[Kc@\\w@jATr@Xr@Mz@[f@e@Dc@S]d@Ip@Xf@Ap@]f@_@Na@d@a@V]b@SDa@g@e@Ga@V_@W[g@[]?}@}@gAa@]_@{@A@Fx@Jd@Hl@Lf@T`@|@|D\\hB`@dBHz@Pt@t@rCVnA`@tA|ArHTx@^rBhApEZ|ApApFx@vCVr@b@r@~@`An@^z@Pb@AlARnA@|B^lAFhAIlA@b@R`EQFOIiD?y@Ey@AmBHqCCu@OwAB{@TuBCyBDwCP{@AeCHwCXe@d@OZa@t@[x@O~AC`@IdAGd@O^e@Nu@Bm@Go@DA~@HVg@b@Db@IzCRf@ELKH}@Ak@"",""resource_state"":2}",,,,,everyone,,g7243946,,4697216444,2.978,4.9,89.9,1,154.2,185,,1,51,5.8,0,0,,45
2,"{""id"":5108599,""resource_state"":1}",Afternoon Run,10103.6,3278,3383,63,Run,4391502561,garmin_push_5874510507,4693735576,2020-11-26T00:47:03Z,2020-11-25T16:47:03Z,(GMT-08:00) America/Vancouver,-28800,"[49.263482,-123.132445]","[49.263783,-123.134728]",,,Canada,49.263482,-123.132445,0,1,0,1,0,"{""id"":""a4391502561"",""summary_polyline"":""_{tkHtqpnVmCIeB@gAKe@Mc@B_@L_@hBm@bBmAfC]`@O\\SHa@CKGEE?m@e@w@]}@iAi@OUAGXoBHqBXg@`@a@Lq@Cq@F_@vAmAJSJm@Ey@[y@[i@]]g@IUg@CuAI{@Uk@Iu@F{@B_AAsBIu@@oDAeDDy@Zo@^W\\a@Ro@By@E}@Oy@q@yAIq@A{@I}@Yk@]][i@Ou@Bs@To@\\a@r@Od@[Vk@B}@G}EUoB_@]_@Bg@C{@i@i@AQSm@iASIc@CUm@E]YM]a@aAiC_@i@k@}Aq@uAMy@Yo@Sq@My@Eu@`@oBu@eDIw@E_AM{@QqDe@aDWe@{@}@M{@AwDAy@@Eh@Ob@IXa@A_ACuBG[UA_@a@C[Ew@?_AIyB@uDOu@?{BE}@Ms@e@Qg@AeARA|@Fr@Pp@Cz@Yb@]Ri@M_@kBECkAQg@Bg@Kq@@c@IWm@e@SmADOn@GbPGz@Yl@Qn@GbDBvBD^\\d@|@Hd@T\\`@T`Bf@L^RTpBZh@~@tCb@\\bApCRp@hAlCNv@@dBIx@Qp@Gx@ZnBAz@D~DEx@m@~AQv@Ix@?v@B|@H^^jAVh@v@h@PTf@Fz@Cx@G`@RlAjCdAjBPv@Bv@Op@Uj@]h@}@hAwBrDKt@`@dBBtAPn@z@bAVb@rAjBtA|BB|@Gx@Up@Wf@Ot@w@pA_@b@w@dAM^On@^z@?v@cBdD[^]]]VqArBCPMM]^[h@c@\\GPXf@VPFJSf@w@tAMFa@Ia@XWh@\\f@@x@Wh@m@Pa@Zy@lAIBw@sAc@P]d@_@Qw@eA?QUk@]c@Uq@Yk@ASMKNr@Tl@^nBTr@H|@x@jD^hBb@fBl@vCZnBjIx^hAzETt@\\l@\\b@`Av@z@^^h@NLP?r@YVAtBDd@PtALr@@bC^b@Yh@Fj@Et@BXKBsCH_CAcAJ{@b@CCYIaHBiBMm@LC?mAJcB?o@JsACi@BoA?oBB{@Xe@|@o@dAk@TWBQBw@@ILKFMJyAbEGrASHJ@WHKv@?n@QFQ@]CQDAHw@?YJm@bBGb@["",""resource_state"":2}",,,,,everyone,,g7243946,,4693735576,3.082,5,88.5,1,165.7,198,,1,51.3,5.8,0,0,,86
2,"{""id"":5108599,""resource_state"":1}",Morning Run,8513.2,2979,2988,77,Run,4382288901,garmin_push_5865430487,4683984152,2020-11-23T14:57:23Z,2020-11-23T06:57:23Z,(GMT-08:00) America/Vancouver,-28800,"[49.263497,-123.132908]","[49.2637,-123.132058]",,,Canada,49.263497,-123.132908,0,2,0,1,0,"{""id"":""a4382288901"",""summary_polyline"":""wztkHhqpnVsBJcACoAQu@Lg@B[E]^CbBM`@WZACWICDM`@Ub@Oh@Uj@]h@_@\\M?a@c@Sk@]l@a@b@Wp@Oj@_@|@m@hAs@p@s@ZKH[`@WVIDy@WQOi@GSEG@a@Zi@Na@\\Yd@It@]b@Mb@?f@Kt@Yd@Wj@@|@O`@UJ[d@c@Te@Ja@Nc@Fk@Pc@?e@GmA_@k@?g@GYm@KcB_@_@e@Ag@FYF_@Rg@Je@?WPUF[g@c@VwB`Be@De@ZaA^_@^u@d@]Z]d@o@tAqAnBYp@e@fC_@jD?x@@^Jt@Tl@^\\nCjAd@NVRP\\Pr@Bl@Ar@MlCK|@DnDy@`FEv@CpEBt@P`@`@V`@Pb@Nd@@d@RTPn@t@XRz@fAfBlAbB|A`@ZjAd@^Xl@n@RZTr@XrBJvBE|@Ir@Uv@Mt@KrBGpBBtB^fFmA`EWnAMx@?x@Hv@CjBBxALr@Jt@Pr@Xz@V@`@DRCxBBH]HuBAiBFwBKmDBaCCy@HuBE}@?}@G{BFiFA{@DwDB}@@gELcAVg@Dy@IuH@eHGwB?y@PqHB{BHgBBoFPqBLg@fBHXGv@Ef@AfA@F{@@EZ@j@FnAEh@Ff@?b@Jz@?JCJy@M}BJy@FoDDEjAEhADHC@k@X@DQ?uAA_@Wo@@wCFaAHe@HkEJw@DwEJuB^c@b@UdBgAnBCn@@`AM`@O^i@Vg@?}@CUBe@J[DAdBLNONq@J{@N[Bq@Ew@CsBBu@DCxCCf@CZa@`AHv@?jADd@J|@Lf@KrB@d@IDe@BcCDyACmC@{@LuBE{@AsCAY@y@CWGEg@GoBDq@Cg@?gAG[De@MsB@QJ@zG"",""resource_state"":2}",,,,,everyone,,g7243946,,4683984152,2.858,3.9,88.9,1,159.3,180,,1,58.2,5.4,0,0,,62
