resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":5108599,""resource_state"":1}",Morning Run,12286,3989,4012,104.5,Run,,3242537688,garmin_push_4724322446,3466405254,2020-04-01T13:34:33Z,2020-04-01T06:34:33Z,(GMT-08:00) America/Vancouver,-25200,"[49.263343,-123.131877]","[49.263483,-123.132893]",,,Canada,49.263343,-123.131877,3,3,0,1,0,"{""id"":""a3242537688"",""summary_polyline"":""e{tkH|ppnVc@JQ?aEUc@Ic@Cc@Ig@Da@VKr@Iv@St@Ur@Yn@]b@q@hAYb@g@GYQAa@MIQXUj@mAxBa@Z]b@m@hBa@ViANg@Bc@A]Ic@XU^i@Ba@JYj@Ex@s@jAHz@Uh@c@PIRDt@Pr@CLa@Re@De@Tc@`@gAd@k@Li@HuAK_@HoAMEC[u@My@Gy@Qo@e@C{@NUFe@Xg@Fc@Ne@H[ISBkA~@aAl@e@He@Vc@Lq@\\_An@a@b@iAdCc@`@[d@Wn@[jBe@nE?tAB`@Lz@Vf@ZV`D`B^d@Tp@D^Dz@QbFAfDOtAI^It@UdDCx@DzAHn@Zf@`@Z\\Lb@Fb@LNJbD|CzCjC\\b@XVb@ZdA`@NJ~@lAVn@f@~CD|@ArBOp@Ur@MnBIlBBtBPxBVnBGhBB`DIxGB~HTd@`@Zv@T^ZdAlDVn@xA|E`@~AbBrFPp@TpA@nDAlB@x@GlH@nBAvBi@rIK|COv@I|@Et@?z@IhDMpBc@fKYfEChAIf@IlDSvDMtB@tBIjCEjF?`@Hv@f@dCr@tB\\tAZvBl@~C?z@WhCQv@a@\\IXDx@DJPo@Hw@ZoEDw@AM}@qF_CoJMw@?QLaK?uBDmBZqE\\aJDuBZkFFc@HkBPuBFuBd@wINqD`@}GAyAJ{TKmBSeAuAcEu@aDmA{Dk@_Bg@kBEw@As@HkD?sEBmADs@Xi@?sCUeD@}@C_ATyG?wEDy@DqDC{@J{BA{@C_@Cy@FyA?{@Dy@HeKAsDJeF?cGDmB?o@OwBR{@P_BBClAJlAEvA@lAFd@HlACd@Ib@UBe@DId@@b@HX@PEd@Rf@AhAIT?d@JFi@@uAEsBMeBA_AJqB?q@YiDAy@D{@Ny@JwBB{@Fw@Vs@Au@B{CC}@Nm@`As@tAo@bAGf@EVBb@Cf@Iz@ELI^]DQDu@?}@Bw@`@Q`@?f@ClBRf@LnADBK~@Mf@@nAG`@N\\?p@Gb@@r@NR?b@Md@Ld@C\\@?{@B]A}ADuA"",""resource_state"":2}",,,,,everyone,,,,3466405254,3.08,6.1,90.6,1,161.9,184,,1,54.5,3.8,3,0,,88
2,"{""id"":5108599,""resource_state"":1}",Morning Run,6080.2,1950,1963,61.6,Run,,3239030402,garmin_push_4720533546,3462682959,2020-03-31T14:26:53Z,2020-03-31T07:26:53Z,(GMT-08:00) America/Vancouver,-25200,"[49.26338,-123.132555]","[49.263465,-123.132818]",,,Canada,49.26338,-123.132555,0,3,0,2,0,"{""id"":""a3239030402"",""summary_polyline"":""_|tkH|opnV_@FuBBqBIoACQLEFKI[d@e@vCg@hBYx@y@nAc@?a@QQKEM?i@_@\\_AbD]n@k@jAUx@e@PsBTg@@kAc@_@ZWl@KB[BWLQRWj@Ex@]XQl@@z@_ApA@VLd@@h@SNi@Lc@Pc@^c@T{A^e@@e@Eu@OWUMEUd@YGa@i@q@{Ce@WqAL{@f@u@Ne@TO?c@Qa@L[XkAt@kAd@a@Ve@RoA|@a@V_@f@k@~A{@fAYl@Sr@[jBSxBG|@F|BNv@Zd@`@VvCtAZ`@Vr@Ft@?rBGdC@p@?nBAZMz@WpAe@lE?fBDz@Tn@^Zp@^XDP?`@Jb@^|A~A~AxA`@X~BzBb@Xz@Tb@^tBhC`@Xh@@b@Jb@?f@[FcFFaBA}IC}@?}@E_ALmHFgACiCDwBCwBJqBRmBJEhALtBKlAHv@@HEDm@b@SvBP`@?d@Fd@Bb@S`ALlCAFK?uBCy@G{@K{@A_ALuEE{@c@qB@{@VuBNuAL}BPe@?yAFcBPqB^e@`Au@b@Sd@Q`AC~@ONO@}@E}@AcAhCELMLm@j@JnAA`AJd@IVDnANXETo@By@SuB"",""resource_state"":2}",,,,,everyone,,,,3462682959,3.118,5.4,90.7,1,149.4,172,,1,51.5,3.8,0,0,,18
2,"{""id"":5108599,""resource_state"":1}",Morning Run,6321.2,2028,2065,62.9,Run,,3235038890,garmin_push_4716118877,3458463770,2020-03-30T14:16:16Z,2020-03-30T07:16:16Z,(GMT-08:00) America/Vancouver,-25200,"[49.263423,-123.131803]","[49.26348,-123.132155]",,,Canada,49.263423,-123.131803,1,2,0,1,0,"{""id"":""a3235038890"",""summary_polyline"":""i{tkHhppnVi@H_@@}@Eq@BqAAg@Ee@Ga@?Sb@]XQt@Of@Mp@q@zAuA|Bc@D_@KMUDa@Wm@Ok@Uo@w@Uc@WEOZoB@u@F}@Zc@`@a@Jw@D{@fAy@^e@Lu@Cy@So@w@gAo@OWc@?oAIw@_@s@I{@Hs@A{DCy@@{@EqDHsBPu@z@aARg@Jk@B{@Ew@Qu@i@eBMs@Cw@Ge@Uq@_AeAQw@?w@Ro@b@Wd@In@WTm@F]D_E?}@Eu@Kw@c@a@a@GiAA[c@a@Ca@[[c@[Y_@E[i@Mo@c@O_@e@a@eBw@sAc@aB]e@Wm@Ky@Wk@Qw@Ms@Gy@VgBOs@Us@Q}@KuBYmBGqBc@mDUi@_@_@[i@Gw@?qBCyB@u@HGrATNABQ?{@EiCCGi@COIEu@CqB@}BAuBLu@JEj@DPNEx@HvDFt@?tDDhDCz@D|@@x@?`AGj@?J`@Zd@FlAAf@E^JRz@Rp@Vn@rAxB^jBZd@`@ZVj@Xf@TbARp@p@zAXh@j@hBVt@Zb@`@Zb@L`@Td@s@d@[d@X\\|@p@zCRn@^bAAARE`@UB@HHFVFh@ThADnAO\\Np@PBf@@d@Gf@FhA@d@Hd@?d@Kd@Mf@?`@BN`@Gz@Az@LrBBx@IjABrDHnBK`CSxBA^AhJEd@A`A?vB@x@H|@DvAZL@DEZKtBU~B?z@Dt@Ex@Vr@Cx@KnBIx@Ev@Kt@Yp@Ax@"",""resource_state"":2}",,,,,everyone,,,,3458463770,3.117,8.8,90.5,1,146.4,160,,1,51.5,0,1,0,,14
2,"{""id"":5108599,""resource_state"":1}",Afternoon Run,11050.8,3454,3476,110.2,Run,,3229198789,garmin_push_4709238888,3452205153,2020-03-28T20:07:32Z,2020-03-28T13:07:32Z,(GMT-08:00) America/Vancouver,-25200,"[49.263675,-123.132418]","[49.263361,-123.131738]",,,Canada,49.263675,-123.132418,0,3,0,1,0,"{""id"":""a3229198789"",""summary_polyline"":""_{tkH`ppnVu@JiABuANc@?mBQc@Ha@T_@`BUn@kA~B[f@{@dAk@hBk@`Ai@hASh@Kr@C\\Ob@eAViA?iAg@eAs@]a@K_@J_CDa@Tq@Vm@Zk@TOb@Kb@Uf@o@Tm@H}@Lu@d@aBDoARo@^_@Zg@NaBxAcAPYPu@Ck@Mw@]_@qAwBUu@Eu@Ym@Oo@Hw@D{B?}@IaA?{FBkBHg@N[f@m@Ts@DYBgAEu@_AoCYmDWg@_@a@[e@Ku@By@Tq@d@Sb@G^YXi@Fu@A_AHeFIw@_@[iBE_@[g@CWGQYYs@IKe@C[YGe@K[g@WUg@g@iB]c@Yi@]qAq@aA[eBo@_BMu@Cy@XgAEy@KQa@wAIw@EoASqBKqBOs@QsB]i@_@Y]c@Mu@Bu@@yFBEz@Bd@GBw@@wBI[c@AWKCw@JkEAoDIu@Yk@@_AIw@A}@G_@Yc@sAAe@DMp@Cv@Lx@Bd@AVM\\ORc@Dg@e@G}@O]wBEuBMYq@e@Oi@@g@LKr@Bx@C~E@x@EfD@v@Gt@[l@Ez@?z@G|@G|ABd@Xn@NLfAL`@T^f@VdBd@NTr@Dx@h@bAh@`BXj@`@Th@fBlAjCh@hBLz@@~@C~@Kv@C|@XpBGnDEvBg@fBK|@KnCF|@\\~AVj@p@^Xh@b@J~@E~@D\\ZVh@dCfEDV?~@Sh@s@rAq@bAeCtEF|@VnBBv@t@tAlEbGLv@?v@Gt@Yh@Un@qAbCq@dAm@nBXj@Dx@s@xAw@hAa@VYY_@RaAhBQTK@IHw@lAI`@NlAQv@[j@_@Ze@I]XKZVl@Lr@Wl@]Ze@T{@pAc@R[c@a@Ya@La@CQc@]a@a@]Uq@]g@[k@[Y?GKKNt@dA`EbBnH\\bBb@fBJp@d@bBpAtGbCzKf@bBl@~CtArGTp@d@fA\\j@v@|@bBv@hARb@GrCDd@PxBRlAAnABf@Nh@MnB@LoBBkDA}@IaAFI\\EKiCQuBQ{@Fw@@{@DURG@uBAkBNkAE}@@_DC{@Zg@j@Uv@s@jAi@rBWnAC~AODGNq@@q@ImAVCb@Fb@Eb@S~AMjAVb@EDMNaBIw@BaB"",""resource_state"":2}",,,,,everyone,,,,3452205153,3.199,5,89.9,1,139.4,163,,1,53.9,0,0,0,,19
2,"{""id"":5108599,""resource_state"":1}",Morning Run,6231.1,1996,2021,66.2,Run,,3223937780,garmin_push_4703407985,3446618569,2020-03-27T14:26:13Z,2020-03-27T07:26:13Z,(GMT-08:00) America/Vancouver,-25200,"[49.263542,-123.132525]","[49.263426,-123.133026]",,,Canada,49.263542,-123.132525,0,0,0,2,0,"{""id"":""a3223937780"",""summary_polyline"":""s{tkHnppnVu@Da@CmA?aBKg@?g@Ec@HEDSDIDGLIz@_@pBSn@w@lA[`@]j@]Le@QMK@o@Ws@So@_@[WGq@]O_@\\iBHoBZe@`@WN]F_BpA{@\\_@Ls@?[Gk@Sm@OYo@w@aAYGs@?qASs@IKQk@JqA@_A?}@IoBDeIHy@Vg@\\c@Zm@Lu@B}@I}@K[o@_BOuBKs@Uk@_AgAKw@F}@Tk@b@Uf@Ed@[Tm@Hw@KwGMu@[a@g@Cc@?c@Q_@_@e@@[]c@s@aAg@Ms@a@Y][y@cC[i@Ws@Mg@Ym@SWSg@M_Au@wBI{@Dy@Rq@Cs@Yg@UwAK}@C{@Iy@Mq@OsB[{CI_@[c@_@a@Wg@@u@nAHXEf@Jb@@t@Fd@Jd@Af@FVP\\vAVn@Vf@^f@Zn@Nt@z@fAd@jA\\j@LNf@SVg@\\e@d@Gb@Bd@dB`@l@Zf@n@vAPTOl@TbBd@b@`AhA`@\\j@vAp@jBRv@ZnBDx@?vBLXf@@b@Ob@DTFj@Jd@@d@?`@I^?pAUb@DZb@CvD@t@Fv@ClAHnF?vB?\\Rb@DjCItBFxAHx@@v@Sr@AxBEt@Ar@MXH|@a@z@Sx@APV?H`AJr@Ad@Oh@?^Up@Cf@Hh@TbE@x@H~BKt@_@`AG\\"",""resource_state"":2}",,,,,everyone,,,,3446618569,3.122,5.3,90.1,1,149.7,168,,1,57,0,0,0,,17
2,"{""id"":5108599,""resource_state"":1}",Morning Walk,7006,4558,4588,79.8,Walk,,3220227084,garmin_push_4699284481,3442667094,2020-03-26T13:46:40Z,2020-03-26T06:46:40Z,(GMT-08:00) America/Vancouver,-25200,"[49.263735,-123.132531]","[49.263567,-123.132376]",,,Canada,49.263735,-123.132531,0,0,0,1,0,"{""id"":""a3220227084"",""summary_polyline"":""a{tkH`qpnVw@ByAUg@Fa@Cg@@e@IW@c@?eAPG`@K`@Qn@k@nASl@Wj@{@nAWd@i@KY]@WI@EDO^CZQr@Kz@o@f@Wn@{@~@KF_@d@uAVQNe@?SLGK_@]WEyAl@c@VWj@EnAWPSh@BbA[d@]\\Gr@Hh@c@v@eA`@_@ZgA\\a@RWFc@B_ACm@Hy@Oa@@]a@Mw@EsB]_@gAVgAd@QC[Fc@Re@Gc@@o@`@}@v@_@Pc@LcAf@{@j@o@X]^Ul@s@nAu@`Ag@lAOj@Ov@]hDIjBBx@Fl@Rl@ZTfBx@`@Tb@RZb@Vj@Fv@@t@M~DLt@Fv@?n@IVGh@]jBOlBOpAA`DFv@Vl@`@Vd@H`@?ZJxBjBfBhBh@ZlBnBdAn@d@J^XXd@t@|@Nt@Dt@f@|CN~AZrATl@F^@b@AJ?~AE\\Fp@j@rDNt@FTLD\\DRG`@?pBRd@Ab@Dd@BRC`@@b@Kv@L~E@hABb@Dd@Kb@BBBh@AVCd@J`@@b@Cd@BXAb@Db@?FCb@@LABw@Iu@B{@?aFBOb@KpBCTk@@oBAw@Gu@A_@FsB?_@b@G~CCb@@jAHVg@Lk@?w@O}GVg@XC?AD{@EoA?wAS[COWwAIu@Tu@Fg@Ey@Ou@C[@]FoAAy@NoBL{@D{@@y@My@Ju@By@Ey@Os@Dy@Lk@?c@c@sBGiAFw@E{@@{@Vw@F}@Mw@IkAPs@Ag@ZeABiAPo@A_@EOC]c@c@Us@?_@Hq@Dq@A{@Lq@Ve@PADIFg@ASQm@Iy@Uo@MSPu@\\m@@w@G{@Rg@HqAJy@Iw@Sy@e@aBCw@"",""resource_state"":2}",,,,,everyone,,g5570995,,3442667094,1.537,3.6,61.3,1,113.4,142,,1,51.5,3.8,0,0,,12
2,"{""id"":5108599,""resource_state"":1}",Morning Walk,6147,3943,3970,72.3,Walk,,3216696583,garmin_push_4695348314,3438920270,2020-03-25T13:53:09Z,2020-03-25T06:53:09Z,(GMT-08:00) America/Vancouver,-25200,"[49.263705,-123.132743]","[49.26357,-123.133049]",,,Canada,49.263705,-123.132743,0,1,0,1,0,"{""id"":""a3216696583"",""summary_polyline"":""qztkHzppnVe@Le@DuAQk@?iCKc@E[BEJA^K^e@ASj@Op@Sn@Yh@]d@Yh@]`@MZCVGDa@IYKEGFk@E?IFc@fAM`AKTOd@]\\?DMX}@bA[d@WJi@HOAc@Lc@AYLu@e@GCe@JWZIF[FUPG?O\\EtA_@\\Uf@Bx@EPS`@]`@Dz@?ZWd@_@Vc@P_@\\s@Xc@Lc@Fc@RS@e@Ac@KiALe@A_@c@Ms@?u@Iy@Wm@KCeB^MJa@P]B_@Ne@FOCa@CyBxAa@N_@F_@ZgBx@GHs@d@y@fBu@fA]b@Qp@m@zAYjBSjBEpBHv@Tj@Zd@lCvATFNAt@jANlB@v@OnBAt@D|@?~BMd@Kv@[fBOzCERNzCTl@VTt@Vd@Hb@P`@XzB|B^Rb@b@`@Z`BdBbAl@dAf@j@j@hA|A`@Rb@HVJd@Db@?Xe@Pq@@mCFaB?wBJa@d@Bx@Id@@~@AVBb@Lv@ExAHd@EbBDd@AZBhB?d@DdA@LCd@@`@Ed@JR@d@Cd@?jAF\\CHCJAp@J`@CjADpCAnAFnBGZUBiCHy@?a@Ps@F{@K}ADUMyBFg@D_C?wACm@Bu@Iy@D_BHu@?m@Ec@AaHLuACs@?k@DmA?_@BEJGHKF?@SC_@g@{AQ{@FWFu@DiANu@RgBCy@Ka@KcAKu@GmBG]Js@l@[BS?i@SeAAi@Gg@GMMe@AIBIAINYHw@Be@E_@?SFi@l@iCKaAIYc@o@Ow@Ay@"",""resource_state"":2}",,,,,everyone,,g5570995,,3438920270,1.559,3.2,61.6,1,112.9,165,,1,51.3,3.8,0,0,,11
2,"{""id"":5108599,""resource_state"":1}",Morning Run,5463.6,1791,1794,62.1,Run,,3210311123,garmin_push_4687984008,3432123479,2020-03-23T14:09:11Z,2020-03-23T07:09:11Z,(GMT-08:00) America/Vancouver,-25200,"[49.263666,-123.132611]","[49.263377,-123.132292]",,,Canada,49.263666,-123.132611,1,2,0,1,0,"{""id"":""a3210311123"",""summary_polyline"":""wztkHdqpnVe@FiACgAMe@AkAMWBc@CYFEFGTE?a@XY`AcAzBqB`Da@Fg@YFk@k@gBa@We@Q_@[D{@L{@FoBRi@`@]Xg@Ay@B_@bA}@\\c@Nq@Bg@?OOo@_@k@_@c@WSe@AQm@Bs@?{@m@uA?}@Jo@@yA?y@Iw@CyBD}FNw@z@eATq@FWBq@Ey@Qw@Wo@So@Ks@C{@M{@[m@_@_@]e@Ms@B}@Vi@b@UjAYXm@D}@CaAFkEKw@We@g@Oc@@g@A_@c@c@Ga@Q}@qAe@AUg@Sm@c@WU_@Qw@Us@o@iAi@gBa@m@e@iB{@iBIu@Bu@Vo@DWKu@Uu@S{AEsA[{CE{@WqBG}@Wo@k@m@_@k@@u@d@Bd@?b@Jb@Dz@Kd@@LEd@Db@Nx@`Aj@zAh@hAz@`Bt@rAnAfCJb@Xl@Pd@Xj@vAlEt@tA`@NtAORIr@ENNf@jBJl@h@~ATh@`@HZ`@Px@Hz@@n@Ix@Hh@b@@\\E|@GPGXAh@?d@LdDJn@HAfBNhBHfB@`@Cx@@\\B?Tj@Al@Kj@KrA?~@]dAJ|@HvBFv@DnBG|@BhDA|AAh@Kx@CjBIz@?b@P|@Bt@GhFGv@Or@A|@Nx@@z@K~E"",""resource_state"":2}",,,,,everyone,,,,3432123479,3.051,5.8,90.5,1,150.9,178,,1,51.4,0,1,0,,18
2,"{""id"":5108599,""resource_state"":1}",Afternoon Run,9056.1,2997,3059,90.9,Run,,3208777964,garmin_push_4686028169,3430467220,2020-03-22T22:06:09Z,2020-03-22T15:06:09Z,(GMT-08:00) America/Vancouver,-25200,"[49.263587,-123.132894]","[49.263083,-123.131563]",,,Canada,49.263587,-123.132894,1,1,0,1,0,"{""id"":""a3208777964"",""summary_polyline"":""mztkHtqpnV[C[?y@OoA?kAIw@BYCi@DIHGZI~AYj@G@]YEBiAhCu@jAYj@e@A[Y?o@Yi@k@uAc@Yc@Q[a@?GPo@Ju@@_AJu@|@oANoB`@[`@SVSPa@Ly@Am@Ym@a@[_@i@]M[EMq@CsAOw@Uk@COHoB@}BI{@FuJPw@z@iARo@Lw@?k@SqAQe@[k@Mw@KqBMi@_@i@UQ_@_@Gu@Cy@Rm@`@YhA]^g@Rq@AgGIy@Wm@_@OiAI_@_@_@Ug@?_@a@Wc@e@Q]]Qs@a@S[g@g@eBs@oAg@aB[e@Us@My@Yg@Uo@I{@@i@@[Ru@A{@Uk@g@iCGmAKu@QqBAy@UcBIeAWo@o@g@QSQq@HqBC{D@EHCx@LZ?H}A@{AEa@{@GCEAoCFyB?{BCw@Ck@[k@Iu@CyCWk@mBFWJEnATtBUr@a@Zg@KYi@Mu@[a@aA@u@Iw@Ac@CYe@]]qAFYh@A|@B~@?vBEvB?zDEt@Ul@Kz@@|@Gx@AfAE|@Pv@^ZhAPb@\\Xf@Cz@Vh@f@FVlBZb@Vf@h@rAVb@PLVf@d@rAl@tA~@rCLz@Bv@Cv@CZOf@aAd@YC_@]EYDYa@IQYBBH?A@?CEHSLPRT@bAl@v@A\\Dd@JjAPbADh@FpD?JLP^E@U[ANXr@Zd@JfAn@|@Vh@Tp@bAbCXhA\\\\b@R@f@JXd@@t@lA^LRO`A`A\\Fb@Ab@NZn@J~A@|@C|@A|BKp@EL[b@iAZ]\\Sp@Dx@Pb@|@t@Rr@P|CNv@P^L^Nv@@~@Kz@Up@{@hAOr@Cx@@z@EjBFxCFl@G~CG|@@`@FTXl@Pt@Tl@RVZl@Vn@Zh@Rp@Ht@Kv@Wr@cA~@Up@Ex@Wh@a@^Kp@Cz@[xABt@^XNHn@D@RTh@b@r@CVMTFX^T^AVKPFZAv@Uh@F^Ph@FXAb@Df@AXDf@?z@Id@If@Jd@DbAb@b@Bf@CVId@EpB?v@GnAPTAb@@lACtADFCFy@DiDF}@"",""resource_state"":2}",,,,,everyone,,,,3430467220,3.022,4,88.5,1,159.7,183,,1,57.1,-0.1,1,0,,55
2,"{""id"":5108599,""resource_state"":1}",Morning Yoga,145.4,2896,2896,0,Yoga,,3207306428,garmin_push_4684394156,3428896015,2020-03-22T14:36:16Z,2020-03-22T07:36:16Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,0,0,1,0,"{""id"":""a3207306428"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3428896015,0.05,0.9,57.2,1,81.9,105,,1,,,0,0,,4
