resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":72131472,""resource_state"":1}",Evening Run,6019.3,2074,2074,14.8,Run,0,4568892276,9C38879C-9ACF-434A-BE6F-7EE28E97234B,4881125591,2021-01-05T01:06:36Z,2021-01-04T20:06:36Z,(GMT-05:00) America/Toronto,-18000,"[43.600808,-79.600017]","[43.601124,-79.600544]",,,,43.600808,-79.600017,0,2,0,1,0,"{""id"":""a4568892276"",""summary_polyline"":""_xbiGb{ydNFEP]Lg@F@NSXLHMBMPYFSb@s@L]HMH@l@fAVRt@`@PRLX`@b@Zh@DJFb@?VEb@K\\MLMXk@j@g@fA[~@URGJKDUl@QNMNg@t@OXSNS`@QPOXGF}@rAaAbAMH[Fa@PM@]?a@EWBUJOTa@^E`@Ul@GJMDEHSn@o@rAi@n@Yl@ETi@n@CHHNl@XNLbA`ATLf@f@RVb@v@d@`@p@x@^ZPVN\\bAx@JL@Lw@fAWROXu@`AOZURICKQY]y@s@g@Wq@WOFIFeBfCGTBTFL^P\\d@ZRPVj@b@V^AJYVa@l@KFe@t@O^i@h@Y`AKPWPUVa@~@YZQZcA~Bc@j@Wn@gApA_@p@k@n@k@hAgAzAQb@QRWn@SXWh@UTiBzBIHOXG@OAGGQ[m@u@u@{@}@y@GOUUWg@SWi@o@i@c@WO]u@q@k@[g@e@k@g@e@]i@g@g@s@{@k@k@U[gBeBUMaA_BiAuAS[w@m@]c@QYEU@MLUn@o@pAaB\\YVa@\\WXc@`@]Xa@TSV_@Na@v@w@P]RWL_@NYN_@t@kAL[Z[Xc@JGFAPSXk@Vq@NYX_@j@aAVULa@\\_@`CcEHMHCLM`@m@Vq@Vm@b@c@f@gAb@YR[X{@`BiC\\]t@_BpAuB^c@\\k@h@aAJc@`@o@RQ\\i@L[TUbAwAj@_ATWd@aAhAmBd@g@HEJOb@qAt@qA~AcCN[Zg@f@e@HDNVNb@z@pAPh@N^d@tBVl@p@dAXZFL\\^Tb@\\`@Zn@@VELy@~@[l@[\\u@pAoAbB"",""resource_state"":2}",,,,,everyone,,,,4881125591,2.902,5.6,1,154.8,176,,1,143.4,128.5,0,0,,60
2,"{""id"":72131472,""resource_state"":1}",Sunday slow & steady ,10012,3445,3584,44.5,Run,3,4563303060,06767AF3-3AE0-41ED-A35D-7B2ECBCF0765,4875249907,2021-01-03T21:17:36Z,2021-01-03T16:17:36Z,(GMT-05:00) America/Toronto,-18000,"[43.60094,-79.600271]","[43.600834,-79.600281]",,,,43.60094,-79.600271,0,4,0,1,0,"{""id"":""a4563303060"",""summary_polyline"":""{xbiGv|ydNXELKRg@d@g@NC^_@BW\\_@p@iAZBJJX@PIp@{@z@s@JUl@m@LGFBZUTe@PM~@wAN]\\ALFj@pAXP|@z@~C|D`A|@dBzBlCrCv@tAL?NHFP^XL\\f@TpAhBdCdCb@ZxAjBtDjELHl@p@f@p@z@x@dArAvAdCjBjB|@jA|@v@`@f@DLNHrAxA|@hAj@v@Tj@v@f@b@f@b@v@PJn@n@n@fAn@b@nA`B@Ld@v@~ArA`CfC?RSf@gAbAeAnBa@f@_AhBI@GPGDeAsAYIa@Bc@Nc@^OZ}AlBWv@_@Zi@~@WDw@Io@SmBFK@MPe@r@IHIC_@TsAjFMxAc@z@c@hA@Pi@xCg@nAIb@q@rAIF[~AUv@k@z@a@nA]n@_Ax@Gb@P`A]Ts@n@q@x@g@T]p@g@Ri@l@U^o@dBKBQU[Sq@AKHQr@eA|ACNeApA}@f@sBp@{@z@oAnD?z@Ev@Ur@Ov@w@xBAPDd@Pl@Td@TLJVFnDCx@d@b@LR?J_BaCAOU[wB{BUm@KIi@mAuAeAy@{@q@eAQG_A_AOc@_@_@g@u@Us@[c@ME[k@w@{@UMk@m@IA[]g@{@Si@j@c@bBeC~@mAj@q@n@mAd@q@Da@Xo@|@eAp@eAHW^[pBcCd@]Zg@NGb@c@H[v@H`@]R]IQWMSY]u@_@mC{@oECa@BOScA@o@KgADMMw@G{@AwAESIeBe@eD_@mB_@yAaA{BgAsCKk@aAsC]i@i@o@O]Y[aBsCiA_BOAy@w@g@o@QYaAaAa@q@w@u@mA{AuByBW_@eB}AiAaBmAwA_BgAaB{@IMwAq@{BmB{@sAd@a@^q@\\]P]RUh@iAn@eAp@WFQFGJa@\\k@DWN[b@a@\\}@b@s@VQPWPg@NWPi@Vg@zAwB~@gBn@q@vAiCz@eAj@kAr@y@j@cAHGTVPf@RVJHl@BFNf@|BTb@h@Hr@It@_Aj@gANTLZDhADTl@fA@LA`@KZIz@{@vAOAeA{Aa@YSXUL]`@gAdBMHw@lA[l@At@b@|@d@hALHJA^Ux@mADI?QKA{@nAFRLAPU"",""resource_state"":2}",,,,,everyone,,,,4875249907,2.906,5.3,1,154.9,167,,1,139.8,111.6,0,0,,94
2,"{""id"":72131472,""resource_state"":1}",Cooldown & Core Workout,0,1302,1302,0,Workout,,4556713192,512C0E71-844B-4A47-8F86-CB7DECE2E737.fit,4868295794,2021-01-02T20:15:40Z,2021-01-02T15:15:40Z,(GMT-05:00) America/Toronto,-18000,,,,,,,,0,1,0,1,0,"{""id"":""a4556713192"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,4868295794,0,0,1,137,163,,1,,,0,0,,12
2,"{""id"":72131472,""resource_state"":1}",Afternoon Run,5052.7,1579,1606,16,Run,0,4556688694,B59EA97A-D299-46A6-937E-81DFA30F9AD8,4868269565,2021-01-02T19:47:09Z,2021-01-02T14:47:09Z,(GMT-05:00) America/Toronto,-18000,"[43.601403,-79.601635]","[43.600947,-79.600174]",,,,43.601403,-79.601635,0,3,0,1,0,"{""id"":""a4556688694"",""summary_polyline"":""w{biGfezdN?`@LPU@GNQ@EJIZO`@?h@YEa@j@OFSAM@KLGTKPOEMWOq@Sm@Ik@MCm@^y@~@y@`@SNs@|AY\\g@hAi@t@ODK?}@w@o@u@]Js@d@y@|AUFKGYWc@WWUkAsAg@e@GO]Oq@e@oAcBi@m@k@g@]Sm@y@k@i@Q[sAeAg@UWY}@i@{AwAm@e@]QwAoAYx@Yn@Od@_@j@]v@EVu@zAOEe@]}@e@WSKCQ?KBa@Lc@He@POAIGCUNqBV]l@aAVIHKt@qAFUNsAAe@@OHOHi@COGSGI?QP_@TgA@YAk@BYH_@`AcCz@qC\\y@T_@DORw@LkAFUTc@z@cCd@}@h@eBV[j@sAHMJAbABXAf@SXQL?LLFVJjANL\\?LBXNLLP\\Pb@LN\\Nt@`A\\Rp@t@Tb@FDNC^c@NKJAP@x@R|AP\\HTJ^J\\C\\KPAXXJRLf@FLNET]h@k@fAgBZMLKT[VWR?JH`@h@^FLJRXJ\\LDLZFFRKLPVR~@hAXRr@fA`@\\Vj@DD@CPV`@t@RVh@dA~@nCLf@LZl@B^CNInA}BLGLDLXJj@Ef@@VFNLNb@\\FTUlACZUz@_@j@M^MHIEQQMSY]m@iAGd@a@r@_@z@q@`ASd@q@x@g@\\@VDJNLh@t@Xr@J@FGLa@p@oAN_@FGGRcAfCAQNi@"",""resource_state"":2}",,,,,everyone,,,,4868269565,3.2,5.6,1,163.6,171,,1,140.1,123.9,0,0,,56
2,"{""id"":72131472,""resource_state"":1}",Jog w/ Jane 🏃‍♂️🏃‍♀️,4989.1,2304,2398,16.5,Run,3,4550988204,3E671DA4-F643-4551-8D60-EEE3F0C02EC7,4862259841,2021-01-01T20:58:57Z,2021-01-01T15:58:57Z,(GMT-05:00) America/Toronto,-18000,"[43.600896,-79.600115]","[43.600848,-79.600157]",,,,43.600896,-79.600115,0,3,1,1,0,"{""id"":""a4550988204"",""summary_polyline"":""qxbiGv{ydNOLi@r@QDUPKXEDELGl@EL`@jALTCP[`@ITGBKNCPQLELONCHc@n@IFQAS@AJSb@IHEIAKKOUq@Kc@C[GGOPK@c@XSJ]XADi@Re@\\c@r@_@XILO`@S\\O^EBo@~@K@E?k@o@Ye@YQKSKCIBIJGDQNU`@W\\AHOZ]VEJa@[c@Og@a@q@y@MGUc@OSe@i@IIIAe@e@Qc@ECMWSUGC{@m@EMQQKUQO]UOWIKQKKCg@a@e@[MQg@_@EGEMGGOGQSi@]IKWO_Aw@MQq@c@_@c@u@i@ICWj@Qp@QRWh@ODMd@e@j@Gd@ELGDUt@IDs@_@[]g@O]SI?QHi@Ju@BKDGAS@GGNq@?[H[DC^i@LYJIFCR]`@Y\\a@BKTw@DY@Q?q@Jc@GeACKHo@Ni@NwAFOFi@Nc@DE@Ul@{AF_@HM@KTk@BSLOPo@PSXCHI@QA[EQDw@Ni@FGb@oANUXw@JQ`@iAJa@HaA`@i@DI?KDK?ER[LCbAHHCN?l@ULKLAD@LVAHDB@VLFHJF@TJZVZLJPXZ`@XLVf@p@PDFNLLNXLNTRVJNXXBFGNEFMRELDJCH@LD^@RDf@DBCL?HBHH`@BFCTDJEN@NId@CPFDFJ@JFFJHBB?LBTVLBTIf@e@LUHW\\GROLWFCHKP_@JKLHTTXHBFNJ`@RLBT`@h@n@LHh@n@\\PJXFBNVNFJT`@j@NJ?BLDp@rAF@HH~@jAH\\LNTr@Ht@FRLXNr@DH?JJTJFNV|@~@BPTX\\n@VZLAHIPGT]VoABk@GUOMQg@Ke@?k@Sg@OSKAe@x@SNe@d@[Ba@IO@KDAZ@NHTx@xACXSr@Ub@IH]r@WZQ\\e@l@a@x@Ed@Bn@DL\\z@HLPJPALGj@y@"",""resource_state"":2}",,,,,everyone,,,,4862259841,2.165,4.1,1,121.7,170,,1,140.1,123.9,0,1,,11
2,"{""id"":72131472,""resource_state"":1}","Take That, 2020!",10056.9,3150,3150,43.7,Run,0,4546038323,79C59650-1598-4B86-A77B-E8A12E2A685C,4857000624,2020-12-31T19:01:33Z,2020-12-31T14:01:33Z,(GMT-05:00) America/Toronto,-18000,"[43.601089,-79.599931]","[43.600838,-79.60014]",,,,43.601089,-79.599931,7,5,1,1,0,"{""id"":""a4546038323"",""summary_polyline"":""wybiGrzydNlCWFkACL^k@C[T?LKPc@\\[T@`@VN@\\K~@eBx@g@X]XAz@mAfAuBJGT@VXn@dAx@l@T`@l@^LT`BjBfBxB^l@tAnApAhB`A`AXd@z@p@d@t@h@d@r@~@`Az@hC`DnAhAnAdBvBvBZl@f@l@v@p@bApAt@vA^h@p@d@v@bAh@d@hAvA`@Vn@p@xBxCh@b@z@dAZp@j@v@XTbAbAfBvBh@x@ZVf@|@x@~@`@n@hAfAVh@Et@Id@k@h@kAnCo@`A_@\\Uj@W\\QIc@m@c@YWEk@Rc@Xs@pAIFaCvDYZ]BiCSy@B]JOLSd@M?e@ZQ\\W~@QhA]vAQ~Ay@vAER?f@Sn@Kt@[rAaBfDg@nB_@x@]nA[r@_@j@QJ]DQVDh@L\\{@p@aAjA_@Fy@TMl@aA~Ai@tAQVM?{@c@}@FGH?\\Eb@q@bASl@s@hA_An@]DmA\\}@h@WXGl@Yr@k@`AEV@VPhAAHUr@ORWz@OlABl@H\\f@VVb@DRFf@I`AEfBh@xAQB{@}@g@s@]y@YOu@aAWQwAsBwAuA[c@Ke@KSaBuA}AaCg@i@_@{@QMOa@yBmB_AkAGa@lA}ANYtBiDf@a@jBeDFa@m@w@BQx@s@xBiD|@eAbAs@dA}@R[LW^H`@ELKVo@?MEKc@Kc@_@Ow@Uo@McAO_@QyBM_@Mu@Wo@AMDuCGa@GM?g@Ke@F{@Mk@AgAKkBQyAW]Is@s@oBs@yAk@_Ce@w@Oy@e@sAsAeBy@wAcA{Ak@kA]]Og@]IO]{CmCWi@oAcAq@uA{@y@M[oAiAc@q@o@k@gA}@Wc@e@[q@{@uAcAmB}@_@e@YKiAy@_B}AS[Ka@CSxCuENi@vByCv@}AnAuA`@eAr@s@`A{Bt@aAL]`AeBl@o@lAqBVWXs@h@{@f@q@\\q@X[r@}A\\KLJPd@r@nATXXz@JbA`@f@j@@`@IP]zAgBLJV|@@XAt@b@h@L^Dn@SzASf@m@t@ID]Ku@qAe@g@]H_@bAeBdDUXk@lAA\\DL`@t@VXLXLJXUj@_A"",""resource_state"":2}",,,,,everyone,,,,4857000624,3.193,4.7,1,168,184,,1,139.2,111.6,4,0,,143
2,"{""id"":72131472,""resource_state"":1}",Rainy Afternoon Run,4902.1,1396,1468,16.1,Run,0,4541050298,7AC119F3-F2B4-439F-92EF-C4CB880EC4E5,4851688471,2020-12-30T19:59:16Z,2020-12-30T14:59:16Z,(GMT-05:00) America/Toronto,-18000,"[43.602083,-79.601789]","[43.600866,-79.60023]",,,,43.602083,-79.601789,5,3,0,1,0,"{""id"":""a4541050298"",""summary_polyline"":""_`ciGdfzdNfBmAn@FFr@Sb@KHu@hAUVe@~@KHSAMBSn@MHQKu@iCMSg@XmArAm@HONOTGPe@dA{@nAWXU^SRSCk@_@Uc@i@o@MOKAOJOj@Ud@]dAIJ_@PSQk@]{@u@m@}@m@e@q@{@kAiAs@aAy@y@i@w@i@g@a@YYGW_@w@k@y@c@y@y@iAw@s@s@uCcCG?WnAi@dAe@lAOPIRW`@Sv@QFa@SSEk@[i@g@QGe@B[Li@HUNO@IAK[J}AH_@~@sAVUR_@d@a@HW`@oB?mAE}@B_@f@iADUGgB\\i@ToAFORUHi@TSTg@V]JWDOC]BSVa@HcARcAVa@l@iB^q@Jg@HU|@mBJi@Le@FMNOPGf@LrAMb@]NAJPN|@NNZPVFpApAVTX\\XVlBnC\\Zn@g@PG\\Ej@Hh@P^Bv@CZJn@HJANGJOJEJ?RDTRRRPNHNHFn@aALMHE^k@TCNMJ]DYHMHGR?LHj@r@p@j@j@~@v@r@d@Vj@f@^l@XTFDp@t@RZ`@z@L`@f@f@n@bAf@bBd@hAJBPA`@FREVWR]Pe@Jc@LQNBTXFPB\\BjARb@VZFLBZATMdAMh@c@v@_@d@M@QQ_AwBIIKCMLUd@YXORUd@W^]t@cAfBKRAPDTDLZ^`@v@LLL@TI^u@"",""resource_state"":2}",,,,,everyone,,,,4851688471,3.512,5.7,1,174.5,191,,1,140.1,123.9,0,0,,75
2,"{""id"":72131472,""resource_state"":1}",Sun Run 🏃‍♂️☀️,6120.1,1950,1990,24.9,Run,0,4535874333,A23CEF91-3953-446D-9C0A-A085CB251F88,4846201685,2020-12-29T18:43:57Z,2020-12-29T13:43:57Z,(GMT-05:00) America/Toronto,-18000,"[43.601108,-79.600388]","[43.600847,-79.600299]",,,,43.601108,-79.600388,0,2,0,1,0,"{""id"":""a4535874333"",""summary_polyline"":""{ybiGl}ydNA~@q@MC@I~@Of@d@r@FR?XCPU`@c@h@O\\MJa@|@STk@@i@|@MQ[iASc@Ka@KCYVYLUTQXUPw@Zc@z@a@b@EJMf@Yv@a@d@EJKLKBQG{AeBa@YOAMH[`Ac@v@KP_@\\QCeAs@oAiAW]k@c@i@w@c@e@Ua@[WMQ][]_@]YeAmAk@m@mAm@s@u@QMoAaA[QmAgAcBkA_AcAUd@c@tAINKDU^q@dBOj@U\\Q@[OaAu@g@SQ@]P[D[Aa@HYAKO@}@EQAYT_@ZSj@aANQZSLO`@i@HWLaAL[G[Hu@Ag@O_@Hc@N_@RkA@UAe@BY`@aALa@Ra@RmA~@_BRa@Ns@H}AjBkFfAqBHSRqAL_@\\e@H?j@Hd@St@K^UXGP?NLDPJvAFHn@PVL|CrDXh@^VFJXVND\\]LIPClAD^H\\BXHnAT`@?RGTSLAXL\\^\\HX^HAJOTq@^GHIj@oAZ]P[LCTHf@l@b@Vb@f@d@ZLBNNR`@RZh@VT\\b@X^d@r@~A\\`@Pp@HJPHfAxAb@|BVr@FDZCj@FJEFEP]RW\\k@L_@NAHJLVHb@DrAHTJFPFNRDN?ZM|@Sz@w@bAE@OI[Km@e@i@y@M@Sj@_ApAa@bAKb@GNc@X]n@K^?TF\\l@nAJLBJe@bAKd@BPRTXr@ATm@~@u@pASVENSZID]CKLENOZ@NPRPdAj@nAJJHBT?RDN?d@KLGf@e@~@o@v@aAVm@BQCUi@c@Q]UYSa@EOBYDMLQ^]h@m@r@yAf@i@j@{@v@_B`@k@Xk@?MKQ]a@k@c@a@g@KCMBGFg@bA_@d@k@jA]|@a@d@"",""resource_state"":2}",,,,,everyone,,,,4846201685,3.138,5.5,1,161.5,174,,1,140.1,123,0,0,,67
2,"{""id"":72131472,""resource_state"":1}",Afternoon Run,10041,3345,3376,43.7,Run,0,4531090161,58188E71-7836-477E-871D-F385E6CCE9C8,4841143546,2020-12-28T18:56:30Z,2020-12-28T13:56:30Z,(GMT-05:00) America/Toronto,-18000,"[43.600232,-79.59928]","[43.600783,-79.60011]",,,,43.600232,-79.59928,3,5,0,1,0,"{""id"":""a4531090161"",""summary_polyline"":""mtbiGnvydNTk@\\PVq@RCf@VPERQn@kA~AgBHE^BLMnAeCh@s@^Fx@|@b@t@`B|Ad@r@d@`@Vf@f@`@|BtCVX^JbEvFXDNLR`@HZ\\Jb@p@h@r@nAvAt@l@dBjBfBdCbA~@n@\\v@vAnAlA~@hAZTh@v@Rb@hAjAZTh@~@vArAj@x@dAhAj@\\Zn@p@p@P^pA~AZTl@n@jAhB^b@^TnC|CHPbAxAjAtAh@vA@d@EV_@^g@dAg@j@k@pA]f@M^{@tAa@e@g@{@UKS@}@j@OPM`@q@x@y@lBoArAWJYA_AUg@IkAJq@Z]d@q@R_@|@Iv@e@rBElAeA|CGb@OVKt@S^Ml@?PI\\M\\}@vAYz@]`B_@f@s@tBaAtAYPCHH^LR@PGJe@f@[Jk@^uAlAWh@kAhAi@zAKJIFcA]w@RMPAZm@h@w@rBs@z@q@f@iBTiArA[pA_@h@U~@ATLj@?P[p@KbA]fBNv@h@fA?\\H`@LjBDbCBFN?FN]Gu@aAo@i@WIKSYU]aAa@a@g@mAs@_AgAiAcB{AcAeAQ]Ss@kAmAK]y@iAGa@_@Q[WWa@g@]aAwAAQ`AkAf@y@f@eA`@[dAwAN_@fAkBAUg@k@?QRa@nA{A^}@z@aAJShAcA|BgCP[PGp@FXKN]@Gc@Qe@_AKa@UaBw@eBCk@UyBDi@O}@D}@?{AMs@Cw@WuA@}@Mc@SYEoAMc@?y@[s@Ie@g@y@Y{A_AsB[}@Ma@O{@Q[Kc@q@q@{@gAc@cAa@g@k@sA[UkAyAOg@m@_@g@{@q@k@gBkBcByBi@]cCuC[U]i@aAy@Yg@w@w@MYaB{@w@Wy@u@iBcAoBeBq@eABQfByB`@{@`AsA~AwCp@{@Vs@lDoFXm@pBeDb@_A^a@Vq@|AoBN]z@iAtAyB\\q@`@c@X\\ZN`@j@THRPFdA^|@Pz@t@Dh@M\\u@f@i@Ri@DGJFTh@DV@vADRh@d@DJG`CGd@{@nAOJ_@OUUi@_BYKYNk@pAm@|@Ov@g@\\KNOf@QTMz@zAlB`@En@mA"",""resource_state"":2}",,,,,everyone,,,,4841143546,3.002,6.8,1,161.4,174,,1,139.2,111.6,3,0,,111
2,"{""id"":72131472,""resource_state"":1}",“My stomach is full of Brie cheese” Run,8494,2998,3037,28.2,Run,3,4527163569,71FA465B-0335-4C41-8C80-47646EA31875,4836973190,2020-12-27T21:55:08Z,2020-12-27T16:55:08Z,(GMT-05:00) America/Toronto,-18000,"[43.601425,-79.600729]","[43.600863,-79.600289]",,,,43.601425,-79.600729,0,4,0,1,0,"{""id"":""a4527163569"",""summary_polyline"":""{{biGp_zdNDFKPHd@SABPRRHVLd@ATGLWD?TQf@O^e@t@e@dAKDWMOFQb@IFOAIKYu@a@wAGAo@`@UTIDW\\cAx@i@r@o@lAi@p@g@r@QFQA[QyAgBOCKDWVUb@STUx@OTIJM@aBeAa@[{@iAYi@aAq@UUYi@_@g@mAwAe@]{@y@u@_@uB}BOGUSaAm@gA}@USyAcAcAaAY~AMVOf@k@~@WXYf@IXWNOR{@k@mAe@OCYH_@VYCa@BWEUKCGD{@Cc@BIz@cATc@b@[`@g@\\_@Lm@@_@Hc@Cq@FOLGDMOYMIEIp@cDBc@Nq@Xm@H_@P_@Ry@H_@d@uAZs@Ls@Nk@PaAN]Ly@fAsBXm@h@aBHq@Le@v@wA^JZBtA[VKXEd@z@Jt@VRXBTHPXTTZf@`@\\Xb@b@^XNRX^\\PZJ@d@e@VOj@JTLTAd@RnABHBLNHBl@Ah@SN@LLPX^hANDLIRYTKpA{BPWN[`@k@FCPBNFZh@RRr@d@nA`B|@r@NXj@n@RLr@|@TLJJ@REPYJc@t@EL@HG\\SV[TWZGPw@v@W`@g@d@i@xAKf@APu@x@uApBs@rBm@t@MXMN]LMPSb@Uv@OLQ^y@x@Q^}@rACNO\\u@`Ac@bAmAzAcAdBOAsAeBo@cAUQgBkBg@Wa@a@{AoAaAg@sBkBi@k@q@a@mAkA[SANGJU~@Q^YZKb@O^GHc@pAUXEPIDwAm@a@[U]YAg@Ve@B_@CUDKCUU@UH]D}@HQn@k@PUd@YZe@`@y@Ju@Ni@HGXCFCH]AcAO]MkA@a@Ek@N}@Xu@Jo@Pc@F_@Xc@Lu@VYFc@JS\\g@RaBb@qAP[D_@P[La@NWPg@XaARg@d@cBT]TYNc@LGXJb@Fl@SX?\\STCHBNNN\\BVAf@DLHFn@NhBfBXh@\\NTTTVTd@LL`@HRLDATSVMp@Al@NfAHj@\\`@@j@M`@ARJJLPj@R^JHL@FET[ZUb@m@xA{CNMHAPHn@r@x@^f@b@x@pAjAx@fAdAd@~@Zb@LHf@z@l@t@Xf@Dd@@v@FZ^pAH^PVLd@t@|@N\\VPJNtA|B@LCTcAnAcApBSV]l@GHK?"",""resource_state"":2}",,,,,everyone,,,,4836973190,2.833,5.9,1,151.3,162,,1,140.1,123.4,0,0,,72
