resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":23132727,""resource_state"":1}",Pacing,1659.3,437,437,19,Run,0,4498225934,garmin_push_5982852357,4806334736,2020-12-20T22:09:56Z,2020-12-20T17:09:56Z,(GMT-05:00) America/Toronto,-18000,"[43.102957,-79.089096]","[43.102891,-79.089139]",,,Canada,43.102957,-79.089096,1,6,0,1,0,"{""id"":""a4498225934"",""summary_polyline"":""mpafGzavaNf@IZUJWD]C]IWUWQGMAgC?k@DQF]t@Ch@@FTf@XNdEEJETUL]B[Gc@GQUUa@GwBJs@@_@PUh@?t@@FPZ\\LB@`CKr@?^KJILg@BQASEQKUKKYMk@DeCFg@NYf@A`@Lj@b@Zj@?pCI`@IDERe@@q@Qe@e@Yo@A_CFe@NYb@Gj@Lh@^^nAHhBA"",""resource_state"":2}",,,,,everyone,,g6924581,,4806334736,3.797,5,83.4,17,1,140.2,160,,1,211.8,191.8,0,0,,3
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,1617,324,324,17,Run,,4498079347,garmin_push_5982715757,4806180717,2020-12-20T21:27:31Z,2020-12-20T16:27:31Z,(GMT-05:00) America/Toronto,-18000,"[43.102903,-79.089082]","[43.102824,-79.089033]",,,Canada,43.102903,-79.089082,8,6,2,1,0,"{""id"":""a4498079347"",""summary_polyline"":""cpafGxavaNR?PMRc@Ba@C[M[QMqA?gBJa@FSNGZAZF\\LTRLh@HZ?fCKPITYFWB[AKKc@SWGC[AaADiBPWNOLIPCRBRJ^RRNF`@@fAGZ?bAKPGLMHQDW?WGa@IQMMOGQAoDVWHMLINGT?h@DRHNLJNFV?xDUTOJODU@UAUOc@KMOGQ?QBcAHwADM@IBQPIPGR?d@DRBHXXZ@p@AtBQ"",""resource_state"":2}",,,,,everyone,,g3829380,,4806180717,4.991,7.4,92.8,16,1,141.5,159,,1,205.4,164,2,0,,3
2,"{""id"":23132727,""resource_state"":1}",Treadmill Run,9004.3,2416,2416,0,Run,0,4484955224,garmin_push_5969468429,4792321415,2020-12-17T21:20:56Z,2020-12-17T16:20:56Z,(GMT-05:00) America/Toronto,-18000,,,,,Canada,,,0,3,0,1,0,"{""id"":""a4484955224"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,g6924581,,4792321415,3.727,3.9,82.9,27,1,162.8,182,,1,,,0,0,,67
2,"{""id"":23132727,""resource_state"":1}",Treadmill Run,5009.7,1166,1166,0,Run,0,4477361273,garmin_push_5961586683,4784318408,2020-12-15T23:26:56Z,2020-12-15T18:26:56Z,(GMT-05:00) America/Toronto,-18000,,,,,Canada,,,0,1,0,1,0,"{""id"":""a4477361273"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,g6924581,,4784318408,4.296,4.7,85.8,26,1,159.9,186,,1,,,0,0,,28
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,8612.4,2435,2435,18,Run,0,4459880154,garmin_push_5943691072,4765886553,2020-12-11T21:45:58Z,2020-12-11T16:45:58Z,(GMT-05:00) America/Toronto,-18000,"[43.210034,-79.598501]","[43.210956,-79.598131]",,,Canada,43.210034,-79.598501,0,4,0,1,0,"{""id"":""a4459880154"",""summary_polyline"":""umvfGtqydNAv@]hDYpBGr@Qz@SbBM`BQlAOp@w@~FgAjHu@nGSz@aD|U_@dDYrB[tCo@fE[vCe@zCG~Ac@zC_@tC]dC{@bFEn@SdBUnA{@fGOv@_@fCK`Au@zF[hBg@bEUrAaA~Gg@lCOvAKd@Gr@WhAGr@[~@EVc@|Da@rBMlAk@hDOvAMPE?iDy@k@YQCUOg@Mc@WUAmAi@YIoB_@oAc@}@i@M}@Si@_@]e@?_@Va@j@E@MC_@FQDeBk@qBw@y@Sm@S}@UkAg@_Co@_Bm@KBWdAEbA?ZGx@S~@m@dFI^?VB@nANf@HzC|@h@JzBv@~@VnBn@h@T|@Tv@Xr@PNCHo@Vw@@i@Jq@Fs@PiAP{AHWbAa@Ze@Lg@DCHC~@d@p@RbAb@h@P`KxCd@Rl@PHADKFmAt@oGRu@Hc@Z}BV_Cf@uD\\oBR_AJo@PgBtA_KHaA^mBFy@l@kDNkAVmAn@wEXeC^yBRkB\\yBn@eF\\eBFq@TiAn@cEJmB`@yC@[XiBPkBZuBNyAx@uEDKLeAVyAjBmOx@uFFk@ZqADq@d@kDPiBb@eDRmANiACo@[]kCw@o@YqAUoAg@KEGM@[Hm@Rg@bBwBf@u@Rk@z@yA\\{@`@s@^_AV[HC"",""resource_state"":2}",,,,,everyone,,g6924581,,4765886553,3.537,4.1,80.2,27,1,156.9,177,,1,91.6,72.4,0,0,,54
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,8627.3,2201,2201,32,Run,0,4456217535,garmin_push_5939882963,4762022226,2020-12-10T21:57:00Z,2020-12-10T16:57:00Z,(GMT-05:00) America/Toronto,-18000,"[43.210129,-79.598567]","[43.210957,-79.598105]",,,Canada,43.210129,-79.598567,0,5,1,1,0,"{""id"":""a4456217535"",""summary_polyline"":""gnvfG`rydNHDBJGfBSv@GtBE^UvAIROl@IfAE`A]vBIt@u@dF[vAOfAQlB{AvJw@hGq@rEg@fEq@`FUpAOnAgA`IMnAo@pEg@lE_@xBQtACdASjBYhBYbCkAjIs@dE}@lH_CrOe@`EOt@WvB_@`CIv@g@nDIbAYfAO|@MjASh@QhAWnAYdCYvAEB_@AUAOGWWiAc@kDeAiBq@e@M_@Aa@KcBk@y@e@OQG{@O_@IMOMMCk@Bc@ZY`@]GkACG@]CgAe@{@Us@WmBk@u@Y{Bm@_Bm@e@SCBELYdBcAhHGr@SnA@FHHh@Hf@Lh@Hz@Xd@J~@`@rAXdBj@vBf@lFfBZA@k@E{@D_AJy@P_Ad@y@RwAHOZE`@QVo@DQLOh@L^RxAj@fD`AhBv@RFj@DTF`DfARDBCDMF_Af@aDNkA\\_BdBcNt@cEPmBf@_Ef@oCd@iEVyANq@VaC`A_G`@mD`@{B^_D^_CZ}BTiADy@n@kEp@{FTkAHm@h@iCJwAd@_EPeANgBZiBP_Bv@}EnAwJr@uERyBp@gFv@{EJkARqAF}@PiBI]YOsDy@mDuAKKCQLs@tAaCt@_At@cBn@}@n@{AT[Pm@Zc@JE"",""resource_state"":2}",,,,,everyone,,g6924581,,4762022226,3.92,4.7,81.9,22,1,167,192,,1,103.6,69.8,0,0,,70
2,"{""id"":23132727,""resource_state"":1}",Treadmill Run,9701.6,2402,2402,0,Run,0,4443623233,garmin_push_5926948803,4748810128,2020-12-07T22:21:02Z,2020-12-07T17:21:02Z,(GMT-05:00) America/Toronto,-18000,,,,,Canada,,,0,3,0,1,0,"{""id"":""a4443623233"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,g3829380,,4748810128,4.039,4.3,83.5,26,1,166.3,180,,1,,,0,0,,73
2,"{""id"":23132727,""resource_state"":1}",Treadmill Run,9311.7,2402,2402,0,Run,0,4376993243,garmin_push_5860174296,4678278327,2020-11-22T18:59:24Z,2020-11-22T13:59:24Z,(GMT-05:00) America/Toronto,-18000,,,,,Canada,,,0,7,1,1,0,"{""id"":""a4376993243"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,g6507135,,4678278327,3.877,4.1,83,27,1,168.4,187,,1,,,0,0,,82
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,5013.1,1116,1134,38,Run,0,4299005065,garmin_push_5783383179,4595669833,2020-11-06T22:09:47Z,2020-11-06T17:09:47Z,(GMT-05:00) America/Toronto,-18000,"[43.209854,-79.598212]","[43.212326,-79.60894]",,,Canada,43.209854,-79.598212,4,6,2,1,0,"{""id"":""a4299005065"",""summary_polyline"":""qlvfGzoydNHm@AQIqD?kAK{AAq@@IHQZUREh@AzCH`AMbAEd@AhB@|AI~AAjAUL@`BKdBEf@?JBd@ELGCB?OFm@`@IpA@n@BrAWVC~A@|@FpBb@d@Ht@Zf@H|@^h@Nb@X`@R|@Zb@Np@Lv@Vz@`@v@V\\Fj@\\tBf@zBx@JHh@Nz@Tl@\\t@Zh@L`@b@p@NR^\\\\@JCh@KjAa@rCSlBWtCGtAKd@i@vEUlCq@`C_@t@mBfBwAtBeEpEqAfBg@b@oB~BkAxAmCbCU`@y@fBe@v@m@|AaAtBU\\Yr@OTy@jBcBfDWn@uClGsAnC[pAMLYHc@Io@YcC{@yCy@qDmAw@ScCy@oBk@mDuAkHaC{B{@q@e@sC}@c@QKOIWEY@YLw@`@uDHa@b@uDP}@"",""resource_state"":2}",,,,,everyone,,g6924581,,4595669833,4.492,6.1,87.5,22,1,160.5,197,,1,102.2,77.2,1,0,,28
2,"{""id"":23132727,""resource_state"":1}",McNeilly Climb,17328.7,4436,4436,158,Run,0,4238383750,garmin_push_5722647354,4534179971,2020-10-24T17:20:25Z,2020-10-24T13:20:25Z,(GMT-05:00) America/Toronto,-14400,"[43.210241,-79.599305]","[43.21022,-79.599531]",,,Canada,43.210241,-79.599305,3,5,1,1,0,"{""id"":""a4238383750"",""summary_polyline"":""_ovfGtvydNWhAOnBCx@m@fFa@bEStAEn@YnCg@~D{@lFOhAEr@WrAEf@W~AOzAm@|DI^IbAKp@Gr@QlAKfAMt@APBx@NVxA\\x@LjBl@fDz@`DrArDdATPhCn@fCdAn@RbATfCz@j@Z~Al@rCz@d@\\t@VBLYrCw@hFg@lC{@rGGTMhAi@rC[pCgBnMM~B?|@LhG?zEHpD?bAE\\Ar@?|BCb@MnCIjADb@Br@g@bE]pBm@tFCj@c@dEInCIt@Cp@M|EKlCQzBM`E@~BP|ALfEPnET|LGxBQtCMtFk@|IKr@a@~EW|BIbBIr@Ct@Q`BMv@cA`JGRM~AaBlOQ|Bq@hGI^Ej@GjBAvAZrDBn@Jt@J~Bv@lL`@dH`@rDPz@T~BJn@JXLn@PxAd@xCb@pD`@~BRv@VNhA\\b@B|@Rb@T|@\\xA\\`E`Bx@RPCLKRWZgAJQtAiAv@cAf@g@t@g@N@JDJTFrAHf@@ZHp@DrA?RG\\?h@S|DCLAnAEz@?d@LZTCJQ@KIoAHo@T}@^]z@EP@b@T^DTJz@PdDlAf@HlAf@fAVtAj@|Bh@HALWHuBRkDXgBPwB`@eDX_ED_Ad@oFz@iH\\eDVgDTsB\\}BL{AVsBVsAX_ATeBj@sCX{BFOL_AZiAp@kEP{@t@oFN{@n@aGHa@ZoCJc@TgCf@cDLeBRcBJk@ToBPeAXmCp@eDH}@l@cE`AwHX{AF_AVsBAYc@SuD_Aa@]c@UsCu@g@GO@a@TYVa@b@iBdCu@z@UFECCEAKFgAZyBDuCAkBNyAGu@?m@AIe@wAa@[_@i@UMy@y@_Au@cDmDe@Yg@Ba@\\GLw@vCSdBKX{@~Ac@f@MF_@?g@Wg@MYOqBu@kAYeBs@cCu@mLcDgHwBsAYsFiB_@[Mu@C{@?cDH_BNoAHwCBaCNeDJoAGqAL{C^gBNuAJg@HgA`@}BBy@EeABs@PqAHaCRy@RsBFsAEsBDoBMsIBmDAiAHcGPgBb@mBd@cFXaANkBd@qCX}BP{@VsBNq@JaAV_AJcAVgARoAVuC?e@}Bk@kC{@o@_@wGsBaC}@gAYsDoA_Bs@gA_@kAYiEyAwAo@{@UeCiAAIC{@F{@Cm@Ba@d@_DXgCTqAv@sF^wB`@gD`@}DL_AT{@dAaIH}@xAyJNyAPaARqB"",""resource_state"":2}",,,,,everyone,,g6924581,,4534179971,3.906,5.6,83.9,19,1,170.2,191,,1,211.8,79.8,1,0,,160
