resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":23132727,""resource_state"":1}",Lunch Run,13835.4,4216,4248,143.4,Run,0,3467957299,c091ecec3a66013ba58d6daa9139451f9883d9f7.tcx,3703792492,2020-05-17T15:53:00Z,2020-05-17T11:53:00Z,(GMT-05:00) America/Toronto,-14400,"[43.210152,-79.599817]","[43.210121,-79.598486]",,,Canada,43.210152,-79.599817,7,3,0,2,0,"{""id"":""a3467957299"",""summary_polyline"":""mnvfGzyydNEt@K~@g@|Ck@hEq@rDYxCWnAyBdPo@zDg@bFsA~I[vC@f@FLJFpDbArBv@`VfIpDdAzE~AvDjAVLVRXVFPC`@a@~Bq@hFsAvJo@xDMvAYxA_@jDc@lCg@bEGxAE`B@|BJ~C@jACpB@hEGjC?rAOdCAr@?`@Hz@a@|DWzAIbAe@zDu@dJ[zCCdEUjEQvBKnDMrB?p@BVFTNXZRpA^|@P~@^zA`@`Bx@h@Df@JdBj@zDdAtGnBdAV~@^fCv@vA\\|Ad@tAVT?TGPQVa@~@sBj@cCPe@Ta@X]TQTCPDPFTPxBhCjAz@hAjAp@h@VZXh@N\\Tn@Fd@@j@Ct@IjA?r@Ev@@jAGp@YrBSv@?XFNHFPAX{@^i@p@o@RUrAwA^SXGX?XFpAb@jBd@nBn@v@Px@TTJH@HGHUd@eEb@yBJyATmBp@kEZsCTmAPiBd@}Cj@uFBuEEoB?uCCy@CcIImHBqACw@?mACeB?eBC}@@eBCgCAyKDeD?eIFaDFsJHiFDsAHeAf@cDj@sF`@_D^wBt@sFlA{Gl@wC^mC`AiGPyA@w@AqFBcGIyIBsFC_E@}AA}BGyAEyKEk@KOyBw@kCmAuF}Bq@a@e@m@O[_@gAMYU]s@s@Yk@Os@YaBy@aDO_@o@eA_@gAcAeE]aBe@}Ac@}BqBqFSw@IMGCMBKJGTE`@EjBI`BApAGvBQbD]vKOvBGfAERG?}@]uAa@kFgBuDkAiIyCiEwAw@]{Ac@sBq@i@Oc@G}AKq@A_@B}@PkDAkAJKDGv@ABIB{A?iBLwANgC@cDL{ABc@D}@NQ?_AMi@?uAXMJC`@J~CCpCGvAIh@s@`A"",""resource_state"":2}",,,,,everyone,,g3915267,,3703792492,3.282,5.9,1,148.5,180,,1,205.8,80.5,1,0,,49
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,8003.4,2064,2064,6.8,Run,0,3436351237,adb567bab16a2266bfbcdbc39c4b0cac0cfcb63d.tcx,3670595694,2020-05-11T20:17:18Z,2020-05-11T16:17:18Z,(GMT-05:00) America/Toronto,-14400,"[43.211172,-79.598303]","[43.21099,-79.598086]",,,Canada,43.211172,-79.598303,1,3,0,1,0,"{""id"":""a3436351237"",""summary_polyline"":""ytvfGlpydNY~@a@|@c@z@iAnB]x@y@bAw@nAQh@Eb@FRTPjGjBfA`@PJNNFV@\\Ef@s@tD{@vFgAnIMlAUtAm@bFwAdK_@hDo@zDiA`J[jBg@vDShCo@bFa@`CoBlOc@|Bm@fFmArHc@jDUdAGh@QdA{@bIkAnHcAfIq@|CYbAYrBy@rEINQ?a@K}DsAKC]?MCm@[_C{@}C{@_A]MICGC{@IWQYYOYE[FSLa@`@KDM@_AGc@MsAo@gBc@_Bi@GG?GBEF?`@TnBr@pDjAdARR?\\k@ZQ^E`@FZRRZH`@?n@FLJHxElAnDlApA\\tDpAP@FMt@qFl@}C`@kCh@kCLiAN}@VyC`@iCPgBl@gE^wB`@gDn@uDp@mFl@uD\\aDTsA~@aHb@qCdBmMVgCnB}Md@iEb@mC\\yC~I}p@@UASEQKMKGw@Q_A]uA]mC_AQSCSBUJa@Vm@lBqCtByDdA_CR]NQ"",""resource_state"":2}",,,,,everyone,,g3915267,,3670595694,3.878,6.6,1,158.8,170,,1,81.7,77.2,0,0,,49
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,8000.9,2172,2172,6.9,Run,,3426566390,caac4b158d1e1e452ec1a321f26637ba6310ab0f.tcx,3660271289,2020-05-09T19:31:59Z,2020-05-09T15:31:59Z,(GMT-05:00) America/Toronto,-14400,"[43.211173,-79.598324]","[43.211117,-79.598147]",,,Canada,43.211173,-79.598324,0,3,0,1,0,"{""id"":""a3426566390"",""summary_polyline"":""ytvfGppydNIJ]`AyC`G[f@{@hAYd@Ut@EZ?PFTPJfCr@t@`@fA\\j@ZXDPHNNFV@NCXg@dDaEfZa@bDeDpVc@rDSpAOtAY~AGt@O`AAz@Eb@}F|a@m@nDWlBUjAMpAcCfQo@fFa@bCaBhLc@`Ce@tBqA`IGJIBkA]wAi@qA[aDaAaBk@_Be@yAi@KKAGIaACOKUWOa@E]DSJc@h@KBE?YMm@SMAa@@SAeA]cAS}B}@IGAKBAF@n@`@lA\\fCz@zBf@XBRCHIZ_@PI\\CRBXNZ^JVHv@FJJHvEnAfAb@|Bt@xA\\nAf@t@P\\LD?FIFYLoAN}@z@{EvA{KpAeI`@iD|BkPt@oE`@kDzBiOjBgNXeBV_Cv@oFRaCb@iDh@{CP{Ad@qC`@eDj@}DN}A\\iBPaBxAyKP_Bh@uDb@cCj@gFFoAEUKQWMmDaAcAa@gA[SMOSESBSH]Xm@vAqBnBsDnBkE"",""resource_state"":2}",,,,,everyone,,g3829380,,3660271289,3.684,6.8,1,157.1,172,,1,81.7,77.2,0,0,,50
2,"{""id"":23132727,""resource_state"":1}",#IRunWithMaud,3599.8,821,821,0,Run,0,3420793194,383a895be9414d85fe602e214100eee991f66d68.tcx,3654191712,2020-05-08T20:13:22Z,2020-05-08T16:13:22Z,(GMT-05:00) America/Toronto,-14400,"[43.210185,-79.59941]","[43.21027,-79.59974]",,,Canada,43.210185,-79.59941,1,4,0,1,0,"{""id"":""a3420793194"",""summary_polyline"":""snvfGjwydNc@xC]hCy@vFe@nEq@~Em@~D}@hHY`BaDtVaB`L_BxLQtASvCw@pFw@rGkAjHIXGJA??QDYVgApAyIh@iEj@wDx@uHbAqGz@gGPoBb@oDz@uF`@{D|@sFd@aE^gCJeANu@fAeI`@eDb@oEN_Ah@}Bd@iE"",""resource_state"":2}",,,,,everyone,,g3829380,,3654191712,4.385,7,1,162.7,191,,1,81.7,80.4,0,0,,22
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,10280.1,2806,2825,10,Run,0,3418400929,03308f0688787408a5eb8e66158b3cebd327cabb.tcx,3651654639,2020-05-07T19:54:47Z,2020-05-07T15:54:47Z,(GMT-05:00) America/Toronto,-14400,"[43.210181,-79.598994]","[43.210191,-79.599638]",,,Canada,43.210181,-79.598994,1,3,0,2,0,"{""id"":""a3418400929"",""summary_polyline"":""snvfGvtydN_@bDc@zC[dDWhAW`Eu@hFQjBeAnH_@vCc@pCm@lFo@dEqArJ]~Bg@hE_@jCKdAm@|DIv@KtB_@tB{Gbf@i@hDoCzRq@pEgArIa@`CS`BiAjFSdBQ|@SxAIHM?i@UgHwB_A_@m@OaA]{C_ASKMUKaAo@_@WEWDQJ_@^sAEWEq@O{Ao@_D}@wAi@cAWm@Wc@Mg@QkASKBGRiA|HY~AWpBG~@Bb@\\`BVbBJh@Rj@^j@TPb@Tv@XlBf@dA`@\\BRIHQd@}DHm@HWJMH?bAd@JHFLBPAXiAbIAV@LHJJFl@NbBl@vBnA~@Vv@XH?FCDOHuAXaBNeBX}B@UEEe@Ii@WoDiAuCu@uAk@QCI?IDGFOf@Ih@SdBQjAQXKFM@YGgCy@oBw@i@_@c@k@M]Qo@u@gFC}@Da@X}Ab@{Cz@iFJ_@RYPKV@n@NtAh@dDbAz@ZbAVz@\\fAX~@\\XHhAJFCPa@HIp@ERBXLRVPb@Jv@JNNJfDt@jC`AxDhA~Ah@`AVH?HGDUJcAb@}BdBuKZ}CZaBNuA^sBl@wEXeBNuAfAiHb@kDvAoJP{APeAH}@ZsBh@eE^_BVeCx@wFLkAPcA`@wDjAoHNgBf@wDn@kEn@aFt@wEH_ATyAP}Ap@kEPyAHmAVyAZsCdAcHn@eGl@cDPmAX}AH_A"",""resource_state"":2}",,,,,everyone,,g3915267,,3651654639,3.664,7.5,1,157.1,173,,1,81.7,75.6,1,0,,64
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,5038.6,1309,1309,0,Run,,3398954507,ff20f8f53cf53ee8ac5809bf46437c67c47bcce7.tcx,3631512209,2020-05-04T20:12:35Z,2020-05-04T16:12:35Z,(GMT-05:00) America/Toronto,-14400,"[43.210196,-79.599392]","[43.210194,-79.599772]",,,Canada,43.210196,-79.599392,1,2,0,1,0,"{""id"":""a3398954507"",""summary_polyline"":""unvfGfwydNWxAk@bEUbBKlASlAG`BIr@e@dDc@lDgA~GiAvHkArJe@hD_@bDm@bEa@bDg@~CUtB[pBc@rD]`CGjAwBbP_BtKgAfI_CtOu@rGgAdHS|AEP@c@TkB\\aBLs@JsBH{@bAqGPaBf@uCn@kFtA_Jl@kEjAoHX_Db@oCF}@l@wCl@qGxAsJX_CPkBr@{Er@qF|@gGl@oEVgCp@iEd@cEd@oCb@iD`@cEd@eCZkAr@}E"",""resource_state"":2}",,,,,everyone,,g3829380,,3631512209,3.849,7,1,163.2,182,,1,81.7,80.4,0,0,,37
2,"{""id"":23132727,""resource_state"":1}",My Wedding Day 5k,5017.9,1182,1182,0,Run,0,3375673647,83509207d1d2ab9748cab0df81f4483e1621a0f3.tcx,3606993475,2020-04-30T15:32:03Z,2020-04-30T11:32:03Z,(GMT-05:00) America/Toronto,-14400,"[43.210203,-79.599369]","[43.210202,-79.599478]",,,Canada,43.210203,-79.599369,0,5,0,1,0,"{""id"":""a3375673647"",""summary_polyline"":""wnvfG`wydNu@|Fk@fDc@xEwAxKeBrLgBbNkBzMm@pF}CfU]vD_BvLw@fFg@pDmEvZ{AdLm@nDEJE?CE?GRy@Hk@fDiVrAmInAsJlAkIn@eFb@qCVyB`@sCd@_ExAiK`AgI\\wBp@oF`DmUb@kDrBiOd@sEXeBZcCz@gF"",""resource_state"":2}",,,,,everyone,,g5347208,,3606993475,4.245,6.6,1,151.1,179,,1,81.7,80.4,0,0,,19
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,5078.2,1331,1331,19.7,Run,0,3358577981,da1d0eabdb9b1e6a099760f9d7b6979554be1bfd.tcx,3588990885,2020-04-26T19:40:23Z,2020-04-26T15:40:23Z,(GMT-05:00) America/Toronto,-14400,"[43.2107,-79.59851]","[43.210478,-79.598538]",,,Canada,43.2107,-79.59851,3,6,0,1,0,"{""id"":""a3358577981"",""summary_polyline"":""{qvfGtqydNRFbAAPDFHFVAj@_@hCe@nDWfB[zAMvBi@hEa@hE}@xGa@lC]rCc@dCg@dE{@zF]jDa@zBCd@@ZDNHLVNjCt@jKxDpDhArBt@rBh@jC~@nAn@rJbDfC`AFJ?^w@~Dq@xFqAzIVcCpAyIn@cFPiB?WEIQKw@S_Bi@sCcAoBi@WKo@g@_AIcBg@eBo@}FgBiJ}CWMg@_@SKkEwAUUM]Ae@De@VyApD{WfD{Vh@qFX_Bf@yBJaBNkAR{BV{A?UEKIGUGi@A"",""resource_state"":2}",,,,,everyone,,g3915267,,3588990885,3.815,7.1,1,159,181,,1,90.7,80.2,1,0,,31
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,6001.2,1519,1519,27.1,Run,0,3347873381,8a90c42394dd0c9aa8dfe29faca6db11c7ee2123.tcx,3577679995,2020-04-24T21:25:12Z,2020-04-24T17:25:12Z,(GMT-05:00) America/Toronto,-14400,"[43.210871,-79.598324]","[43.210352,-79.59847]",,,Canada,43.210871,-79.598324,2,3,0,1,0,"{""id"":""a3347873381"",""summary_polyline"":""}rvfGppydNNCl@PXBLEb@QTC\\?DABGHu@H{C?oAGaC?aABQJI`@EpB@nBIxDAZGz@k@j@W\\G\\AbBDr@Ad@E~AS`AB`@K\\E`FEdAQ^Cx@DbAL`Cb@nAZb@PvAr@tA^|Bz@xC|@rB|@|A\\vAl@fBf@bAd@`Dv@p@Zt@THHFJ@VGp@OdCo@hFgApLu@vEi@dBOVm@h@}AdBoKfMeBpBeEpEe@n@U`@iAdCmA~BiG`NgCdFeBxDi@~AIJKFM?MCiCuAgC{@u@QMAg@Da@GaEwAgH}BqFqBmA[eEsAsCgAoAo@WUKYA[@Y^qB`@gCx@yGn@}DZuCbAuHr@wEVwBd@sDh@_FLy@t@cD?q@@a@ZsB^uCBi@AQISKG]E"",""resource_state"":2}",,,,,everyone,,g5347208,,3577679995,3.951,6.2,1,121.5,168,,1,99.2,80,1,0,,8
2,"{""id"":23132727,""resource_state"":1}",Afternoon Run,8914.9,2440,2440,6.2,Run,0,3338281408,d6def09a25b1170a1a10e2314ef5a7d813588d65.tcx,3567717310,2020-04-22T20:52:28Z,2020-04-22T16:52:28Z,(GMT-05:00) America/Toronto,-14400,"[43.210103,-79.598724]","[43.211197,-79.598332]",,,Canada,43.210103,-79.598724,0,3,0,2,0,"{""id"":""a3338281408"",""summary_polyline"":""cnvfG`sydNOvA[nBQdCQ~@a@vCShAKdBg@zDQbBeBpL[hCIjA]|Aq@rEUxB[tBc@vDkAtHKbAo@hFG`AYlA[zBE`@E`Bw@fF_@`DiApHQ~As@`Fk@tDmB|Mg@lCWfCaBpLmA|HKlAYpBQ`AmAfJWpAc@xAMJQ?YMm@OmC_Aq@Q{DqA{A]qAe@q@SK@Ux@SVKFSDM?SC]UW]Qk@Ck@GImA]kBo@uA_@eGkBwAa@sAe@_@IM?C@GPMrAm@dDUd@KDMCs@]KSGYMu@w@qGAc@Di@CIEAKHAF?RRnBp@hENz@Rj@NZTPJBP?NKFOLq@LyA`@qBJ_@FKJGLCZ@XD\\LxDtArAh@xAXlBf@vBr@v@PR@HCZk@LKXCZF^RV\\JTDj@FRRPd@TtDtAjA\\tBf@n@Rh@@PBpC~@D?HIF[Ds@J{@xAoIX_C\\aCj@oEp@wDXgClA_IXsCZyAP}A`@_CZeCb@kCv@iG~A}Kf@eEt@iEn@uGbBgLPuAPaA|AqLVuAHy@P{@JiAZmBp@oGr@iEzBoPHwAEUMO[MoBg@mEuAa@SGSFg@Vu@bBoCb@o@Tg@|@aBrAuC"",""resource_state"":2}",,,,,everyone,,g3915267,,3567717310,3.654,5.5,1,162.4,177,,1,81.7,75.5,0,0,,66
